"iso3","continente_fundar","iso3_desc_fundar","anio","valor_en_porcent"
"MWI","África","Malawi","2022","5.6368e-05"
"MYS","Asia","Malasia","2022","0.007835075"
"MDV","Asia","Maldivas","2022","4.579e-05"
"MLI","África","Malí","2022","0.00018947"
"MLT","Europa","Malta","2022","4.4553e-05"
"MHL","Oceanía","Islas Marshall","2022","4.07e-06"
"MRT","África","Mauritania","2022","0.000122049"
"MUS","África","Mauricio","2022","0.000114375"
"MEX","América del Norte, Central y el Caribe","México","2022","0.01378129"
"FSM","Oceanía","Micronesia","2022","4.07e-06"
"MDA","Europa","Moldavia","2022","0.00014595"
"MNG","Asia","Mongolia","2022","0.001020046"
"MNE","Europa","Montenegro","2022","6.171e-05"
"MSR","América del Norte, Central y el Caribe","Montserrat","2022","5.76e-07"
"MAR","África","Marruecos","2022","0.001841513"
"MOZ","África","Mozambique","2022","0.000215431"
"MMR","Asia","Myanmar","2022","0.000940038"
"NAM","África","Namibia","2022","0.000106406"
"NRU","Oceanía","Nauru","2022","1.425e-06"
"NPL","Asia","Nepal","2022","0.000417229"
"NLD","Europa","Países Bajos","2022","0.0033744"
"NCL","Oceanía","Nueva Caledonia","2022","0.000137692"
"NZL","Oceanía","Nueva Zelandia","2022","0.000867079"
"NIC","América del Norte, Central y el Caribe","Nicaragua","2022","0.000149405"
"NER","África","Níger","2022","8.232e-05"
"NGA","África","Nigeria","2022","0.003465955"
"NIU","Oceanía","Niue","2022","2.04e-07"
"PRK","Asia","Corea del Norte","2022","0.001369366"
"MKD","Europa","Macedonia del Norte","2022","0.000204266"
"NOR","Europa","Noruega","2022","0.001098472"
"OMN","Asia","Omán","2022","0.001937734"
"PAK","Asia","Pakistán","2022","0.005388992"
"PLW","Oceanía","Palau","2022","5.902e-06"
"PSE","Asia","Palestina","2022","9.413e-05"
"PAN","América del Norte, Central y el Caribe","Panamá","2022","0.000320322"
"PNG","Oceanía","Papua Nueva Guinea","2022","0.000210584"
"PRY","América del Sur","Paraguay","2022","0.000242748"
"PER","América del Sur","Perú","2022","0.001639878"
"PHL","Asia","Filipinas","2022","0.004048367"
"POL","Europa","Polonia","2022","0.008697689"
"PRT","Europa","Portugal","2022","0.001119927"
"QAT","Asia","Qatar","2022","0.002727885"
"ROU","Europa","Rumania","2022","0.00197905"
"RUS","Europa","Rusia","2022","0.0444734"
"RWA","África","Ruanda","2022","4.1663e-05"
"SHN","América del Norte, Central y el Caribe","Santa Elena","2022","4.8e-07"
"KNA","América del Norte, Central y el Caribe","Saint Kitts y Nevis","2022","6.043e-06"
"LCA","América del Norte, Central y el Caribe","Santa Lucía","2022","1.2661e-05"
"SPM","América del Norte, Central y el Caribe","San Pedro y Miquelón","2022","1.631e-06"
"VCT","América del Norte, Central y el Caribe","San Vicente y las Granadinas","2022","6.426e-06"
"WSM","Oceanía","Samoa","2022","6.716e-06"
"STP","América del Norte, Central y el Caribe","Santo Tomé y Príncipe","2022","3.56e-06"
"SAU","Asia","Arabia Saudita","2022","0.017834541"
"SEN","África","Senegal","2022","0.000314092"
"SRB","Europa","Serbia","2022","0.001171114"
"SYC","África","Seychelles","2022","1.7734e-05"
"SLE","África","Sierra Leona","2022","3.0404e-05"
"SGP","Asia","Singapur","2022","0.001433452"
"SXM","América del Norte, Central y el Caribe","San Martín (parte Holandesa)","2022","1.7073e-05"
"SVK","Europa","Eslovaquia","2022","0.000919297"
"SVN","Europa","Eslovenia","2022","0.000342258"
"SLB","Oceanía","Islas Salomón","2022","8.039e-06"
"SOM","África","Somalia","2022","1.7414e-05"
"ZAF","África","Sudáfrica","2022","0.010876347"
"KOR","Asia","Corea del Sur","2022","0.016177734"
"SSD","África","Sudán del Sur","2022","4.9357e-05"
"ESP","Europa","España","2022","0.006611446"
"LKA","Asia","Sri Lanka","2022","0.000466412"
"SDN","África","Sudán","2022","0.000592557"
"SUR","América del Sur","Suriname","2022","9.6542e-05"
"SWE","Europa","Suecia","2022","0.001024247"
"CHE","Europa","Suiza","2022","0.000952365"
"SYR","Asia","Siria","2022","0.000743887"
"TWN","Asia","Taiwán","2022","0.007480553"
"TJK","Asia","Tayikistán","2022","0.000269648"
"TZA","África","Tanzanía","2022","0.000419114"
"THA","Asia","Tailandia","2022","0.007287966"
"TGO","África","Togo","2022","6.9329e-05"
"TON","Oceanía","Tonga","2022","5.088e-06"
"TRANS","Transporte Internacional","Transporte Internacional","2022","0.028246232"
"TTO","América del Norte, Central y el Caribe","Trinidad y Tobago","2022","0.000924144"
"TUN","África","Túnez","2022","0.000957658"
"TUR","Europa","Turquía","2022","0.011727782"
"TKM","Asia","Turkmenistán","2022","0.001910061"
"TCA","América del Norte, Central y el Caribe","Islas Turcas y Caicos","2022","9.4e-06"
"TUV","Oceanía","Tuvalu","2022","3.05e-07"
"UGA","África","Uganda","2022","0.000162095"
"UKR","Europa","Ucrania","2022","0.003802256"
"ARE","Asia","Emiratos Árabes Unidos","2022","0.006565185"
"GBR","Europa","Reino Unido","2022","0.008577556"
"USA","América del Norte, Central y el Caribe","Estados Unidos","2022","0.136132779"
"URY","América del Sur","Uruguay","2022","0.000212467"
"UZB","Asia","Uzbekistán","2022","0.003246592"
"VUT","Oceanía","Vanuatu","2022","5.597e-06"
"VEN","América del Sur","Venezuela","2022","0.002069783"
"VNM","Asia","Vietnam","2022","0.009249222"
"WLF","Oceanía","Islas Wallis y Futuna","2022","7.12e-07"
"YEM","África","Yemen","2022","0.000305691"
"ZMB","África","Zambia","2022","0.00024016"
"ZWE","África","Zimbabwe","2022","0.000238386"
