anio,valor_en_mtco2e
1990,263.5386215
1991,288.6451239
1992,296.0126011
1993,292.4947828
1994,299.0016382
1995,304.1399615
1996,336.8700205
1997,332.9987562
1998,357.6254667
1999,348.1714743
2000,348.2492519
2001,348.0039733
2002,351.4847126
2003,367.3656362
2004,382.9268142
2005,378.889113
2006,404.9708102
2007,424.6270405
2008,403.8374872
2009,359.8650095
2010,373.4777348
2011,371.1899232
2012,407.659166
2013,411.0309788
2014,384.0239705
2015,366.3962666
2016,359.6730524
2017,370.1597239
2018,365.889794
