"sector","subsector","subsubsector","anio","valor_en_porcent"
"Agricultura","Quema de biomasa, suelos y arroz","Quema de biomasa, suelos y arroz","2024","4.924"
"Agricultura","Ganadería","Ganadería","2024","6.81108"
"Energía","Edificios y otros","Edificios","2024","6.39172"
"Energía","Edificios y otros","Otros (Edificios)","2024","0.32537"
"Energía","Producción de combustibles","Petróleo y gas","2024","3.71278"
"Energía","Producción de combustibles","Otros (Producción de combustibles)","2024","3.15191"
"Energía","Producción de combustibles","Combustibles sólidos","2024","3.85826"
"Energía","Industria","Industria","2024","12.20747"
"Energía","Energía eléctrica","Generación eléctrica","2024","29.36655"
"Energía","Transporte","Aviación","2024","1.95362"
"Energía","Transporte","Otros (Transporte)","2024","2.1769"
"Energía","Transporte","Carretera","2024","11.72199"
"Procesos industriales","Cemento (excl. carbonatación)","Cemento (excl. carbonatación)","2024","2.75033"
"Procesos industriales","Productos químicos","Productos químicos","2024","1.9626"
"Procesos industriales","Metales","Metales","2024","0.88616"
"Procesos industriales","Otros (Procesos industriales)","Otros (Procesos industriales)","2024","3.97019"
"Residuos","Residuos líquidos","Residuos líquidos","2024","1.54674"
"Residuos","Otros (N2O indirecto e incendios de combustibles fósiles)","Otros (N2O indirecto e incendios de combustibles fósiles)","2024","0.44789"
"Residuos","Residuos sólidos","Residuos sólidos","2024","1.83444"
