"anio","geonombreFundar","geocodigoFundar","sector","valor_en_mtco2e"
"1990","Argentina","ARG","AGSyOUT","151.182193561285"
"1991","Argentina","ARG","AGSyOUT","176.224139665045"
"1992","Argentina","ARG","AGSyOUT","180.258415225876"
"1993","Argentina","ARG","AGSyOUT","174.995546716425"
"1994","Argentina","ARG","AGSyOUT","174.37136234336"
"1995","Argentina","ARG","AGSyOUT","177.018269557237"
"1996","Argentina","ARG","AGSyOUT","192.981331871495"
"1997","Argentina","ARG","AGSyOUT","187.308868895617"
"1998","Argentina","ARG","AGSyOUT","202.830173075109"
"1999","Argentina","ARG","AGSyOUT","191.991449907287"
"2000","Argentina","ARG","AGSyOUT","196.148325208123"
"2001","Argentina","ARG","AGSyOUT","196.596306060672"
"2002","Argentina","ARG","AGSyOUT","208.170449648513"
"2003","Argentina","ARG","AGSyOUT","210.92615480182"
"2004","Argentina","ARG","AGSyOUT","214.176494510029"
"2005","Argentina","ARG","AGSyOUT","204.075710529176"
"2006","Argentina","ARG","AGSyOUT","222.690544980591"
"2007","Argentina","ARG","AGSyOUT","229.450894876957"
"2008","Argentina","ARG","AGSyOUT","204.805506982591"
"2009","Argentina","ARG","AGSyOUT","175.97902953538"
"2010","Argentina","ARG","AGSyOUT","174.327269378973"
"2011","Argentina","ARG","AGSyOUT","150.157139431961"
"2012","Argentina","ARG","AGSyOUT","190.557086425777"
"2013","Argentina","ARG","AGSyOUT","187.761223278955"
"2014","Argentina","ARG","AGSyOUT","160.392676717227"
"2015","Argentina","ARG","AGSyOUT","137.379556664138"
"2016","Argentina","ARG","AGSyOUT","132.872358521437"
"2017","Argentina","ARG","AGSyOUT","144.505751502131"
"2018","Argentina","ARG","AGSyOUT","144.599593388455"
"2019","Argentina","ARG","AGSyOUT","114.455228159542"
"2020","Argentina","ARG","AGSyOUT","177.52302111777"
"2021","Argentina","ARG","AGSyOUT","160.342525217932"
"2022","Argentina","ARG","AGSyOUT","153.595844941494"
"1990","Argentina","ARG","Procesos industriales y uso de productos","8.51816769849951"
"1991","Argentina","ARG","Procesos industriales y uso de productos","7.88825232515203"
"1992","Argentina","ARG","Procesos industriales y uso de productos","7.88982076938636"
"1993","Argentina","ARG","Procesos industriales y uso de productos","8.38383294784018"
"1994","Argentina","ARG","Procesos industriales y uso de productos","9.65614212317105"
"1995","Argentina","ARG","Procesos industriales y uso de productos","9.62182547504213"
"1996","Argentina","ARG","Procesos industriales y uso de productos","10.3267029437855"
"1997","Argentina","ARG","Procesos industriales y uso de productos","11.489080310169"
"1998","Argentina","ARG","Procesos industriales y uso de productos","11.8094800990973"
"1999","Argentina","ARG","Procesos industriales y uso de productos","11.1763508919496"
"2000","Argentina","ARG","Procesos industriales y uso de productos","10.7103677149756"
"2001","Argentina","ARG","Procesos industriales y uso de productos","11.177296232285"
"2002","Argentina","ARG","Procesos industriales y uso de productos","11.0135480184246"
"2003","Argentina","ARG","Procesos industriales y uso de productos","12.7955253725123"
"2004","Argentina","ARG","Procesos industriales y uso de productos","14.187996625146"
"2005","Argentina","ARG","Procesos industriales y uso de productos","15.5419112856352"
"2006","Argentina","ARG","Procesos industriales y uso de productos","16.0367304017772"
"2007","Argentina","ARG","Procesos industriales y uso de productos","16.7262951636687"
"2008","Argentina","ARG","Procesos industriales y uso de productos","16.537892383903"
"2009","Argentina","ARG","Procesos industriales y uso de productos","14.8337230394429"
"2010","Argentina","ARG","Procesos industriales y uso de productos","17.200690216333"
"2011","Argentina","ARG","Procesos industriales y uso de productos","18.5666018715121"
"2012","Argentina","ARG","Procesos industriales y uso de productos","17.6689368235395"
"2013","Argentina","ARG","Procesos industriales y uso de productos","19.299819901407"
"2014","Argentina","ARG","Procesos industriales y uso de productos","20.7783971176362"
"2015","Argentina","ARG","Procesos industriales y uso de productos","21.5300074518568"
"2016","Argentina","ARG","Procesos industriales y uso de productos","19.9203840701098"
"2017","Argentina","ARG","Procesos industriales y uso de productos","21.366329022008"
"2018","Argentina","ARG","Procesos industriales y uso de productos","21.8032979217377"
"2019","Argentina","ARG","Procesos industriales y uso de productos","20.7793840878508"
"2020","Argentina","ARG","Procesos industriales y uso de productos","19.1097602495057"
"2021","Argentina","ARG","Procesos industriales y uso de productos","22.1285240397513"
"2022","Argentina","ARG","Procesos industriales y uso de productos","23.6436656634079"
"1990","Argentina","ARG","Energía","102.320331338486"
"1991","Argentina","ARG","Energía","108.038889297345"
"1992","Argentina","ARG","Energía","111.626817982885"
"1993","Argentina","ARG","Energía","113.615943469042"
"1994","Argentina","ARG","Energía","118.888558808717"
"1995","Argentina","ARG","Energía","121.8175706526"
"1996","Argentina","ARG","Energía","138.411535923409"
"1997","Argentina","ARG","Energía","139.46592233375"
"1998","Argentina","ARG","Energía","147.527197355451"
"1999","Argentina","ARG","Energía","150.134725937437"
"2000","Argentina","ARG","Energía","147.395404377631"
"2001","Argentina","ARG","Energía","143.756376783955"
"2002","Argentina","ARG","Energía","136.194320390911"
"2003","Argentina","ARG","Energía","146.14617739827"
"2004","Argentina","ARG","Energía","158.512828253914"
"2005","Argentina","ARG","Energía","162.36452361708"
"2006","Argentina","ARG","Energía","171.340962519629"
"2007","Argentina","ARG","Energía","185.60411937171"
"2008","Argentina","ARG","Energía","191.054979089983"
"2009","Argentina","ARG","Energía","177.603636908896"
"2010","Argentina","ARG","Energía","190.660692845586"
"2011","Argentina","ARG","Energía","198.846565203881"
"2012","Argentina","ARG","Energía","199.117116035918"
"2013","Argentina","ARG","Energía","201.711219061228"
"2014","Argentina","ARG","Energía","198.541499247883"
"2015","Argentina","ARG","Energía","204.546242261174"
"2016","Argentina","ARG","Energía","205.127880154511"
"2017","Argentina","ARG","Energía","199.360787725138"
"2018","Argentina","ARG","Energía","197.828857436393"
"2019","Argentina","ARG","Energía","189.169117831765"
"2020","Argentina","ARG","Energía","173.702931840973"
"2021","Argentina","ARG","Energía","192.899962838761"
"2022","Argentina","ARG","Energía","200.366684927801"
"1990","Argentina","ARG","Residuos","11.8002879061335"
"1991","Argentina","ARG","Residuos","12.1123792409649"
"1992","Argentina","ARG","Residuos","12.3452452194539"
"1993","Argentina","ARG","Residuos","12.5969047130131"
"1994","Argentina","ARG","Residuos","12.9418421969311"
"1995","Argentina","ARG","Residuos","13.3581301154001"
