anio,sector,subsector,valor_en_mtco2e
1990,Procesos industriales y uso de productos,Industria de los metales,4.72160074
1990,Procesos industriales y uso de productos,Industria de los minerales,2.801970864
1990,Procesos industriales y uso de productos,Industria química,0.717160549
1990,Procesos industriales y uso de productos,Otros,0.116624507
1991,Procesos industriales y uso de productos,Industria de los metales,3.585906368
1991,Procesos industriales y uso de productos,Industria de los minerales,3.264448315
1991,Procesos industriales y uso de productos,Industria química,0.717160549
1991,Procesos industriales y uso de productos,Otros,0.119688807
1992,Procesos industriales y uso de productos,Industria de los metales,3.062287225
1992,Procesos industriales y uso de productos,Industria de los minerales,3.711372473
1992,Procesos industriales y uso de productos,Industria química,0.695617224
1992,Procesos industriales y uso de productos,Otros,0.129101189
1993,Procesos industriales y uso de productos,Industria de los metales,3.201095969
1993,Procesos industriales y uso de productos,Industria de los minerales,4.189909106
1993,Procesos industriales y uso de productos,Industria química,0.734104277
1993,Procesos industriales y uso de productos,Otros,0.147822396
1994,Procesos industriales y uso de productos,Industria de los metales,3.989056548
1994,Procesos industriales y uso de productos,Industria de los minerales,4.604458328
1994,Procesos industriales y uso de productos,Industria química,0.726009213
1994,Procesos industriales y uso de productos,Otros,0.12223294
1995,Procesos industriales y uso de productos,Industria de los metales,4.372893622
1995,Procesos industriales y uso de productos,Industria de los minerales,4.097338596
1995,Procesos industriales y uso de productos,Industria química,0.774401306
1995,Procesos industriales y uso de productos,Otros,0.112002233
1996,Procesos industriales y uso de productos,Industria de los metales,5.140120282
1996,Procesos industriales y uso de productos,Industria de los minerales,4.049074841
1996,Procesos industriales y uso de productos,Industria química,0.744106262
1996,Procesos industriales y uso de productos,Otros,0.118004696
1997,Procesos industriales y uso de productos,Industria de los metales,5.388239445
1997,Procesos industriales y uso de productos,Industria de los minerales,4.871570416
1997,Procesos industriales y uso de productos,Industria química,0.796049977
1997,Procesos industriales y uso de productos,Otros,0.126073002
1998,Procesos industriales y uso de productos,Industria de los metales,5.495058468
1998,Procesos industriales y uso de productos,Industria de los minerales,5.073776844
1998,Procesos industriales y uso de productos,Industria química,0.735259058
1998,Procesos industriales y uso de productos,Otros,0.149729545
1999,Procesos industriales y uso de productos,Industria de los metales,4.876388749
1999,Procesos industriales y uso de productos,Industria de los minerales,4.998414314
1999,Procesos industriales y uso de productos,Industria química,0.734448194
1999,Procesos industriales y uso de productos,Otros,0.168891196
2000,Procesos industriales y uso de productos,Industria de los metales,5.687830322
2000,Procesos industriales y uso de productos,Industria de los minerales,3.489487151
2000,Procesos industriales y uso de productos,Industria química,1.038527038
2000,Procesos industriales y uso de productos,Otros,0.207271862
2001,Procesos industriales y uso de productos,Industria de los metales,5.152817922
2001,Procesos industriales y uso de productos,Industria de los minerales,3.678008822
2001,Procesos industriales y uso de productos,Industria química,1.731884881
2001,Procesos industriales y uso de productos,Otros,0.254484646
2002,Procesos industriales y uso de productos,Industria de los metales,5.711793935
2002,Procesos industriales y uso de productos,Industria de los minerales,2.872460953
2002,Procesos industriales y uso de productos,Industria química,1.774359244
2002,Procesos industriales y uso de productos,Otros,0.318817531
2003,Procesos industriales y uso de productos,Industria de los metales,6.35622893
2003,Procesos industriales y uso de productos,Industria de los minerales,3.435004639
2003,Procesos industriales y uso de productos,Industria química,2.284812057
2003,Procesos industriales y uso de productos,Otros,0.406061519
2004,Procesos industriales y uso de productos,Industria de los metales,6.329644438
2004,Procesos industriales y uso de productos,Industria de los minerales,4.630923177
2004,Procesos industriales y uso de productos,Industria química,2.372336808
2004,Procesos industriales y uso de productos,Otros,0.507650462
2005,Procesos industriales y uso de productos,Industria de los metales,6.837776885
2005,Procesos industriales y uso de productos,Industria de los minerales,5.390849091
2005,Procesos industriales y uso de productos,Industria química,2.282704131
2005,Procesos industriales y uso de productos,Otros,0.596815099
2006,Procesos industriales y uso de productos,Industria de los metales,6.635411971
2006,Procesos industriales y uso de productos,Industria de los minerales,6.0469593
2006,Procesos industriales y uso de productos,Industria química,2.303623764
2006,Procesos industriales y uso de productos,Otros,0.689079256
2007,Procesos industriales y uso de productos,Industria de los metales,6.714513541
2007,Procesos industriales y uso de productos,Industria de los minerales,6.775165231
2007,Procesos industriales y uso de productos,Industria química,2.02372284
2007,Procesos industriales y uso de productos,Otros,0.785569075
2008,Procesos industriales y uso de productos,Industria de los metales,6.914865489
2008,Procesos industriales y uso de productos,Industria de los minerales,6.634396036
2008,Procesos industriales y uso de productos,Industria química,1.803110109
2008,Procesos industriales y uso de productos,Otros,0.884643206
2009,Procesos industriales y uso de productos,Industria de los metales,5.10420586
2009,Procesos industriales y uso de productos,Industria de los minerales,6.27091229
2009,Procesos industriales y uso de productos,Industria química,1.912137228
2009,Procesos industriales y uso de productos,Otros,0.963750815
2010,Procesos industriales y uso de productos,Industria de los metales,6.591642692
2010,Procesos industriales y uso de productos,Industria de los minerales,6.875493859
2010,Procesos industriales y uso de productos,Industria química,1.901372719
2010,Procesos industriales y uso de productos,Otros,1.15073676
2011,Procesos industriales y uso de productos,Industria de los metales,7.165475425
2011,Procesos industriales y uso de productos,Industria de los minerales,7.348175418
2011,Procesos industriales y uso de productos,Industria química,2.0524253
2011,Procesos industriales y uso de productos,Otros,1.260737514
2012,Procesos industriales y uso de productos,Industria de los metales,5.863554804
2012,Procesos industriales y uso de productos,Industria de los minerales,7.361331836
2012,Procesos industriales y uso de productos,Industria química,2.064339701
2012,Procesos industriales y uso de productos,Otros,1.549634172
2013,Procesos industriales y uso de productos,Industria de los metales,6.750076975
2013,Procesos industriales y uso de productos,Industria de los minerales,7.586240127
2013,Procesos industriales y uso de productos,Industria química,2.288568536
2013,Procesos industriales y uso de productos,Otros,2.031707907
2014,Procesos industriales y uso de productos,Industria de los metales,7.107824293
2014,Procesos industriales y uso de productos,Industria de los minerales,7.383444032
2014,Procesos industriales y uso de productos,Industria química,2.789348614
2014,Procesos industriales y uso de productos,Otros,2.655128869
2015,Procesos industriales y uso de productos,Industria de los metales,6.609532421
2015,Procesos industriales y uso de productos,Industria de los minerales,7.782693342
2015,Procesos industriales y uso de productos,Industria química,2.825946101
2015,Procesos industriales y uso de productos,Otros,3.363361807
2016,Procesos industriales y uso de productos,Industria de los metales,5.285014298
2016,Procesos industriales y uso de productos,Industria de los minerales,7.030697154
2016,Procesos industriales y uso de productos,Industria química,2.625661577
2016,Procesos industriales y uso de productos,Otros,4.048191512
2017,Procesos industriales y uso de productos,Industria de los metales,5.724805386
