"geocodigoFundar","temperature_anomaly_40_69","temperature_anomaly_20_adel","dif","geonombreFundar"
"NOR","-2.41210860466667","0.674379362","3.08648796666667","Noruega"
,"-2.08761190333333","0.85099414","2.93860604333333","Océano Ártico"
"DZA","-1.61219769133333","1.261532652","2.87373034333333","Argelia"
"SAU","-1.92338411","0.9405558","2.86393991","Arabia Saudita"
"BLR","-1.64414291233333","1.1973553444","2.84149825673333","Belarús"
"TUN","-1.69704933233333","1.04344068","2.74049001233333","Túnez"
"BIH","-1.38244768573333","1.307300152","2.68974783773333","Bosnia y Herzegovina"
"UKR","-1.35549359533333","1.2676519378","2.62314553313333","Ucrania"
"LVA","-1.50255445983333","1.082558092","2.58511255183333","Letonia"
"EST","-1.55944133933333","1.021399316","2.58084065533333","Estonia"
"CHE","-1.47931869533333","1.097769994","2.57708868933333","Suiza"
"LTU","-1.45040701786667","1.112872473","2.56327949086667","Lituania"
"AUT","-1.46405800133333","1.0832979962","2.54735599753333","Austria"
"MDA","-1.27143841706667","1.264036528","2.53547494506667","Moldavia"
"SVK","-1.423626643","1.059696804","2.483323447","Eslovaquia"
"SSD","-1.50322863033333","0.959046154","2.46227478433333","Sudán del Sur"
"MAR","-1.24260027","1.21324616","2.45584643","Marruecos"
"RUS","-1.344563405","1.096398471","2.440961876","Rusia"
"IRQ","-1.41870407166667","1.019994068","2.43869813966667","Iraq"
"POL","-1.32266576166667","1.099792615","2.42245837666667","Polonia"
"IRN","-1.37455284833333","1.01679680588","2.39134965421333","Irán"
"PRK","-1.38739782933333","0.96198172","2.34937954933333","Corea del Norte"
"SVN","-1.46211697133333","0.8831062634","2.34522323473333","Eslovenia"
"HRV","-1.19809719504667","1.122142806","2.32024000104667","Croacia"
,"-1.33162548733333","0.9800795012","2.31170498853333","Europa"
"CZE","-1.289975723","1.019087748","2.309063471","Chequia"
"JPN","-1.29180984733333","1.01326506","2.30507490733333","Japón"
,"-1.35907925076667","0.915203748","2.27428299876667","Mar Báltico"
"YEM","-1.74107794666667","0.51077977","2.25185771666667","Yemen"
"MRT","-1.35256064866667","0.898331572","2.25089222066667","Mauritania"
"AND","-1.2291142928","1.005287258","2.2344015508","Andorra"
"TUR","-1.09897259066667","1.12981261","2.22878520066667","Turquía"
"GTM","-1.32109788633333","0.896946274","2.21804416033333","Guatemala"
"KWT","-1.26819956033333","0.941628902","2.20982846233333","Kuwait"
"MNE","-1.13423938988333","1.073744886","2.20798427588333","Montenegro"
"NER","-1.6939515245","0.511053576","2.2050051005","Níger"
"LBY","-1.475996532","0.72185516","2.197851692","Libia"
"MLI","-1.453622429","0.743212316","2.196834745","Malí"
"ROU","-1.03165365603333","1.159460458","2.19111411403333","Rumania"
"DEU","-1.13988800466667","1.01617936","2.15606736466667","Alemania"
"JOR","-1.09587404366667","1.058772232","2.15464627566667","Jordania"
"ARE","-1.25590449166667","0.870921768","2.12682625966667","Emiratos Árabes Unidos"
"SYR","-0.917154262433333","1.197600654","2.11475491643333","Siria"
"ARM","-0.9684821645","1.135842306","2.1043244705","Armenia"
"CAN","-1.058111415","1.013513212","2.071624627","Canadá"
"ITA","-1.110237465","0.95749799","2.067735455","Italia"
"ERI","-1.51911739633333","0.527769262","2.04688665833333","Eritrea"
"KOR","-1.15574708633333","0.889353944","2.04510103033333","Corea del Sur"
"BLZ","-1.23362205466667","0.804567274","2.03818932866667","Belice"
"XKX","-1.30249671886667","0.719770834","2.02226755286667","Kosovo"
"KAZ","-1.01216534467667","0.998310914","2.01047625867667","Kazajstán"
"ESP","-1.235689806","0.774066458","2.009756264","España"
"NLD","-1.07483208866667","0.903669284","1.97850137266667","Países Bajos"
"AFG","-1.01392260333333","0.954987854","1.96891045733333","Afganistán"
"SDN","-1.479586781","0.4791049998","1.9586917808","Sudán"
"GEO","-0.981391248333333","0.97445338","1.95584462833333","Georgia"
"ETH","-1.369060079","0.583971256","1.953031335","Etiopía"
"SRB","-0.9794901069","0.962672128","1.9421622349","Serbia"
"BGR","-0.888376416333333","1.052830276","1.94120669233333","Bulgaria"
"BEL","-1.04491738523333","0.89363156","1.93854894523333","Bélgica"
"FIN","-1.2002423155","0.733558336","1.9338006515","Finlandia"
"MKD","-1.064886275","0.86069212","1.925578395","Macedonia del Norte"
"DJI","-1.29868926866667","0.626273392","1.92496266066667","Djibouti"
"LBN","-0.876758257","1.041176024","1.917934281","Líbano"
"QAT","-1.02396965766667","0.882593928","1.90656358566667","Qatar"
,"-1.08181538066667","0.8240647","1.90588008066667","Asia"
"LUX","-0.9801328619","0.924987346","1.9051202079","Luxemburgo"
"TCD","-1.279411232","0.6179052636","1.8973164956","Chad"
"HND","-1.08326118033333","0.81069059","1.89395177033333","Honduras"
