"anio","geocodigoFundar","sea_level_average"
"1880","WLD","-1.05294489959839"
"1881","WLD","-0.333223066265062"
"1882","WLD","-2.18738981626506"
"1883","WLD","-2.07488931626506"
"1884","WLD","0.310943683734939"
"1885","WLD","0.115110433734939"
"1886","WLD","0.0109436837349399"
"1887","WLD","-0.705722816265061"
"1888","WLD","-0.444889316265061"
"1889","WLD","-0.17738981626506"
"1890","WLD","-0.0173898162650609"
"1891","WLD","-0.36489006626506"
"1892","WLD","0.105110433734939"
"1893","WLD","0.492610433734939"
"1894","WLD","-0.45905631626506"
"1895","WLD","0.744277183734939"
"1896","WLD","0.108443933734939"
"1897","WLD","0.54677718373494"
"1898","WLD","1.22261068373494"
"1899","WLD","2.16511068373494"
"1900","WLD","1.73261068373494"
"1901","WLD","1.56927693373494"
"1902","WLD","2.08344368373494"
"1903","WLD","2.88344368373494"
"1904","WLD","1.97427743373494"
"1905","WLD","1.30594393373494"
"1906","WLD","1.94094368373494"
"1907","WLD","1.89927718373494"
"1908","WLD","1.60761043373494"
"1909","WLD","1.96927718373494"
"1910","WLD","2.05011018373494"
"1911","WLD","2.76594393373494"
"1912","WLD","2.56177693373494"
"1913","WLD","2.75344368373494"
"1914","WLD","3.14594368373494"
"1915","WLD","4.33927678373494"
"1916","WLD","3.90677718373494"
"1917","WLD","3.58761068373494"
"1918","WLD","3.40011018373494"
"1919","WLD","3.50344393373494"
"1920","WLD","3.61844393373494"
"1921","WLD","3.85011033373494"
"1922","WLD","3.71511068373494"
"1923","WLD","3.99761043373494"
"1924","WLD","3.14344368373494"
"1925","WLD","3.29511043373494"
"1926","WLD","4.02677693373494"
"1927","WLD","3.92094343373494"
"1928","WLD","3.57427743373494"
"1929","WLD","3.59594368373494"
"1930","WLD","4.01177693373494"
"1931","WLD","3.99844343373494"
"1932","WLD","4.49761078373494"
"1933","WLD","5.05261058373494"
"1934","WLD","4.46094368373494"
"1935","WLD","5.03677718373494"
"1936","WLD","4.61177720873494"
"1937","WLD","5.14594378373494"
"1938","WLD","5.47761093373494"
"1939","WLD","5.98011068373494"
"1940","WLD","5.41427718373494"
"1941","WLD","6.67927718373494"
"1942","WLD","6.61844380873494"
"1943","WLD","6.76094393373494"
"1944","WLD","6.02344370873494"
"1945","WLD","6.28177743373494"
"1946","WLD","7.07261068373494"
"1947","WLD","7.21261030873494"
"1948","WLD","7.89594358373494"
"1949","WLD","7.74677733373494"
"1950","WLD","7.88094380873494"
"1951","WLD","8.91344395873494"
"1952","WLD","8.56677718373494"
"1953","WLD","9.15344353373494"
"1954","WLD","8.69677693373494"
"1955","WLD","8.94094380873494"
"1956","WLD","8.43677718373494"
"1957","WLD","9.58261068373494"
"1958","WLD","9.78844373373494"
"1959","WLD","9.92177713373494"
"1960","WLD","10.1876104337349"
"1961","WLD","10.8984440587349"
"1962","WLD","10.3267773837349"
"1963","WLD","10.2626106837349"
"1964","WLD","9.37094393373494"
"1965","WLD","10.4634439587349"
"1966","WLD","10.0576104337349"
"1967","WLD","10.0417771837349"
"1968","WLD","10.1759438337349"
"1969","WLD","10.8959438337349"
"1970","WLD","10.4557488337349"
"1971","WLD","11.0135803087349"
"1972","WLD","12.0384130087349"
"1973","WLD","11.3226103587349"
"1974","WLD","12.6637548587349"
"1975","WLD","12.6604526087349"
"1976","WLD","12.6613746587349"
"1977","WLD","12.2554212337349"
"1978","WLD","12.5715081587349"
"1979","WLD","12.0728241337349"
"1980","WLD","12.9841210837349"
"1981","WLD","14.0783138587349"
"1982","WLD","13.8302205587349"
"1983","WLD","14.3098655087349"
"1984","WLD","14.1710279337349"
"1985","WLD","13.4873988087349"
"1986","WLD","13.6338986337349"
"1987","WLD","13.8675624587349"
"1988","WLD","14.2454064837349"
"1989","WLD","14.4864542587349"
"1990","WLD","14.9152896087349"
"1991","WLD","15.3625471587349"
"1992","WLD","15.5324955087349"
"1993","WLD","14.8529511837349"
"1994","WLD","15.1513182837349"
"1995","WLD","15.7341509337349"
"1996","WLD","16.0191398787349"
"1997","WLD","16.6652543162349"
"1998","WLD","16.1975697212349"
"1999","WLD","16.7215317377349"
"2000","WLD","16.7644344277349"
"2001","WLD","17.2604633062349"
"2002","WLD","17.0164356062349"
"2003","WLD","17.7500155037349"
"2004","WLD","17.8348577162349"
"2005","WLD","17.8809588087349"
"2006","WLD","18.2151118087349"
"2007","WLD","18.2486228837349"
"2008","WLD","19.2181187337349"
"2009","WLD","19.7292607587349"
"2010","WLD","20.5904752337349"
"2011","WLD","20.5888506087349"
"2012","WLD","21.2048462587349"
"2013","WLD","21.1733732087349"
"2014","WLD","21.9611537337349"
"2015","WLD","22.1886264337349"
"2016","WLD","22.6037545837349"
"2017","WLD","22.4819225087349"
"2018","WLD","22.1790106587349"
"2019","WLD","23.0687573837349"
"2020","WLD","23.5706571837349"
