"anio","sector","subsector","valor_en_mtco2e"
"1990","Residuos","Aguas residuales","5.17"
"1990","Residuos","Residuos sólidos","6.63"
"1991","Residuos","Aguas residuales","5.3"
"1991","Residuos","Residuos sólidos","6.81"
"1992","Residuos","Aguas residuales","5.33"
"1992","Residuos","Residuos sólidos","7.01"
"1993","Residuos","Aguas residuales","5.35"
"1993","Residuos","Residuos sólidos","7.25"
"1994","Residuos","Aguas residuales","5.44"
"1994","Residuos","Residuos sólidos","7.5"
"1995","Residuos","Aguas residuales","5.58"
"1995","Residuos","Residuos sólidos","7.78"
"1996","Residuos","Aguas residuales","5.72"
"1996","Residuos","Residuos sólidos","8.06"
"1997","Residuos","Aguas residuales","5.85"
"1997","Residuos","Residuos sólidos","8.36"
"1998","Residuos","Aguas residuales","5.7"
"1998","Residuos","Residuos sólidos","8.69"
"1999","Residuos","Aguas residuales","5.73"
"1999","Residuos","Residuos sólidos","9.02"
"2000","Residuos","Aguas residuales","5.89"
"2000","Residuos","Residuos sólidos","9.33"
"2001","Residuos","Aguas residuales","6.15"
"2001","Residuos","Residuos sólidos","9.64"
"2002","Residuos","Aguas residuales","6.19"
"2002","Residuos","Residuos sólidos","9.94"
"2003","Residuos","Aguas residuales","6.61"
"2003","Residuos","Residuos sólidos","10.15"
"2004","Residuos","Aguas residuales","6.87"
"2004","Residuos","Residuos sólidos","10.35"
"2005","Residuos","Aguas residuales","7.14"
"2005","Residuos","Residuos sólidos","10.62"
"2006","Residuos","Aguas residuales","7.46"
"2006","Residuos","Residuos sólidos","10.79"
"2007","Residuos","Aguas residuales","7.52"
"2007","Residuos","Residuos sólidos","10.79"
"2008","Residuos","Aguas residuales","7.55"
"2008","Residuos","Residuos sólidos","10.47"
"2009","Residuos","Aguas residuales","7.65"
"2009","Residuos","Residuos sólidos","10.04"
"2010","Residuos","Aguas residuales","7.98"
"2010","Residuos","Residuos sólidos","10.21"
"2011","Residuos","Aguas residuales","8.26"
"2011","Residuos","Residuos sólidos","10.34"
"2012","Residuos","Aguas residuales","8.27"
"2012","Residuos","Residuos sólidos","10.89"
"2013","Residuos","Aguas residuales","8.17"
"2013","Residuos","Residuos sólidos","11.35"
"2014","Residuos","Aguas residuales","8.19"
"2014","Residuos","Residuos sólidos","11.97"
"2015","Residuos","Aguas residuales","8.34"
"2015","Residuos","Residuos sólidos","12.42"
"2016","Residuos","Aguas residuales","8.37"
"2016","Residuos","Residuos sólidos","12.85"
"2017","Residuos","Aguas residuales","8.46"
"2017","Residuos","Residuos sólidos","13.14"
"2018","Residuos","Aguas residuales","8.56"
"2018","Residuos","Residuos sólidos","13.48"
"2019","Residuos","Aguas residuales","8.8"
"2019","Residuos","Residuos sólidos","13.79"
"2020","Residuos","Aguas residuales","8.58"
"2020","Residuos","Residuos sólidos","14.05"
"2021","Residuos","Aguas residuales","8.78"
"2021","Residuos","Residuos sólidos","14.2"
"2022","Residuos","Aguas residuales","8.91"
"2022","Residuos","Residuos sólidos","14.4"
