"anio","sector","subsector","valor_en_mtco2e"
1990,"AGSyOUT","Emisiones de la quema de biomasa","9.03"
1990,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","35.15"
1990,"AGSyOUT","Ganado","59.36"
1990,"AGSyOUT","Tierras","48.43"
1991,"AGSyOUT","Emisiones de la quema de biomasa","9.12"
1991,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","36"
1991,"AGSyOUT","Ganado","60.27"
1991,"AGSyOUT","Tierras","66.76"
1992,"AGSyOUT","Emisiones de la quema de biomasa","9.17"
1992,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","36.44"
1992,"AGSyOUT","Ganado","61.22"
1992,"AGSyOUT","Tierras","69.62"
1993,"AGSyOUT","Emisiones de la quema de biomasa","9.22"
1993,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","36.64"
1993,"AGSyOUT","Ganado","62.76"
1993,"AGSyOUT","Tierras","61.69"
1994,"AGSyOUT","Emisiones de la quema de biomasa","5.25"
1994,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.17"
1994,"AGSyOUT","Ganado","63.15"
1994,"AGSyOUT","Tierras","65"
1995,"AGSyOUT","Emisiones de la quema de biomasa","5.4"
1995,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.24"
1995,"AGSyOUT","Ganado","61.93"
1995,"AGSyOUT","Tierras","69.57"
1996,"AGSyOUT","Emisiones de la quema de biomasa","4.86"
1996,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.08"
1996,"AGSyOUT","Ganado","59.69"
1996,"AGSyOUT","Tierras","88.62"
1997,"AGSyOUT","Emisiones de la quema de biomasa","4.78"
1997,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.13"
1997,"AGSyOUT","Ganado","58.72"
1997,"AGSyOUT","Tierras","84.12"
1998,"AGSyOUT","Emisiones de la quema de biomasa","6.05"
1998,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","36.64"
1998,"AGSyOUT","Ganado","55.88"
1998,"AGSyOUT","Tierras","102.23"
1999,"AGSyOUT","Emisiones de la quema de biomasa","5.1"
1999,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","38.07"
1999,"AGSyOUT","Ganado","58.41"
1999,"AGSyOUT","Tierras","87.64"
2000,"AGSyOUT","Emisiones de la quema de biomasa","12.29"
2000,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.53"
2000,"AGSyOUT","Ganado","57.82"
2000,"AGSyOUT","Tierras","84.97"
2001,"AGSyOUT","Emisiones de la quema de biomasa","16.76"
2001,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.45"
2001,"AGSyOUT","Ganado","57.31"
2001,"AGSyOUT","Tierras","83.39"
2002,"AGSyOUT","Emisiones de la quema de biomasa","11.42"
2002,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","37.63"
