fecha,altura_nivel_mar_corr_tpac_drift,altura_nivel_mar_filtrada_corr_tpac_drift
1993-01-01,0.0041262675,0.003624008
1993-01-02,0.0041116904,0.0036386861
1993-01-03,0.0041914433,0.0036536152
1993-01-04,0.004251909,0.003668799
1993-01-05,0.004288613,0.0036842418
1993-01-06,0.0043701255,0.0037026147
1993-01-07,0.004442267,0.0037222195
1993-01-08,0.0045373244,0.0037420942
1993-01-09,0.004573422,0.0037622417
1993-01-10,0.004590379,0.0037826658
1993-01-11,0.0046125236,0.0038033698
1993-01-12,0.0046156575,0.0038243576
1993-01-13,0.0046083173,0.0038456323
1993-01-14,0.004566026,0.0038671975
1993-01-15,0.0045245104,0.0038890573
1993-01-16,0.0044520507,0.003911179
1993-01-17,0.0043322374,0.003933594
1993-01-18,0.0041639665,0.003956314
1993-01-19,0.0039345087,0.003979343
1993-01-20,0.003786059,0.004002684
1993-01-21,0.0036113758,0.0040263403
1993-01-22,0.0034334976,0.0040503168
1993-01-23,0.0032770564,0.0040746154
1993-01-24,0.0032017436,0.0040992405
1993-01-25,0.003177769,0.004124195
1993-01-26,0.0031404991,0.0041494435
1993-01-27,0.0031312988,0.0041750246
1993-01-28,0.0031161027,0.004200944
1993-01-29,0.0031044628,0.0042272066
1993-01-30,0.0031551062,0.004253813
1993-01-31,0.0032532047,0.0042807674
1993-02-01,0.0033078005,0.0043080705
1993-02-02,0.0033871732,0.0043357243
1993-02-03,0.0034756751,0.0043637305
1993-02-04,0.0035944257,0.0043920893
1993-02-05,0.0036592819,0.0044204146
1993-02-06,0.0037474353,0.0044490886
1993-02-07,0.0038165029,0.0044781165
1993-02-08,0.0038154426,0.0045074983
1993-02-09,0.003820726,0.0045372327
1993-02-10,0.003773894,0.0045673195
1993-02-11,0.0037026708,0.004597757
1993-02-12,0.0035664267,0.004628544
1993-02-13,0.003501539,0.0046596797
1993-02-14,0.003380129,0.0046911845
1993-02-15,0.003320956,0.0047233202
1993-02-16,0.003262505,0.004755799
1993-02-17,0.0032377332,0.0047886204
1993-02-18,0.0032529493,0.0048217815
1993-02-19,0.0032655615,0.0048552807
1993-02-20,0.003314548,0.004889117
1993-02-21,0.0033760548,0.004923288
1993-02-22,0.0034622573,0.0049577923
1993-02-23,0.0035436028,0.0049926275
1993-02-24,0.0036527738,0.0050277864
1993-02-25,0.0038611584,0.005063237
1993-02-26,0.004026326,0.0050990134
1993-02-27,0.004192306,0.005135113
1993-02-28,0.004407955,0.0051715327
1993-03-01,0.004569179,0.00520827
1993-03-02,0.0047619366,0.005245322
1993-03-03,0.0049748463,0.0052826856
1993-03-04,0.00519065,0.005320357
1993-03-05,0.0053844936,0.0053583323
1993-03-06,0.005535187,0.0053965994
1993-03-07,0.005703351,0.005435136
1993-03-08,0.005903503,0.005473963
1993-03-09,0.006034168,0.0055130753
1993-03-10,0.006191809,0.0055524665
1993-03-11,0.0063692923,0.0055921315
1993-03-12,0.0065586395,0.005632064
1993-03-13,0.0067430236,0.0056722565
1993-03-14,0.006917698,0.0057127024
1993-03-15,0.00709247,0.0057533947
1993-03-16,0.0072282096,0.0057943207
1993-03-17,0.0073343553,0.005835466
