"anio","sector","valor_en_ggco2e"
1871,"Residuos","175400"
1872,"AGSyOUT","6618000"
1872,"Energía","1465000"
1872,"Otros","19260"
1872,"PIUP","116794.6"
1872,"Residuos","177400"
1873,"AGSyOUT","6762000"
1873,"Energía","1552000"
1873,"Otros","20400"
1873,"PIUP","127884.6"
1873,"Residuos","179700"
1874,"AGSyOUT","6846000"
1874,"Energía","1478000"
1874,"Otros","21700"
1874,"PIUP","122754.6"
1874,"Residuos","182100"
1875,"AGSyOUT","6960000"
1875,"Energía","1591000"
1875,"Otros","23100"
1875,"PIUP","126664.6"
1875,"Residuos","184800"
1876,"AGSyOUT","7075000"
1876,"Energía","1618000"
1876,"Otros","24700"
1876,"PIUP","125614.6"
1876,"Residuos","187200"
1877,"AGSyOUT","7179000"
1877,"Energía","1656000"
1877,"Otros","26100"
1877,"PIUP","136264.6"
1877,"Residuos","190500"
1878,"AGSyOUT","7291000"
1878,"Energía","1671000"
1878,"Otros","27300"
1878,"PIUP","133914.6"
1878,"Residuos","192700"
1879,"AGSyOUT","7390000"
1879,"Energía","1783000"
1879,"Otros","28400"
1879,"PIUP","158494.6"
1879,"Residuos","194800"
1880,"AGSyOUT","7470000"
1880,"Energía","1995000"
1880,"Otros","29000"
1880,"PIUP","179464.6"
1880,"Residuos","197900"
1881,"AGSyOUT","7770000"
1881,"Energía","2060000"
1881,"Otros","29400"
1881,"PIUP","188634.6"
1881,"Residuos","199900"
1882,"AGSyOUT","7470000"
1882,"Energía","2160000"
1882,"Otros","29800"
1882,"PIUP","209714.6"
1882,"Residuos","201900"
1883,"AGSyOUT","7540000"
1883,"Energía","2300000"
1883,"Otros","30200"
1883,"PIUP","226634.6"
1883,"Residuos","203900"
1884,"AGSyOUT","7610000"
1884,"Energía","2320000"
1884,"Otros","30600"
1884,"PIUP","238794.6"
1884,"Residuos","205900"
1885,"AGSyOUT","7670000"
1885,"Energía","2350000"
1885,"Otros","30800"
1885,"PIUP","242914.6"
1885,"Residuos","207800"
1886,"AGSyOUT","7730000"
1886,"Energía","2390000"
1886,"Otros","31000"
1886,"PIUP","255094.6"
1886,"Residuos","209800"
1887,"AGSyOUT","7750000"
1887,"Energía","2500000"
1887,"Otros","31400"
1887,"PIUP","271534.6"
1887,"Residuos","212800"
1888,"AGSyOUT","7770000"
1888,"Energía","2740000"
1888,"Otros","31800"
1888,"PIUP","324474.6"
1888,"Residuos","214900"
1889,"AGSyOUT","7790000"
1889,"Energía","2750000"
1889,"Otros","32000"
1889,"PIUP","300614.8"
1889,"Residuos","216900"
1890,"AGSyOUT","7790000"
1890,"Energía","3010000"
1890,"Otros","32600"
1890,"PIUP","307524.8"
1890,"Residuos","222000"
1891,"AGSyOUT","7810000"
1891,"Energía","3150000"
1891,"Otros","33000"
1891,"PIUP","308150"
1891,"Residuos","226000"
1892,"AGSyOUT","7950000"
1892,"Energía","3190000"
1892,"Otros","33400"
1892,"PIUP","308367.2"
1892,"Residuos","230000"
1893,"AGSyOUT","8000000"
1893,"Energía","3180000"
1893,"Otros","33800"
1893,"PIUP","308534"
1893,"Residuos","233000"
1894,"AGSyOUT","8160000"
1894,"Energía","3290000"
1894,"Otros","34000"
1894,"PIUP","309180"
1894,"Residuos","237000"
1895,"AGSyOUT","8240000"
1895,"Energía","3480000"
1895,"Otros","34700"
1895,"PIUP","310122"
1895,"Residuos","241000"
1896,"AGSyOUT","8280000"
1896,"Energía","3600000"
1896,"Otros","35200"
1896,"PIUP","310846"
1896,"Residuos","244000"
1897,"AGSyOUT","8340000"
1897,"Energía","3780000"
1897,"Otros","35600"
1897,"PIUP","311750"
1897,"Residuos","248000"
1898,"AGSyOUT","8380000"
1898,"Energía","3980000"
1898,"Otros","36200"
1898,"PIUP","312846"
1898,"Residuos","252000"
1899,"AGSyOUT","8410000"
1899,"Energía","4320000"
1899,"Otros","37000"
1899,"PIUP","314278"
1899,"Residuos","257000"
1900,"AGSyOUT","8440000"
1900,"Energía","4550000"
1900,"Otros","37800"
1900,"PIUP","315434"
1900,"Residuos","261000"
1901,"AGSyOUT","8940000"
1901,"Energía","4710000"
1901,"Otros","38600"
1901,"PIUP","316164"
1901,"Residuos","265000"
1902,"AGSyOUT","8980000"
1902,"Energía","4850000"
1902,"Otros","39600"
1902,"PIUP","316680"
1902,"Residuos","270000"
1903,"AGSyOUT","9210000"
1903,"Energía","5260000"
1903,"Otros","40800"
1903,"PIUP","318390"
1903,"Residuos","276000"
1904,"AGSyOUT","9420000"
1904,"Energía","5350000"
1904,"Otros","41700"
1904,"PIUP","318894"
1904,"Residuos","280000"
1905,"AGSyOUT","9620000"
1905,"Energía","5700000"
1905,"Otros","42800"
1905,"PIUP","320394"
1905,"Residuos","286000"
1906,"AGSyOUT","9880000"
1906,"Energía","5990000"
1906,"Otros","45600"
1906,"PIUP","321696"
1906,"Residuos","291000"
1907,"AGSyOUT","9940000"
1907,"Energía","6700000"
1907,"Otros","47100"
1907,"PIUP","324700"
1907,"Residuos","298000"
1908,"AGSyOUT","10040000"
1908,"Energía","6510000"
1908,"Otros","48500"
1908,"PIUP","324512"
1908,"Residuos","304000"
1909,"AGSyOUT","10110000"
1909,"Energía","6770000"
1909,"Otros","49200"
1909,"PIUP","324434"
1909,"Residuos","309000"
1910,"AGSyOUT","10170000"
1910,"Energía","7090000"
1910,"Otros","49900"
1910,"PIUP","325768"
1910,"Residuos","315000"
1911,"AGSyOUT","9770000"
1911,"Energía","7220000"
