"geonombreFundar","geocodigoFundar","year","temperature_anomaly"
"Argentina","ARG","1940","-0.94151045268"
"Argentina","ARG","1941","-0.31600690268"
"Argentina","ARG","1942","-0.52522095268"
"Argentina","ARG","1943","0.79369067732"
"Argentina","ARG","1944","0.20288836732"
"Argentina","ARG","1945","0.17370309732"
"Argentina","ARG","1946","-0.09683341268"
"Argentina","ARG","1947","0.06170114732"
"Argentina","ARG","1948","-0.12993355268"
"Argentina","ARG","1949","-0.35396570268"
"Argentina","ARG","1950","0.04091384732"
"Argentina","ARG","1951","0.23440536732"
"Argentina","ARG","1952","0.14293404732"
"Argentina","ARG","1953","0.34715830732"
"Argentina","ARG","1954","-0.49571455268"
"Argentina","ARG","1955","-0.30901505268"
"Argentina","ARG","1956","-0.22444125268"
"Argentina","ARG","1957","-0.14920525268"
"Argentina","ARG","1958","0.07890044732"
"Argentina","ARG","1959","-0.30601875268"
"Argentina","ARG","1960","0.20724677732"
"Argentina","ARG","1961","0.29157809732"
"Argentina","ARG","1962","0.10748800732"
"Argentina","ARG","1963","0.04948600732"
"Argentina","ARG","1964","-0.25401695268"
"Argentina","ARG","1965","0.14940240732"
"Argentina","ARG","1966","-0.0655986526800001"
"Argentina","ARG","1967","0.23822364732"
"Argentina","ARG","1968","0.50890532772"
"Argentina","ARG","1969","0.53885586732"
"Argentina","ARG","1970","0.42627262732"
"Argentina","ARG","1971","-0.05515305268"
"Argentina","ARG","1972","0.02880349732"
"Argentina","ARG","1973","-0.13544555268"
"Argentina","ARG","1974","-0.15575165268"
"Argentina","ARG","1975","0.04557155732"
"Argentina","ARG","1976","-0.52103455268"
"Argentina","ARG","1977","0.55795967232"
"Argentina","ARG","1978","0.47964362132"
"Argentina","ARG","1979","0.26303362732"
"Argentina","ARG","1980","0.47473259332"
"Argentina","ARG","1981","0.40466928132"
"Argentina","ARG","1982","0.42861246732"
"Argentina","ARG","1983","0.10250010732"
"Argentina","ARG","1984","-0.50328705268"
"Argentina","ARG","1985","0.43956664732"
"Argentina","ARG","1986","0.46037443032"
"Argentina","ARG","1987","0.25939440732"
"Argentina","ARG","1988","0.07241567732"
"Argentina","ARG","1989","0.71474984732"
"Argentina","ARG","1990","0.34206000732"
"Argentina","ARG","1991","0.0672549273199999"
"Argentina","ARG","1992","-0.40130275268"
"Argentina","ARG","1993","0.07650637732"
"Argentina","ARG","1994","0.70346410732"
"Argentina","ARG","1995","0.35871080732"
"Argentina","ARG","1996","0.36860949732"
"Argentina","ARG","1997","0.68506240732"
"Argentina","ARG","1998","0.44147952332"
"Argentina","ARG","1999","0.15326324732"
"Argentina","ARG","2000","-0.32737395268"
"Argentina","ARG","2001","0.37489024732"
"Argentina","ARG","2002","0.17354490732"
"Argentina","ARG","2003","0.69157730732"
"Argentina","ARG","2004","0.64423413732"
"Argentina","ARG","2005","0.30022406732"
"Argentina","ARG","2006","0.87249159732"
"Argentina","ARG","2007","-0.08317525268"
"Argentina","ARG","2008","0.81644471732"
"Argentina","ARG","2009","0.90849934732"
"Argentina","ARG","2010","0.31203419732"
"Argentina","ARG","2011","0.58863702732"
"Argentina","ARG","2012","1.01226448732"
"Argentina","ARG","2013","0.88928996732"
"Argentina","ARG","2014","0.80851220732"
"Argentina","ARG","2015","0.94944896732"
"Argentina","ARG","2016","0.44881399732"
"Argentina","ARG","2017","0.95656212732"
"Argentina","ARG","2018","0.77071404732"
"Argentina","ARG","2019","0.82779108732"
"Argentina","ARG","2020","1.07823554732"
"Argentina","ARG","2021","1.06109324732"
"Argentina","ARG","2022","0.58742701732"
"Argentina","ARG","2023","1.47880309732"
"Argentina","ARG","2024","1.12866037732"
