"geocodigoFundar","year","near_surface_temperature_anomaly","geonombreFundar"
"WLD","1850","-0.05541366","Mundo"
"WLD","1851","0.12894794","Mundo"
"WLD","1852","0.13289867","Mundo"
"WLD","1853","0.0919433","Mundo"
"WLD","1854","0.07077692","Mundo"
"WLD","1855","0.065381","Mundo"
"WLD","1856","0.04194403","Mundo"
"WLD","1857","-0.1049323","Mundo"
"WLD","1858","-0.026467945","Mundo"
"WLD","1859","0.08103258","Mundo"
"WLD","1860","-0.027867433","Mundo"
"WLD","1861","-0.06681519","Mundo"
"WLD","1862","-0.17407164","Mundo"
"WLD","1863","0.018053684","Mundo"
"WLD","1864","-0.10316732","Mundo"
"WLD","1865","0.029816423","Mundo"
"WLD","1866","0.021010254","Mundo"
"WLD","1867","0.005303625","Mundo"
"WLD","1868","0.010470603","Mundo"
"WLD","1869","0.0457058","Mundo"
"WLD","1870","0.034370217","Mundo"
"WLD","1871","-0.0062650107","Mundo"
"WLD","1872","0.03418717","Mundo"
"WLD","1873","0.021000836","Mundo"
"WLD","1874","-0.010953452","Mundo"
"WLD","1875","-0.013328191","Mundo"
"WLD","1876","-0.06181216","Mundo"
"WLD","1877","0.2611889","Mundo"
"WLD","1878","0.35098255","Mundo"
"WLD","1879","0.05866343","Mundo"
"WLD","1880","0.0464657","Mundo"
"WLD","1881","0.13005222","Mundo"
"WLD","1882","0.06676767","Mundo"
"WLD","1883","0.015823338","Mundo"
"WLD","1884","-0.13002232","Mundo"
"WLD","1885","-0.108825825","Mundo"
"WLD","1886","-0.058605876","Mundo"
"WLD","1887","-0.13648802","Mundo"
"WLD","1888","-0.017081138","Mundo"
"WLD","1889","0.11240219","Mundo"
"WLD","1890","-0.14456043","Mundo"
"WLD","1891","-0.039017197","Mundo"
"WLD","1892","-0.14526078","Mundo"
"WLD","1893","-0.13232148","Mundo"
"WLD","1894","-0.12146618","Mundo"
"WLD","1895","-0.08645385","Mundo"
"WLD","1896","0.07829047","Mundo"
"WLD","1897","0.102497585","Mundo"
"WLD","1898","-0.12349438","Mundo"
"WLD","1899","0.0068641044","Mundo"
"WLD","1900","0.12780385","Mundo"
"WLD","1901","0.06888751","Mundo"
"WLD","1902","-0.07665878","Mundo"
"WLD","1903","-0.17098936","Mundo"
"WLD","1904","-0.23521331","Mundo"
"WLD","1905","-0.045495477","Mundo"
"WLD","1906","0.043188963","Mundo"
"WLD","1907","-0.14177856","Mundo"
"WLD","1908","-0.15152195","Mundo"
"WLD","1909","-0.1733894","Mundo"
"WLD","1910","-0.16861174","Mundo"
"WLD","1911","-0.17678127","Mundo"
"WLD","1912","-0.11324089","Mundo"
"WLD","1913","-0.10471334","Mundo"
"WLD","1914","0.09986118","Mundo"
"WLD","1915","0.17062555","Mundo"
"WLD","1916","-0.057725396","Mundo"
"WLD","1917","-0.18052194","Mundo"
"WLD","1918","-0.062066343","Mundo"
"WLD","1919","0.037008677","Mundo"
"WLD","1920","0.06394268","Mundo"
"WLD","1921","0.121853404","Mundo"
"WLD","1922","0.023284052","Mundo"
"WLD","1923","0.04461587","Mundo"
"WLD","1924","0.050496046","Mundo"
"WLD","1925","0.08015577","Mundo"
