"anio","sector","subsector","valor_en_mtco2e"
2013,"Procesos industriales y uso de productos","Industria química","2.46"
2013,"Procesos industriales y uso de productos","Otros","2.09"
2014,"Procesos industriales y uso de productos","Industria de los metales","7.63"
2014,"Procesos industriales y uso de productos","Industria de los minerales","7.39"
2014,"Procesos industriales y uso de productos","Industria química","3"
2014,"Procesos industriales y uso de productos","Otros","2.77"
2015,"Procesos industriales y uso de productos","Industria de los metales","7.15"
2015,"Procesos industriales y uso de productos","Industria de los minerales","7.8"
2015,"Procesos industriales y uso de productos","Industria química","3.04"
2015,"Procesos industriales y uso de productos","Otros","3.54"
2016,"Procesos industriales y uso de productos","Industria de los metales","5.75"
2016,"Procesos industriales y uso de productos","Industria de los minerales","7.04"
2016,"Procesos industriales y uso de productos","Industria química","2.84"
2016,"Procesos industriales y uso de productos","Otros","4.29"
2017,"Procesos industriales y uso de productos","Industria de los metales","6.2"
2017,"Procesos industriales y uso de productos","Industria de los minerales","7.54"
2017,"Procesos industriales y uso de productos","Industria química","2.87"
2017,"Procesos industriales y uso de productos","Otros","4.76"
2018,"Procesos industriales y uso de productos","Industria de los metales","6.58"
2018,"Procesos industriales y uso de productos","Industria de los minerales","7.41"
2018,"Procesos industriales y uso de productos","Industria química","2.61"
2018,"Procesos industriales y uso de productos","Otros","5.19"
2019,"Procesos industriales y uso de productos","Industria de los metales","5.75"
2019,"Procesos industriales y uso de productos","Industria de los minerales","7.02"
2019,"Procesos industriales y uso de productos","Industria química","2.62"
2019,"Procesos industriales y uso de productos","Otros","5.39"
2020,"Procesos industriales y uso de productos","Industria de los metales","4.92"
2020,"Procesos industriales y uso de productos","Industria de los minerales","6.13"
2020,"Procesos industriales y uso de productos","Industria química","2.52"
2020,"Procesos industriales y uso de productos","Otros","5.54"
2021,"Procesos industriales y uso de productos","Industria de los metales","5.8"
2021,"Procesos industriales y uso de productos","Industria de los minerales","7.78"
2021,"Procesos industriales y uso de productos","Industria química","2.47"
2021,"Procesos industriales y uso de productos","Otros","6.09"
2022,"Procesos industriales y uso de productos","Industria de los metales","6.04"
2022,"Procesos industriales y uso de productos","Industria de los minerales","8.37"
2022,"Procesos industriales y uso de productos","Industria química","2.72"
2022,"Procesos industriales y uso de productos","Otros","6.52"
