"anio","valor_en_mtco2e","geonombreFundar","geocodigoFundar"
"1990","273.82","Argentina","ARG"
"1991","304.26","Argentina","ARG"
"1992","312.12","Argentina","ARG"
"1993","309.59","Argentina","ARG"
"1994","315.86","Argentina","ARG"
"1995","321.82","Argentina","ARG"
"1996","355.5","Argentina","ARG"
"1997","352.48","Argentina","ARG"
"1998","376.56","Argentina","ARG"
"1999","368.06","Argentina","ARG"
"2000","369.48","Argentina","ARG"
"2001","367.31","Argentina","ARG"
"2002","371.51","Argentina","ARG"
"2003","386.63","Argentina","ARG"
"2004","404.1","Argentina","ARG"
"2005","399.75","Argentina","ARG"
"2006","428.33","Argentina","ARG"
"2007","450.09","Argentina","ARG"
"2008","430.42","Argentina","ARG"
"2009","386.1","Argentina","ARG"
"2010","400.38","Argentina","ARG"
"2011","386.17","Argentina","ARG"
"2012","426.5","Argentina","ARG"
"2013","428.3","Argentina","ARG"
"2014","399.87","Argentina","ARG"
"2015","384.21","Argentina","ARG"
"2016","379.14","Argentina","ARG"
"2017","386.83","Argentina","ARG"
"2018","386.27","Argentina","ARG"
"2019","347","Argentina","ARG"
"2020","392.96","Argentina","ARG"
"2021","398.35","Argentina","ARG"
"2022","400.92","Argentina","ARG"
