"year","semester","labor_status","poverty_line","poverty_rate"
"2003","II","Total","Indigencia","18.26357"
"2003","II","Ocupados","Indigencia","15.52423"
"2003","II","Desocupados","Indigencia","31.85870"
"2003","II","Inactivos","Indigencia","23.70745"
"2003","II","Patrones","Indigencia","6.77276"
"2003","II","CtaPropia_no_Profesional","Indigencia","23.25091"
"2003","II","CtaPropia_Profesional","Indigencia","4.67495"
"2003","II","Asalariado_Informal","Indigencia","27.13408"
"2003","II","Asalariado_Formal","Indigencia","4.50059"
"2003","II","Sin_Salario","Indigencia","18.18094"
"2004","I","Total","Indigencia","15.92133"
"2004","I","Ocupados","Indigencia","12.96293"
"2004","I","Desocupados","Indigencia","29.86879"
"2004","I","Inactivos","Indigencia","22.03893"
"2004","I","Patrones","Indigencia","5.39150"
"2004","I","CtaPropia_no_Profesional","Indigencia","21.31919"
"2004","I","CtaPropia_Profesional","Indigencia","3.55008"
"2004","I","Asalariado_Informal","Indigencia","22.66784"
"2004","I","Asalariado_Formal","Indigencia","3.40646"
"2004","I","Sin_Salario","Indigencia","21.55602"
"2004","II","Total","Indigencia","13.43871"
"2004","II","Ocupados","Indigencia","11.15279"
"2004","II","Desocupados","Indigencia","26.84352"
"2004","II","Inactivos","Indigencia","18.30627"
"2004","II","Patrones","Indigencia","5.10427"
"2004","II","CtaPropia_no_Profesional","Indigencia","19.41215"
"2004","II","CtaPropia_Profesional","Indigencia","3.38795"
"2004","II","Asalariado_Informal","Indigencia","20.34862"
"2004","II","Asalariado_Formal","Indigencia","1.86330"
"2004","II","Sin_Salario","Indigencia","20.76552"
"2005","I","Total","Indigencia","11.65517"
"2005","I","Ocupados","Indigencia","9.37097"
"2005","I","Desocupados","Indigencia","24.34421"
"2005","I","Inactivos","Indigencia","16.32755"
"2005","I","Patrones","Indigencia","3.93815"
"2005","I","CtaPropia_no_Profesional","Indigencia","16.58701"
"2005","I","CtaPropia_Profesional","Indigencia","2.59389"
"2005","I","Asalariado_Informal","Indigencia","17.10452"
"2005","I","Asalariado_Formal","Indigencia","1.68542"
"2005","I","Sin_Salario","Indigencia","18.83943"
"2005","II","Total","Indigencia","10.32695"
"2005","II","Ocupados","Indigencia","7.94714"
"2005","II","Desocupados","Indigencia","25.71845"
"2005","II","Inactivos","Indigencia","15.44665"
"2005","II","Patrones","Indigencia","3.00577"
"2005","II","CtaPropia_no_Profesional","Indigencia","15.54573"
"2005","II","CtaPropia_Profesional","Indigencia","1.99220"
"2005","II","Asalariado_Informal","Indigencia","14.44014"
"2005","II","Asalariado_Formal","Indigencia","1.37308"
"2005","II","Sin_Salario","Indigencia","13.74212"
"2006","I","Total","Indigencia","9.15314"
"2006","I","Ocupados","Indigencia","6.89878"
"2006","I","Desocupados","Indigencia","22.00459"
"2006","I","Inactivos","Indigencia","14.34824"
"2006","I","Patrones","Indigencia","3.52810"
"2006","I","CtaPropia_no_Profesional","Indigencia","14.32588"
"2006","I","CtaPropia_Profesional","Indigencia","1.58132"
"2006","I","Asalariado_Informal","Indigencia","12.79787"
"2006","I","Asalariado_Formal","Indigencia","0.98259"
"2006","I","Sin_Salario","Indigencia","11.93427"
"2006","II","Total","Indigencia","7.45428"
"2006","II","Ocupados","Indigencia","5.29707"
"2006","II","Desocupados","Indigencia","21.71399"
"2006","II","Inactivos","Indigencia","12.52187"
"2006","II","Patrones","Indigencia","2.10954"
"2006","II","CtaPropia_no_Profesional","Indigencia","10.34487"
"2006","II","CtaPropia_Profesional","Indigencia","0.73484"
"2006","II","Asalariado_Informal","Indigencia","10.95542"
"2006","II","Asalariado_Formal","Indigencia","0.72344"
"2006","II","Sin_Salario","Indigencia","10.24086"
"2007","I","Total","Indigencia","7.57407"
"2007","I","Ocupados","Indigencia","5.32753"
"2007","I","Desocupados","Indigencia","20.89915"
"2007","I","Inactivos","Indigencia","13.18127"
"2007","I","Patrones","Indigencia","2.71836"
"2007","I","CtaPropia_no_Profesional","Indigencia","11.19072"
"2007","I","CtaPropia_Profesional","Indigencia","1.22177"
"2007","I","Asalariado_Informal","Indigencia","10.96889"
"2007","I","Asalariado_Formal","Indigencia","1.07995"
"2007","I","Sin_Salario","Indigencia","7.44169"
"2007","II","Total","Indigencia","7.61923"
"2007","II","Ocupados","Indigencia","5.46809"
"2007","II","Desocupados","Indigencia","21.40711"
"2007","II","Inactivos","Indigencia","12.73329"
"2007","II","Patrones","Indigencia","2.95678"
"2007","II","CtaPropia_no_Profesional","Indigencia","11.35945"
"2007","II","CtaPropia_Profesional","Indigencia","1.48993"
"2007","II","Asalariado_Informal","Indigencia","11.57269"
"2007","II","Asalariado_Formal","Indigencia","1.05398"
"2007","II","Sin_Salario","Indigencia","10.25224"
"2008","I","Total","Indigencia","7.76810"
"2008","I","Ocupados","Indigencia","5.43492"
"2008","I","Desocupados","Indigencia","23.61188"
"2008","I","Inactivos","Indigencia","13.14398"
"2008","I","Patrones","Indigencia","3.04976"
"2008","I","CtaPropia_no_Profesional","Indigencia","11.67096"
"2008","I","CtaPropia_Profesional","Indigencia","1.17024"
"2008","I","Asalariado_Informal","Indigencia","11.66393"
"2008","I","Asalariado_Formal","Indigencia","1.06056"
"2008","I","Sin_Salario","Indigencia","6.14062"
"2008","II","Total","Indigencia","6.75857"
"2008","II","Ocupados","Indigencia","4.65427"
"2008","II","Desocupados","Indigencia","21.55865"
"2008","II","Inactivos","Indigencia","11.89798"
"2008","II","Patrones","Indigencia","3.09829"
"2008","II","CtaPropia_no_Profesional","Indigencia","10.14384"
"2008","II","CtaPropia_Profesional","Indigencia","2.03705"
"2008","II","Asalariado_Informal","Indigencia","9.72301"
"2008","II","Asalariado_Formal","Indigencia","0.80732"
"2008","II","Sin_Salario","Indigencia","6.78301"
"2009","I","Total","Indigencia","6.45506"
"2009","I","Ocupados","Indigencia","4.38595"
"2009","I","Desocupados","Indigencia","18.59449"
"2009","I","Inactivos","Indigencia","11.61331"
"2009","I","Patrones","Indigencia","2.88716"
"2009","I","CtaPropia_no_Profesional","Indigencia","9.57559"
"2009","I","CtaPropia_Profesional","Indigencia","2.13748"
"2009","I","Asalariado_Informal","Indigencia","9.14284"
"2009","I","Asalariado_Formal","Indigencia","0.91130"
"2009","I","Sin_Salario","Indigencia","5.57587"
"2009","II","Total","Indigencia","6.75431"
"2009","II","Ocupados","Indigencia","4.65502"
"2009","II","Desocupados","Indigencia","17.38451"
"2009","II","Inactivos","Indigencia","12.43007"
"2009","II","Patrones","Indigencia","3.92476"
"2009","II","CtaPropia_no_Profesional","Indigencia","11.25201"
"2009","II","CtaPropia_Profesional","Indigencia","1.52432"
"2009","II","Asalariado_Informal","Indigencia","9.02842"
"2009","II","Asalariado_Formal","Indigencia","0.73850"
"2009","II","Sin_Salario","Indigencia","10.97368"
"2010","I","Total","Indigencia","6.80878"
"2010","I","Ocupados","Indigencia","4.56944"
"2010","I","Desocupados","Indigencia","19.21082"
"2010","I","Inactivos","Indigencia","12.65852"
"2010","I","Patrones","Indigencia","3.22582"
"2010","I","CtaPropia_no_Profesional","Indigencia","10.41928"
"2010","I","CtaPropia_Profesional","Indigencia","1.04070"
"2010","I","Asalariado_Informal","Indigencia","9.49933"
"2010","I","Asalariado_Formal","Indigencia","0.90192"
"2010","I","Sin_Salario","Indigencia","9.98796"
"2010","II","Total","Indigencia","6.43643"
"2010","II","Ocupados","Indigencia","4.38427"
"2010","II","Desocupados","Indigencia","19.91005"
"2010","II","Inactivos","Indigencia","11.82064"
"2010","II","Patrones","Indigencia","1.83802"
"2010","II","CtaPropia_no_Profesional","Indigencia","10.21493"
"2010","II","CtaPropia_Profesional","Indigencia","1.05375"
"2010","II","Asalariado_Informal","Indigencia","8.93133"
"2010","II","Asalariado_Formal","Indigencia","1.06255"
"2010","II","Sin_Salario","Indigencia","19.20241"
"2011","I","Total","Indigencia","5.74861"
"2011","I","Ocupados","Indigencia","3.90301"
"2011","I","Desocupados","Indigencia","19.63767"
"2011","I","Inactivos","Indigencia","10.20031"
"2011","I","Patrones","Indigencia","3.16173"
"2011","I","CtaPropia_no_Profesional","Indigencia","8.38118"
"2011","I","CtaPropia_Profesional","Indigencia","1.74826"
"2011","I","Asalariado_Informal","Indigencia","7.87809"
"2011","I","Asalariado_Formal","Indigencia","1.05541"
"2011","I","Sin_Salario","Indigencia","16.64768"
"2011","II","Total","Indigencia","5.00932"
"2011","II","Ocupados","Indigencia","3.41857"
"2011","II","Desocupados","Indigencia","16.95474"
"2011","II","Inactivos","Indigencia","9.25492"
"2011","II","Patrones","Indigencia","2.30511"
"2011","II","CtaPropia_no_Profesional","Indigencia","7.56200"
"2011","II","CtaPropia_Profesional","Indigencia","0.94149"
"2011","II","Asalariado_Informal","Indigencia","7.49973"
"2011","II","Asalariado_Formal","Indigencia","0.71251"
"2011","II","Sin_Salario","Indigencia","13.26467"
"2012","I","Total","Indigencia","5.02017"
"2012","I","Ocupados","Indigencia","3.20058"
"2012","I","Desocupados","Indigencia","17.02324"
"2012","I","Inactivos","Indigencia","9.78511"
"2012","I","Patrones","Indigencia","2.74637"
"2012","I","CtaPropia_no_Profesional","Indigencia","7.05630"
"2012","I","CtaPropia_Profesional","Indigencia","1.77380"
"2012","I","Asalariado_Informal","Indigencia","6.31476"
"2012","I","Asalariado_Formal","Indigencia","0.85940"
"2012","I","Sin_Salario","Indigencia","12.42188"
"2012","II","Total","Indigencia","4.93283"
"2012","II","Ocupados","Indigencia","3.19905"
"2012","II","Desocupados","Indigencia","17.08981"
"2012","II","Inactivos","Indigencia","9.32903"
"2012","II","Patrones","Indigencia","2.24401"
"2012","II","CtaPropia_no_Profesional","Indigencia","6.89497"
"2012","II","CtaPropia_Profesional","Indigencia","0.89767"
"2012","II","Asalariado_Informal","Indigencia","6.83191"
"2012","II","Asalariado_Formal","Indigencia","0.85022"
"2012","II","Sin_Salario","Indigencia","9.59483"
"2013","I","Total","Indigencia","4.62355"
