"year","semester","age_group","poverty_line","poverty_rate"
"2015","II","child_1_sibling","Indigencia",
"2015","II","child_2more_siblings","Indigencia",
"2016","I","old_and_child","Indigencia",
"2016","I","old_and_old","Indigencia",
"2016","I","child_no_siblings","Indigencia",
"2016","I","child_1_sibling","Indigencia",
"2016","I","child_2more_siblings","Indigencia",
"2016","II","old_and_child","Indigencia","2.3541751"
"2016","II","old_and_old","Indigencia","0.60226244"
"2016","II","child_no_siblings","Indigencia","6.2589121"
"2016","II","child_1_sibling","Indigencia","7.2203736"
"2016","II","child_2more_siblings","Indigencia","15.123873"
"2017","I","old_and_child","Indigencia","1.8950157"
"2017","I","old_and_old","Indigencia","0.2794846"
"2017","I","child_no_siblings","Indigencia","4.8474236"
"2017","I","child_1_sibling","Indigencia","5.6993523"
"2017","I","child_2more_siblings","Indigencia","19.555229"
"2017","II","old_and_child","Indigencia","1.5292494"
"2017","II","old_and_old","Indigencia","1.0585288"
"2017","II","child_no_siblings","Indigencia","4.543776"
"2017","II","child_1_sibling","Indigencia","4.7849398"
"2017","II","child_2more_siblings","Indigencia","14.089566"
"2018","I","old_and_child","Indigencia","1.859695"
"2018","I","old_and_old","Indigencia","0.63383639"
"2018","I","child_no_siblings","Indigencia","4.7375855"
"2018","I","child_1_sibling","Indigencia","4.8337064"
"2018","I","child_2more_siblings","Indigencia","15.192642"
"2018","II","old_and_child","Indigencia","2.1547503"
"2018","II","old_and_old","Indigencia","0.44853657"
"2018","II","child_no_siblings","Indigencia","6.0831532"
"2018","II","child_1_sibling","Indigencia","7.4267669"
"2018","II","child_2more_siblings","Indigencia","19.625359"
"2019","I","old_and_child","Indigencia","4.9224057"
"2019","I","old_and_old","Indigencia","0.47891623"
"2019","I","child_no_siblings","Indigencia","5.4074068"
"2019","I","child_1_sibling","Indigencia","8.8150539"
"2019","I","child_2more_siblings","Indigencia","23.640512"
"2019","II","old_and_child","Indigencia","4.1730103"
"2019","II","old_and_old","Indigencia","0.40581012"
"2019","II","child_no_siblings","Indigencia","6.5811753"
"2019","II","child_1_sibling","Indigencia","10.041868"
"2019","II","child_2more_siblings","Indigencia","25.355623"
"2020","I","old_and_child","Indigencia","5.3666992"
"2020","I","old_and_old","Indigencia","0.427643"
"2020","I","child_no_siblings","Indigencia","9.7045794"
"2020","I","child_1_sibling","Indigencia","12.954723"
