year,semester,region,k_value,pov_rate
2003,II,Total,.25,.25620136
2003,II,Partidos,.25,.3598527
2003,II,CABA,.25,.054636288
2003,II,Pampeana,.25,.18568933
2003,II,NEA,.25,.32218173
2003,II,NOA,.25,.28298169
2003,II,Cuyo,.25,.18239172
2003,II,Patagonia,.25,.099747457
2004,I,Total,.25,.2381281
2004,I,Partidos,.25,.33291909
2004,I,CABA,.25,.048971187
2004,I,Pampeana,.25,.17804673
2004,I,NEA,.25,.30242676
2004,I,NOA,.25,.26484713
2004,I,Cuyo,.25,.17193463
2004,I,Patagonia,.25,.098758519
2004,II,Total,.25,.22928421
2004,II,Partidos,.25,.31671581
2004,II,CABA,.25,.040716197
2004,II,Pampeana,.25,.17475015
2004,II,NEA,.25,.29523471
2004,II,NOA,.25,.26685476
2004,II,Cuyo,.25,.17235394
2004,II,Patagonia,.25,.092585504
2005,I,Total,.25,.22476181
2005,I,Partidos,.25,.3074038
2005,I,CABA,.25,.045316346
2005,I,Pampeana,.25,.17147839
2005,I,NEA,.25,.28240204
2005,I,NOA,.25,.26145807
2005,I,Cuyo,.25,.18428844
2005,I,Patagonia,.25,.094596736
2005,II,Total,.25,.21894695
2005,II,Partidos,.25,.30235693
2005,II,CABA,.25,.041294102
2005,II,Pampeana,.25,.16249356
2005,II,NEA,.25,.27191314
2005,II,NOA,.25,.26147345
2005,II,Cuyo,.25,.17699064
2005,II,Patagonia,.25,.088444598
2006,I,Total,.25,.21304233
2006,I,Partidos,.25,.29232284
2006,I,CABA,.25,.050283588
2006,I,Pampeana,.25,.15321322
2006,I,NEA,.25,.28133994
2006,I,NOA,.25,.25285861
2006,I,Cuyo,.25,.17493688
2006,I,Patagonia,.25,.07103347
2006,II,Total,.25,.20664655
2006,II,Partidos,.25,.2878899
2006,II,CABA,.25,.047149826
2006,II,Pampeana,.25,.15386477
2006,II,NEA,.25,.27696502
2006,II,NOA,.25,.2394156
2006,II,Cuyo,.25,.14633447
2006,II,Patagonia,.25,.08423958
2007,I,Total,.25,.19301747
2007,I,Partidos,.25,.26245072
2007,I,CABA,.25,.055027079
2007,I,Pampeana,.25,.142739
2007,I,NEA,.25,.25513503
2007,I,NOA,.25,.23437563
2007,I,Cuyo,.25,.14804409
2007,I,Patagonia,.25,.069956087
2007,II,Total,.25,.18626682
2007,II,Partidos,.25,.25274488
2007,II,CABA,.25,.058311716
2007,II,Pampeana,.25,.14457613
2007,II,NEA,.25,.2304924
2007,II,NOA,.25,.21277198
2007,II,Cuyo,.25,.1377313
2007,II,Patagonia,.25,.087419324
2008,I,Total,.25,.17976698
2008,I,Partidos,.25,.24851732
2008,I,CABA,.25,.033467803
2008,I,Pampeana,.25,.13781878
2008,I,NEA,.25,.21059218
2008,I,NOA,.25,.21906224
2008,I,Cuyo,.25,.13976859
2008,I,Patagonia,.25,.08434765
2008,II,Total,.25,.18057258
2008,II,Partidos,.25,.24818587
2008,II,CABA,.25,.054905463
2008,II,Pampeana,.25,.13732131
2008,II,NEA,.25,.19418968
2008,II,NOA,.25,.21368191
2008,II,Cuyo,.25,.13604136
2008,II,Patagonia,.25,.080978148
2009,I,Total,.25,.17639045
2009,I,Partidos,.25,.23887178
2009,I,CABA,.25,.046888031
2009,I,Pampeana,.25,.1360539
2009,I,NEA,.25,.17852175
2009,I,NOA,.25,.22739483
2009,I,Cuyo,.25,.13624486
2009,I,Patagonia,.25,.089974418
2009,II,Total,.25,.17589489
2009,II,Partidos,.25,.24838586
2009,II,CABA,.25,.041893955
2009,II,Pampeana,.25,.12957695
2009,II,NEA,.25,.19624358
2009,II,NOA,.25,.2035424
2009,II,Cuyo,.25,.1253057
2009,II,Patagonia,.25,.071750328
2010,I,Total,.25,.16063555
2010,I,Partidos,.25,.2152907
2010,I,CABA,.25,.045460016
2010,I,Pampeana,.25,.13205996
2010,I,NEA,.25,.18446967
2010,I,NOA,.25,.19246414
2010,I,Cuyo,.25,.10986264
2010,I,Patagonia,.25,.074312449
2010,II,Total,.25,.15682007
2010,II,Partidos,.25,.21682863
2010,II,CABA,.25,.038823798
2010,II,Pampeana,.25,.11764725
2010,II,NEA,.25,.17790921
2010,II,NOA,.25,.18149434
2010,II,Cuyo,.25,.12568495
2010,II,Patagonia,.25,.072005965
2011,I,Total,.25,.13752556
2011,I,Partidos,.25,.18349244
2011,I,CABA,.25,.025504475
2011,I,Pampeana,.25,.11016788
2011,I,NEA,.25,.16935061
2011,I,NOA,.25,.18456608
2011,I,Cuyo,.25,.096158661
2011,I,Patagonia,.25,.066075034
2011,II,Total,.25,.14092146
2011,II,Partidos,.25,.18935546
2011,II,CABA,.25,.027596951
2011,II,Pampeana,.25,.10747834
2011,II,NEA,.25,.1792073
2011,II,NOA,.25,.17487983
2011,II,Cuyo,.25,.1191018
2011,II,Patagonia,.25,.06190585
2012,I,Total,.25,.14187948
2012,I,Partidos,.25,.21095021
2012,I,CABA,.25,.013586588
2012,I,Pampeana,.25,.10314896
2012,I,NEA,.25,.13482898
2012,I,NOA,.25,.15694781
2012,I,Cuyo,.25,.10442764
2012,I,Patagonia,.25,.055023883
2012,II,Total,.25,.12991908
2012,II,Partidos,.25,.184641
2012,II,CABA,.25,.020842543
2012,II,Pampeana,.25,.098593958
2012,II,NEA,.25,.13398135
2012,II,NOA,.25,.14791395
2012,II,Cuyo,.25,.10220733
2012,II,Patagonia,.25,.05419039
2013,I,Total,.25,.12450858
2013,I,Partidos,.25,.17515723
2013,I,CABA,.25,.039129242
2013,I,Pampeana,.25,.095239282
2013,I,NEA,.25,.12354682
2013,I,NOA,.25,.13910614
2013,I,Cuyo,.25,.08164864
2013,I,Patagonia,.25,.046647225
2013,II,Total,.25,.12342758
2013,II,Partidos,.25,.17401958
2013,II,CABA,.25,.027972419
2013,II,Pampeana,.25,.099131964
2013,II,NEA,.25,.11753625
2013,II,NOA,.25,.13215213
2013,II,Cuyo,.25,.088891476
2013,II,Patagonia,.25,.041243758
2014,I,Total,.25,.11746814
2014,I,Partidos,.25,.16949245
2014,I,CABA,.25,.010552406
2014,I,Pampeana,.25,.10355526
2014,I,NEA,.25,.09897247
2014,I,NOA,.25,.11148733
2014,I,Cuyo,.25,.087505199
2014,I,Patagonia,.25,.053231735
2014,II,Total,.25,.1253361
2014,II,Partidos,.25,.18888512
2014,II,CABA,.25,.0089420928
2014,II,Pampeana,.25,.097127877
2014,II,NEA,.25,.097816996
2014,II,NOA,.25,.11696934
2014,II,Cuyo,.25,.098618992
2014,II,Patagonia,.25,.050443672
2015,I,Total,.25,.11629494
2015,I,Partidos,.25,.1805318
2015,I,CABA,.25,.0082163345
2015,I,Pampeana,.25,.08806026
2015,I,NEA,.25,.085048027
2015,I,NOA,.25,.10215887
2015,I,Cuyo,.25,.072638154
2015,I,Patagonia,.25,.052551996
2015,II,Total,.25,
2015,II,Partidos,.25,
2015,II,CABA,.25,
2015,II,Pampeana,.25,
2015,II,NEA,.25,
2015,II,NOA,.25,
2015,II,Cuyo,.25,
2015,II,Patagonia,.25,
2016,I,Total,.25,
2016,I,Partidos,.25,
2016,I,CABA,.25,
2016,I,Pampeana,.25,
2016,I,NEA,.25,
2016,I,NOA,.25,
2016,I,Cuyo,.25,
2016,I,Patagonia,.25,
2016,II,Total,.25,.11671781
2016,II,Partidos,.25,.17294739
2016,II,CABA,.25,.019698156
2016,II,Pampeana,.25,.091753781
2016,II,NEA,.25,.088721111
2016,II,NOA,.25,.090460122
2016,II,Cuyo,.25,.068433248
2016,II,Patagonia,.25,.043458071
2017,I,Total,.25,.11771419
2017,I,Partidos,.25,.1792592
2017,I,CABA,.25,.015993366
2017,I,Pampeana,.25,.090273976
2017,I,NEA,.25,.077255242
2017,I,NOA,.25,.089205943
2017,I,Cuyo,.25,.073731683
2017,I,Patagonia,.25,.032158401
2017,II,Total,.25,.11368415
2017,II,Partidos,.25,.16994885
2017,II,CABA,.25,.017601594
2017,II,Pampeana,.25,.086303204
2017,II,NEA,.25,.079547048
2017,II,NOA,.25,.097520158
2017,II,Cuyo,.25,.062451411
2017,II,Patagonia,.25,.032719474
2018,I,Total,.25,.10206816
2018,I,Partidos,.25,.14471197
2018,I,CABA,.25,.0097914906
2018,I,Pampeana,.25,.09147682
2018,I,NEA,.25,.078056917
2018,I,NOA,.25,.092262216
2018,I,Cuyo,.25,.074528076
2018,I,Patagonia,.25,.025707858
2018,II,Total,.25,.11012591
2018,II,Partidos,.25,.1540238
2018,II,CABA,.25,.0083366977
2018,II,Pampeana,.25,.10480797
2018,II,NEA,.25,.081581585
2018,II,NOA,.25,.10688391
2018,II,Cuyo,.25,.063157648
2018,II,Patagonia,.25,.026539823
2019,I,Total,.25,.10492054
2019,I,Partidos,.25,.14467846
2019,I,CABA,.25,.019586785
2019,I,Pampeana,.25,.093303718
2019,I,NEA,.25,.081626348
2019,I,NOA,.25,.11159395
2019,I,Cuyo,.25,.062151831
2019,I,Patagonia,.25,.033908524
2019,II,Total,.25,.11354382
2019,II,Partidos,.25,.16026421
2019,II,CABA,.25,.01672649
2019,II,Pampeana,.25,.093511283
2019,II,NEA,.25,.075740688
2019,II,NOA,.25,.1296986
2019,II,Cuyo,.25,.068268821
2019,II,Patagonia,.25,.028145997
2020,I,Total,.25,.11226034
2020,I,Partidos,.25,.16328239
2020,I,CABA,.25,.015095547
2020,I,Pampeana,.25,.097585462
2020,I,NEA,.25,.065976746
2020,I,NOA,.25,.10781962
2020,I,Cuyo,.25,.06248844
2020,I,Patagonia,.25,.035177261
2020,II,Total,.25,.12101454
2020,II,Partidos,.25,.18557064
2020,II,CABA,.25,.013217445
2020,II,Pampeana,.25,.076524481
2020,II,NEA,.25,.090951145
2020,II,NOA,.25,.12321765
2020,II,Cuyo,.25,.071298853
2020,II,Patagonia,.25,.041450772
2021,I,Total,.25,.091932409
2021,I,Partidos,.25,.12370167
2021,I,CABA,.25,.0064782114
2021,I,Pampeana,.25,.086868927
2021,I,NEA,.25,.069685921
2021,I,NOA,.25,.10530049
2021,I,Cuyo,.25,.058545601
2021,I,Patagonia,.25,.02072609
2021,II,Total,.25,.090999581
2021,II,Partidos,.25,.12906116
2021,II,CABA,.25,.010141605
2021,II,Pampeana,.25,.077039056
2021,II,NEA,.25,.063745327
2021,II,NOA,.25,.090778895
2021,II,Cuyo,.25,.05669279
2021,II,Patagonia,.25,.017300539
2022,I,Total,.25,.088349372
2022,I,Partidos,.25,.1274111
2022,I,CABA,.25,.0067414506
2022,I,Pampeana,.25,.073204137
2022,I,NEA,.25,.07709378
2022,I,NOA,.25,.079921506
2022,I,Cuyo,.25,.058187902
2022,I,Patagonia,.25,.01744552
2022,II,Total,.25,.090632834
2022,II,Partidos,.25,.12624656
2022,II,CABA,.25,.011374134
2022,II,Pampeana,.25,.07707312
2022,II,NEA,.25,.076137446
2022,II,NOA,.25,.093948022
2022,II,Cuyo,.25,.0600367
2022,II,Patagonia,.25,.01646205
2023,I,Total,.25,.089054793
2023,I,Partidos,.25,.12649035
2023,I,CABA,.25,.017432965
