"year","semester","region","poverty_line","poverty_rate"
"2008","II","CABA","Pobreza","14.75752"
"2008","II","Pampeana","Pobreza","33.01015"
"2008","II","NEA","Pobreza","53.44178"
"2008","II","NOA","Pobreza","46.78156"
"2008","II","Cuyo","Pobreza","39.56066"
"2008","II","Patagonia","Pobreza","24.73703"
"2009","I","Total","Pobreza","34.94580"
"2009","I","Partidos del GBA","Pobreza","36.55241"
"2009","I","CABA","Pobreza","17.67086"
"2009","I","Pampeana","Pobreza","32.84619"
"2009","I","NEA","Pobreza","50.52549"
"2009","I","NOA","Pobreza","45.92804"
"2009","I","Cuyo","Pobreza","40.40390"
"2009","I","Patagonia","Pobreza","23.43523"
"2009","II","Total","Pobreza","32.87834"
"2009","II","Partidos del GBA","Pobreza","35.03885"
"2009","II","CABA","Pobreza","11.73393"
"2009","II","Pampeana","Pobreza","31.73035"
"2009","II","NEA","Pobreza","51.09467"
"2009","II","NOA","Pobreza","41.56752"
"2009","II","Cuyo","Pobreza","39.14815"
"2009","II","Patagonia","Pobreza","23.51515"
"2010","I","Total","Pobreza","32.80850"
"2010","I","Partidos del GBA","Pobreza","33.56514"
"2010","I","CABA","Pobreza","14.13667"
"2010","I","Pampeana","Pobreza","32.60856"
"2010","I","NEA","Pobreza","48.79843"
"2010","I","NOA","Pobreza","41.41719"
"2010","I","Cuyo","Pobreza","41.26162"
"2010","I","Patagonia","Pobreza","24.57226"
"2010","II","Total","Pobreza","31.94273"
"2010","II","Partidos del GBA","Pobreza","32.86595"
"2010","II","CABA","Pobreza","13.60832"
"2010","II","Pampeana","Pobreza","31.33043"
"2010","II","NEA","Pobreza","48.93925"
"2010","II","NOA","Pobreza","38.09441"
"2010","II","Cuyo","Pobreza","43.05491"
"2010","II","Patagonia","Pobreza","23.30425"
"2011","I","Total","Pobreza","29.25113"
"2011","I","Partidos del GBA","Pobreza","30.80760"
"2011","I","CABA","Pobreza","11.18875"
"2011","I","Pampeana","Pobreza","27.91486"
"2011","I","NEA","Pobreza","46.06483"
"2011","I","NOA","Pobreza","37.21356"
"2011","I","Cuyo","Pobreza","35.56973"
"2011","I","Patagonia","Pobreza","20.52597"
"2011","II","Total","Pobreza","28.00668"
"2011","II","Partidos del GBA","Pobreza","30.17554"
"2011","II","CABA","Pobreza","8.74479"
"2011","II","Pampeana","Pobreza","27.17865"
"2011","II","NEA","Pobreza","42.83120"
"2011","II","NOA","Pobreza","34.16450"
"2011","II","Cuyo","Pobreza","34.19350"
"2011","II","Patagonia","Pobreza","21.59492"
"2012","I","Total","Pobreza","27.86271"
"2012","I","Partidos del GBA","Pobreza","32.10266"
"2012","I","CABA","Pobreza","10.41831"
"2012","I","Pampeana","Pobreza","24.43066"
"2012","I","NEA","Pobreza","39.94264"
"2012","I","NOA","Pobreza","32.13219"
"2012","I","Cuyo","Pobreza","33.49000"
"2012","I","Patagonia","Pobreza","16.73218"
"2012","II","Total","Pobreza","27.46770"
"2012","II","Partidos del GBA","Pobreza","30.78070"
"2012","II","CABA","Pobreza","9.56625"
"2012","II","Pampeana","Pobreza","25.15666"
"2012","II","NEA","Pobreza","42.25180"
"2012","II","NOA","Pobreza","31.29886"
"2012","II","Cuyo","Pobreza","32.51342"
"2012","II","Patagonia","Pobreza","20.55822"
"2013","I","Total","Pobreza","27.59178"
"2013","I","Partidos del GBA","Pobreza","30.39495"
"2013","I","CABA","Pobreza","11.40591"
"2013","I","Pampeana","Pobreza","24.72566"
"2013","I","NEA","Pobreza","44.66581"
"2013","I","NOA","Pobreza","32.08112"
"2013","I","Cuyo","Pobreza","31.66191"
"2013","I","Patagonia","Pobreza","20.44444"
"2013","II","Total","Pobreza","27.00197"
"2013","II","Partidos del GBA","Pobreza","30.12910"
"2013","II","CABA","Pobreza","11.05363"
"2013","II","Pampeana","Pobreza","24.78120"
"2013","II","NEA","Pobreza","40.39414"
"2013","II","NOA","Pobreza","30.66424"
"2013","II","Cuyo","Pobreza","29.82219"
"2013","II","Patagonia","Pobreza","21.13814"
"2014","I","Total","Pobreza","30.73007"
"2014","I","Partidos del GBA","Pobreza","34.80970"
"2014","I","CABA","Pobreza","13.99872"
"2014","I","Pampeana","Pobreza","28.12292"
"2014","I","NEA","Pobreza","41.30623"
"2014","I","NOA","Pobreza","32.77108"
"2014","I","Cuyo","Pobreza","34.94196"
"2014","I","Patagonia","Pobreza","24.17831"
"2014","II","Total","Pobreza","32.25074"
"2014","II","Partidos del GBA","Pobreza","37.66965"
"2014","II","CABA","Pobreza","13.83729"
"2014","II","Pampeana","Pobreza","28.65570"
"2014","II","NEA","Pobreza","43.83730"
"2014","II","NOA","Pobreza","34.44754"
"2014","II","Cuyo","Pobreza","35.14071"
"2014","II","Patagonia","Pobreza","21.48246"
"2015","I","Total","Pobreza","29.95272"
"2015","I","Partidos del GBA","Pobreza","35.02499"
"2015","I","CABA","Pobreza","13.37479"
"2015","I","Pampeana","Pobreza","27.20936"
"2015","I","NEA","Pobreza","40.16556"
"2015","I","NOA","Pobreza","31.82943"
"2015","I","Cuyo","Pobreza","30.50312"
"2015","I","Patagonia","Pobreza","18.96277"
"2015","II","Total","Pobreza",""
"2015","II","Partidos del GBA","Pobreza",""
"2015","II","CABA","Pobreza",""
"2015","II","Pampeana","Pobreza",""
"2015","II","NEA","Pobreza",""
"2015","II","NOA","Pobreza",""
"2015","II","Cuyo","Pobreza",""
"2015","II","Patagonia","Pobreza",""
"2016","I","Total","Pobreza",""
"2016","I","Partidos del GBA","Pobreza",""
"2016","I","CABA","Pobreza",""
"2016","I","Pampeana","Pobreza",""
"2016","I","NEA","Pobreza",""
"2016","I","NOA","Pobreza",""
"2016","I","Cuyo","Pobreza",""
"2016","I","Patagonia","Pobreza",""
"2016","II","Total","Pobreza","30.34284"
"2016","II","Partidos del GBA","Pobreza","34.61350"
"2016","II","CABA","Pobreza","9.59405"
"2016","II","Pampeana","Pobreza","30.48414"
"2016","II","NEA","Pobreza","32.87899"
"2016","II","NOA","Pobreza","31.62903"
"2016","II","Cuyo","Pobreza","35.69915"
"2016","II","Patagonia","Pobreza","23.92841"
"2017","I","Total","Pobreza","28.51996"
"2017","I","Partidos del GBA","Pobreza","32.60760"
"2017","I","CABA","Pobreza","13.29485"
"2017","I","Pampeana","Pobreza","27.92477"
"2017","I","NEA","Pobreza","33.28524"
"2017","I","NOA","Pobreza","28.24406"
