"year","semester","region","poverty_line","poverty_rate"
"2019","I","NEA","Pobreza","42.61672"
"2019","I","NOA","Pobreza","40.01477"
"2019","I","Cuyo","Pobreza","34.87281"
"2019","I","Patagonia","Pobreza","29.15725"
"2019","II","Total","Pobreza","35.71602"
"2019","II","Partidos del GBA","Pobreza","40.69305"
"2019","II","CABA","Pobreza","13.96154"
"2019","II","Pampeana","Pobreza","33.46596"
"2019","II","NEA","Pobreza","41.82449"
"2019","II","NOA","Pobreza","41.04298"
"2019","II","Cuyo","Pobreza","36.71933"
"2019","II","Patagonia","Pobreza","30.27992"
"2020","I","Total","Pobreza","40.81258"
"2020","I","Partidos del GBA","Pobreza","47.43816"
"2020","I","CABA","Pobreza","17.35119"
"2020","I","Pampeana","Pobreza","39.71775"
"2020","I","NEA","Pobreza","42.96913"
"2020","I","NOA","Pobreza","40.36142"
"2020","I","Cuyo","Pobreza","39.35732"
"2020","I","Patagonia","Pobreza","36.95642"
"2020","II","Total","Pobreza","42.07891"
"2020","II","Partidos del GBA","Pobreza","51.09927"
"2020","II","CABA","Pobreza","16.80001"
"2020","II","Pampeana","Pobreza","38.03745"
"2020","II","NEA","Pobreza","43.48503"
"2020","II","NOA","Pobreza","40.52765"
"2020","II","Cuyo","Pobreza","40.76335"
"2020","II","Patagonia","Pobreza","35.24252"
"2021","I","Total","Pobreza","40.44234"
"2021","I","Partidos del GBA","Pobreza","44.90661"
"2021","I","CABA","Pobreza","13.84225"
"2021","I","Pampeana","Pobreza","42.19244"
"2021","I","NEA","Pobreza","44.82881"
"2021","I","NOA","Pobreza","44.27602"
"2021","I","Cuyo","Pobreza","42.07166"
"2021","I","Patagonia","Pobreza","34.11704"
"2021","II","Total","Pobreza","37.26434"
"2021","II","Partidos del GBA","Pobreza","42.17069"
"2021","II","CABA","Pobreza","16.61450"
"2021","II","Pampeana","Pobreza","35.25137"
"2021","II","NEA","Pobreza","39.47203"
"2021","II","NOA","Pobreza","39.48033"
"2021","II","Cuyo","Pobreza","42.62274"
"2021","II","Patagonia","Pobreza","31.48921"
"2022","I","Total","Pobreza","36.28605"
"2022","I","Partidos del GBA","Pobreza","41.34401"
"2022","I","CABA","Pobreza","15.97694"
"2022","I","Pampeana","Pobreza","36.33516"
"2022","I","NEA","Pobreza","36.78685"
"2022","I","NOA","Pobreza","36.03698"
"2022","I","Cuyo","Pobreza","37.18496"
"2022","I","Patagonia","Pobreza","31.60238"
"2022","II","Total","Pobreza","39.35537"
"2022","II","Partidos del GBA","Pobreza","45.14034"
"2022","II","CABA","Pobreza","16.43035"
"2022","II","Pampeana","Pobreza","36.53875"
"2022","II","NEA","Pobreza","43.84576"
"2022","II","NOA","Pobreza","43.28928"
"2022","II","Cuyo","Pobreza","39.77552"
"2022","II","Patagonia","Pobreza","34.48264"
"2023","I","Total","Pobreza","39.99802"
"2023","I","Partidos del GBA","Pobreza","46.67891"
"2023","I","CABA","Pobreza","17.91617"
"2023","I","Pampeana","Pobreza","36.83223"
"2023","I","NEA","Pobreza","42.84270"
"2023","I","NOA","Pobreza","41.22143"
"2023","I","Cuyo","Pobreza","40.66777"
"2023","I","Patagonia","Pobreza","32.71412"
"2023","II","Total","Pobreza","41.90698"
"2023","II","Partidos del GBA","Pobreza","46.01169"
"2023","II","CABA","Pobreza","21.31422"
"2023","II","Pampeana","Pobreza","40.17643"
"2023","II","NEA","Pobreza","48.18480"
"2023","II","NOA","Pobreza","45.69282"
"2023","II","Cuyo","Pobreza","44.94734"
"2023","II","Patagonia","Pobreza","36.97713"
"2024","I","Total","Pobreza","52.87982"
"2024","I","Partidos del GBA","Pobreza","59.67503"
"2024","I","CABA","Pobreza","22.85865"
"2024","I","Pampeana","Pobreza","49.76989"
"2024","I","NEA","Pobreza","63.28083"
"2024","I","NOA","Pobreza","56.96293"
"2024","I","Cuyo","Pobreza","52.47570"
"2024","I","Patagonia","Pobreza","49.23751"
"2024","II","Total","Pobreza","38.09778"
"2024","II","Partidos del GBA","Pobreza","42.10297"
"2024","II","CABA","Pobreza","16.29789"
"2024","II","Pampeana","Pobreza","35.67826"
"2024","II","NEA","Pobreza","47.21940"
"2024","II","NOA","Pobreza","42.63105"
"2024","II","Cuyo","Pobreza","42.34362"
"2024","II","Patagonia","Pobreza","33.28968"
"2025","I","Total","Pobreza","31.59800"
"2025","I","Partidos del GBA","Pobreza","35.35591"
"2025","I","CABA","Pobreza","15.06302"
"2025","I","Pampeana","Pobreza","30.46761"
"2025","I","NEA","Pobreza","38.76929"
"2025","I","NOA","Pobreza","31.02754"
"2025","I","Cuyo","Pobreza","33.75113"
"2025","I","Patagonia","Pobreza","26.93361"
