"year","period_type","date","survey","region","poverty_rate"
"1988","mes","5","EPH-Puntual","GBA","29.80000"
"1988","mes","10","EPH-Puntual","GBA","32.30000"
"1989","mes","5","EPH-Puntual","GBA","25.90000"
"1989","mes","10","EPH-Puntual","GBA","47.30000"
"1990","mes","5","EPH-Puntual","GBA","42.50000"
"1990","mes","10","EPH-Puntual","GBA","33.70000"
"1991","mes","5","EPH-Puntual","GBA","28.90000"
"1991","mes","10","EPH-Puntual","GBA","21.50000"
"1992","mes","5","EPH-Puntual","GBA","19.30000"
"1992","mes","10","EPH-Puntual","GBA","17.80000"
"1993","mes","5","EPH-Puntual","GBA","17.70000"
"1993","mes","10","EPH-Puntual","GBA","16.80000"
"1994","mes","5","EPH-Puntual","GBA","16.10000"
"1994","mes","10","EPH-Puntual","GBA","19.00000"
"1995","mes","5","EPH-Puntual","GBA","22.20000"
"1995","mes","10","EPH-Puntual","GBA","24.80000"
"1996","mes","5","EPH-Puntual","GBA","26.70000"
"1996","mes","10","EPH-Puntual","GBA","27.90000"
"1997","mes","5","EPH-Puntual","GBA","26.30000"
"1997","mes","10","EPH-Puntual","GBA","26.00000"
"1998","mes","5","EPH-Puntual","GBA","24.30000"
"1998","mes","10","EPH-Puntual","GBA","25.90000"
"1999","mes","5","EPH-Puntual","GBA","27.10000"
"1999","mes","10","EPH-Puntual","GBA","26.70000"
"2000","mes","5","EPH-Puntual","GBA","29.70000"
"2000","mes","10","EPH-Puntual","GBA","28.90000"
"2001","mes","5","EPH-Puntual","GBA","32.70000"
"2001","mes","10","EPH-Puntual","GBA","35.40000"
"2002","mes","5","EPH-Puntual","GBA","49.70000"
"2002","mes","10","EPH-Puntual","GBA","54.30000"
"2003","mes","5","EPH-Puntual","GBA","51.70000"
"2003","semestre","1","EPH-Continua","GBA","52.30000"
"2003","semestre","2","EPH-Continua","GBA","46.20000"
"2004","semestre","1","EPH-Continua","GBA","42.70000"
"2004","semestre","2","EPH-Continua","GBA","37.70000"
"2005","semestre","1","EPH-Continua","GBA","38.00000"
"2005","semestre","2","EPH-Continua","GBA","30.90000"
"2006","semestre","1","EPH-Continua","GBA","29.40000"
"2006","semestre","2","EPH-Continua","GBA","25.50000"
"2001","mes","5","EPH-Puntual","national","35.90000"
"2001","mes","10","EPH-Puntual","national","38.30000"
"2002","mes","5","EPH-Puntual","national","53.00000"
"2002","mes","10","EPH-Puntual","national","57.50000"
"2003","mes","5","EPH-Puntual","national","54.70000"
"2003","semestre","1","EPH-Continua","national","54.00000"
"2003","semestre","2","EPH-Continua","national","47.80000"
"2004","semestre","1","EPH-Continua","national","44.30000"
"2004","semestre","2","EPH-Continua","national","40.20000"
"2005","semestre","1","EPH-Continua","national","38.90000"
"2005","semestre","2","EPH-Continua","national","33.80000"
"2006","semestre","1","EPH-Continua","national","31.40000"
"2006","semestre","2","EPH-Continua","national","26.90000"
