"year","semester","age_group","poverty_line","poverty_rate"
"2003","II","Total","Indigencia","22.11046"
"2003","II","0_14_years","Indigencia","31.98634"
"2003","II","15_29_years","Indigencia","23.18705"
"2003","II","30_64_years","Indigencia","18.18046"
"2003","II","65_and_more_years","Indigencia","9.34205"
"2004","I","Total","Indigencia","20.49504"
"2004","I","0_14_years","Indigencia","29.86899"
"2004","I","15_29_years","Indigencia","20.42710"
"2004","I","30_64_years","Indigencia","16.18354"
"2004","I","65_and_more_years","Indigencia","13.77873"
"2004","II","Total","Indigencia","16.75945"
"2004","II","0_14_years","Indigencia","26.55892"
"2004","II","15_29_years","Indigencia","16.70232"
"2004","II","30_64_years","Indigencia","13.31216"
"2004","II","65_and_more_years","Indigencia","5.74181"
"2005","I","Total","Indigencia","14.85882"
"2005","I","0_14_years","Indigencia","23.61602"
"2005","I","15_29_years","Indigencia","15.48948"
"2005","I","30_64_years","Indigencia","11.35770"
"2005","I","65_and_more_years","Indigencia","5.22630"
"2005","II","Total","Indigencia","13.42815"
"2005","II","0_14_years","Indigencia","22.32578"
"2005","II","15_29_years","Indigencia","13.34966"
"2005","II","30_64_years","Indigencia","10.18419"
"2005","II","65_and_more_years","Indigencia","4.24348"
"2006","I","Total","Indigencia","12.21319"
"2006","I","0_14_years","Indigencia","20.03646"
"2006","I","15_29_years","Indigencia","12.40775"
"2006","I","30_64_years","Indigencia","9.12771"
"2006","I","65_and_more_years","Indigencia","4.66242"
"2006","II","Total","Indigencia","9.99219"
"2006","II","0_14_years","Indigencia","16.58327"
"2006","II","15_29_years","Indigencia","9.91763"
"2006","II","30_64_years","Indigencia","7.56211"
"2006","II","65_and_more_years","Indigencia","3.57140"
"2007","I","Total","Indigencia","10.00291"
"2007","I","0_14_years","Indigencia","17.12141"
"2007","I","15_29_years","Indigencia","10.21754"
"2007","I","30_64_years","Indigencia","7.37688"
"2007","I","65_and_more_years","Indigencia","2.71495"
"2007","II","Total","Indigencia","9.82874"
"2007","II","0_14_years","Indigencia","16.53200"
"2007","II","15_29_years","Indigencia","9.99042"
"2007","II","30_64_years","Indigencia","7.52400"
"2007","II","65_and_more_years","Indigencia","2.38259"
"2008","I","Total","Indigencia","10.23508"
"2008","I","0_14_years","Indigencia","17.54807"
"2008","I","15_29_years","Indigencia","10.58877"
"2008","I","30_64_years","Indigencia","7.61187"
"2008","I","65_and_more_years","Indigencia","2.27308"
"2008","II","Total","Indigencia","8.98700"
"2008","II","0_14_years","Indigencia","15.21157"
"2008","II","15_29_years","Indigencia","9.44084"
"2008","II","30_64_years","Indigencia","6.65920"
"2008","II","65_and_more_years","Indigencia","2.19755"
"2009","I","Total","Indigencia","8.34706"
"2009","I","0_14_years","Indigencia","14.35612"
"2009","I","15_29_years","Indigencia","8.64390"
"2009","I","30_64_years","Indigencia","6.39547"
"2009","I","65_and_more_years","Indigencia","1.43148"
"2009","II","Total","Indigencia","8.34012"
"2009","II","0_14_years","Indigencia","13.58133"
"2009","II","15_29_years","Indigencia","8.93809"
"2009","II","30_64_years","Indigencia","6.64510"
"2009","II","65_and_more_years","Indigencia","1.53942"
"2010","I","Total","Indigencia","8.71463"
"2010","I","0_14_years","Indigencia","14.36820"
"2010","I","15_29_years","Indigencia","9.23846"
"2010","I","30_64_years","Indigencia","6.76003"
"2010","I","65_and_more_years","Indigencia","2.36911"
"2010","II","Total","Indigencia","8.28044"
"2010","II","0_14_years","Indigencia","13.56471"
"2010","II","15_29_years","Indigencia","9.05123"
"2010","II","30_64_years","Indigencia","6.43061"
"2010","II","65_and_more_years","Indigencia","1.78048"
"2011","I","Total","Indigencia","7.31956"
"2011","I","0_14_years","Indigencia","11.84466"
"2011","I","15_29_years","Indigencia","7.93471"
"2011","I","30_64_years","Indigencia","5.79165"
"2011","I","65_and_more_years","Indigencia","1.63805"
"2011","II","Total","Indigencia","6.41160"
"2011","II","0_14_years","Indigencia","10.40637"
"2011","II","15_29_years","Indigencia","7.39944"
"2011","II","30_64_years","Indigencia","4.88178"
"2011","II","65_and_more_years","Indigencia","1.06791"
"2012","I","Total","Indigencia","6.49239"
"2012","I","0_14_years","Indigencia","10.78945"
"2012","I","15_29_years","Indigencia","6.99831"
"2012","I","30_64_years","Indigencia","5.09706"
"2012","I","65_and_more_years","Indigencia","1.23424"
"2012","II","Total","Indigencia","6.40759"
"2012","II","0_14_years","Indigencia","11.08432"
"2012","II","15_29_years","Indigencia","6.87389"
"2012","II","30_64_years","Indigencia","4.83614"
"2012","II","65_and_more_years","Indigencia","1.11161"
"2013","I","Total","Indigencia","5.70421"
"2013","I","0_14_years","Indigencia","9.04645"
"2013","I","15_29_years","Indigencia","6.54283"
"2013","I","30_64_years","Indigencia","4.57890"
"2013","I","65_and_more_years","Indigencia","0.96175"
"2013","II","Total","Indigencia","6.23452"
"2013","II","0_14_years","Indigencia","10.15970"
"2013","II","15_29_years","Indigencia","7.04510"
"2013","II","30_64_years","Indigencia","4.85053"
"2013","II","65_and_more_years","Indigencia","1.29549"
"2014","I","Total","Indigencia","7.61128"
"2014","I","0_14_years","Indigencia","12.34675"
"2014","I","15_29_years","Indigencia","8.32911"
"2014","I","30_64_years","Indigencia","6.23588"
"2014","I","65_and_more_years","Indigencia","1.39062"
"2014","II","Total","Indigencia","7.16388"
"2014","II","0_14_years","Indigencia","11.97431"
"2014","II","15_29_years","Indigencia","8.10884"
"2014","II","30_64_years","Indigencia","5.58003"
"2014","II","65_and_more_years","Indigencia","1.31835"
"2015","I","Total","Indigencia","5.99200"
"2015","I","0_14_years","Indigencia","9.74311"
"2015","I","15_29_years","Indigencia","7.15593"
"2015","I","30_64_years","Indigencia","4.68087"
"2015","I","65_and_more_years","Indigencia","1.05056"
"2015","II","Total","Indigencia",""
"2015","II","0_14_years","Indigencia",""
"2015","II","15_29_years","Indigencia",""
"2015","II","30_64_years","Indigencia",""
"2015","II","65_and_more_years","Indigencia",""
"2016","I","Total","Indigencia",""
"2016","I","0_14_years","Indigencia",""
"2016","I","15_29_years","Indigencia",""
"2016","I","30_64_years","Indigencia",""
"2016","I","65_and_more_years","Indigencia",""
"2016","II","Total","Indigencia","6.14861"
"2016","II","0_14_years","Indigencia","9.75637"
"2016","II","15_29_years","Indigencia","7.72741"
"2016","II","30_64_years","Indigencia","4.94453"
"2016","II","65_and_more_years","Indigencia","0.88678"
"2017","I","Total","Indigencia","6.15201"
"2017","I","0_14_years","Indigencia","10.50584"
"2017","I","15_29_years","Indigencia","7.25205"
"2017","I","30_64_years","Indigencia","4.83840"
"2017","I","65_and_more_years","Indigencia","0.59932"
"2017","II","Total","Indigencia","4.76071"
