"year","semester","hh_gender","poverty_line","poverty_rate"
"2003","II","Total","Indigencia","22.12101"
"2003","II","Jefe_Varon","Indigencia","20.18177"
"2003","II","Jefa_Mujer","Indigencia","28.19386"
"2004","I","Total","Indigencia","20.49504"
"2004","I","Jefe_Varon","Indigencia","19.00908"
"2004","I","Jefa_Mujer","Indigencia","25.30821"
"2004","II","Total","Indigencia","16.75945"
"2004","II","Jefe_Varon","Indigencia","15.77936"
"2004","II","Jefa_Mujer","Indigencia","19.73604"
"2005","I","Total","Indigencia","14.85882"
"2005","I","Jefe_Varon","Indigencia","13.69842"
"2005","I","Jefa_Mujer","Indigencia","18.42928"
"2005","II","Total","Indigencia","13.42815"
"2005","II","Jefe_Varon","Indigencia","12.42570"
"2005","II","Jefa_Mujer","Indigencia","16.32484"
"2006","I","Total","Indigencia","12.21319"
"2006","I","Jefe_Varon","Indigencia","10.96281"
"2006","I","Jefa_Mujer","Indigencia","15.86804"
"2006","II","Total","Indigencia","9.99219"
"2006","II","Jefe_Varon","Indigencia","8.77441"
"2006","II","Jefa_Mujer","Indigencia","13.50113"
"2007","I","Total","Indigencia","10.00291"
"2007","I","Jefe_Varon","Indigencia","8.62835"
"2007","I","Jefa_Mujer","Indigencia","13.75347"
"2007","II","Total","Indigencia","9.82874"
"2007","II","Jefe_Varon","Indigencia","8.19372"
"2007","II","Jefa_Mujer","Indigencia","14.24941"
"2008","I","Total","Indigencia","10.23508"
"2008","I","Jefe_Varon","Indigencia","9.05085"
"2008","I","Jefa_Mujer","Indigencia","13.39584"
"2008","II","Total","Indigencia","8.98700"
"2008","II","Jefe_Varon","Indigencia","7.85656"
"2008","II","Jefa_Mujer","Indigencia","11.91847"
"2009","I","Total","Indigencia","8.34710"
"2009","I","Jefe_Varon","Indigencia","7.49185"
"2009","I","Jefa_Mujer","Indigencia","10.44921"
"2009","II","Total","Indigencia","8.34012"
"2009","II","Jefe_Varon","Indigencia","7.56783"
"2009","II","Jefa_Mujer","Indigencia","10.20360"
"2010","I","Total","Indigencia","8.71463"
"2010","I","Jefe_Varon","Indigencia","7.70605"
"2010","I","Jefa_Mujer","Indigencia","11.09148"
"2010","II","Total","Indigencia","8.28044"
"2010","II","Jefe_Varon","Indigencia","7.44714"
"2010","II","Jefa_Mujer","Indigencia","10.26500"
"2011","I","Total","Indigencia","7.31956"
"2011","I","Jefe_Varon","Indigencia","6.13977"
"2011","I","Jefa_Mujer","Indigencia","10.17601"
"2011","II","Total","Indigencia","6.41160"
"2011","II","Jefe_Varon","Indigencia","5.46574"
"2011","II","Jefa_Mujer","Indigencia","8.60505"
"2012","I","Total","Indigencia","6.49239"
"2012","I","Jefe_Varon","Indigencia","5.99123"
"2012","I","Jefa_Mujer","Indigencia","7.62165"
"2012","II","Total","Indigencia","6.40759"
"2012","II","Jefe_Varon","Indigencia","5.12263"
"2012","II","Jefa_Mujer","Indigencia","9.19960"
"2013","I","Total","Indigencia","5.70421"
"2013","I","Jefe_Varon","Indigencia","5.16865"
"2013","I","Jefa_Mujer","Indigencia","6.86285"
"2013","II","Total","Indigencia","6.23452"
"2013","II","Jefe_Varon","Indigencia","5.43432"
"2013","II","Jefa_Mujer","Indigencia","7.97339"
"2014","I","Total","Indigencia","7.61128"
"2014","I","Jefe_Varon","Indigencia","6.36803"
"2014","I","Jefa_Mujer","Indigencia","10.21632"
"2014","II","Total","Indigencia","7.16388"
"2014","II","Jefe_Varon","Indigencia","5.87631"
"2014","II","Jefa_Mujer","Indigencia","9.79619"
"2015","I","Total","Indigencia","5.99200"
"2015","I","Jefe_Varon","Indigencia","4.65215"
"2015","I","Jefa_Mujer","Indigencia","8.67325"
"2015","II","Total","Indigencia",""
"2015","II","Jefe_Varon","Indigencia",""
"2015","II","Jefa_Mujer","Indigencia",""
"2016","I","Total","Indigencia",""
"2016","I","Jefe_Varon","Indigencia",""
"2016","I","Jefa_Mujer","Indigencia",""
"2016","II","Total","Indigencia","6.14861"
"2016","II","Jefe_Varon","Indigencia","4.76810"
"2016","II","Jefa_Mujer","Indigencia","8.66787"
"2017","I","Total","Indigencia","6.15111"
"2017","I","Jefe_Varon","Indigencia","4.94135"
"2017","I","Jefa_Mujer","Indigencia","8.29102"
"2017","II","Total","Indigencia","4.76038"
"2017","II","Jefe_Varon","Indigencia","3.98891"
"2017","II","Jefa_Mujer","Indigencia","6.09314"
"2018","I","Total","Indigencia","4.88145"
