"year","semester","educ_level","poverty_line","poverty_rate"
"2003","II","Todos","Indigencia","18.36720"
"2003","II","Primaria_o_menos","Indigencia","31.85770"
"2003","II","Secu_incompleta","Indigencia","21.29345"
"2003","II","Secu_completa","Indigencia","11.71824"
"2003","II","Supe_incompleta","Indigencia","7.86057"
"2003","II","Supe_completa","Indigencia","4.72380"
"2004","I","Todos","Indigencia","15.99813"
"2004","I","Primaria_o_menos","Indigencia","27.33397"
"2004","I","Secu_incompleta","Indigencia","19.39991"
"2004","I","Secu_completa","Indigencia","10.85169"
"2004","I","Supe_incompleta","Indigencia","6.40467"
"2004","I","Supe_completa","Indigencia","3.16580"
"2004","II","Todos","Indigencia","13.54043"
"2004","II","Primaria_o_menos","Indigencia","24.95228"
"2004","II","Secu_incompleta","Indigencia","15.83745"
"2004","II","Secu_completa","Indigencia","8.39097"
"2004","II","Supe_incompleta","Indigencia","4.50137"
"2004","II","Supe_completa","Indigencia","1.89247"
"2005","I","Todos","Indigencia","11.73076"
"2005","I","Primaria_o_menos","Indigencia","21.47008"
"2005","I","Secu_incompleta","Indigencia","13.71927"
"2005","I","Secu_completa","Indigencia","7.31210"
"2005","I","Supe_incompleta","Indigencia","4.18113"
"2005","I","Supe_completa","Indigencia","1.74700"
"2005","II","Todos","Indigencia","10.39000"
"2005","II","Primaria_o_menos","Indigencia","20.14181"
"2005","II","Secu_incompleta","Indigencia","13.34583"
"2005","II","Secu_completa","Indigencia","5.38789"
"2005","II","Supe_incompleta","Indigencia","2.83822"
"2005","II","Supe_completa","Indigencia","1.67061"
"2006","I","Todos","Indigencia","9.18581"
"2006","I","Primaria_o_menos","Indigencia","17.63238"
"2006","I","Secu_incompleta","Indigencia","10.47305"
"2006","I","Secu_completa","Indigencia","5.57252"
"2006","I","Supe_incompleta","Indigencia","3.86687"
"2006","I","Supe_completa","Indigencia","1.38400"
"2006","II","Todos","Indigencia","7.46464"
"2006","II","Primaria_o_menos","Indigencia","15.48651"
"2006","II","Secu_incompleta","Indigencia","8.32719"
"2006","II","Secu_completa","Indigencia","4.20302"
"2006","II","Supe_incompleta","Indigencia","2.50409"
"2006","II","Supe_completa","Indigencia","0.90527"
"2007","I","Todos","Indigencia","7.67043"
"2007","I","Primaria_o_menos","Indigencia","15.07160"
"2007","I","Secu_incompleta","Indigencia","9.24630"
"2007","I","Secu_completa","Indigencia","4.84059"
"2007","I","Supe_incompleta","Indigencia","2.84226"
"2007","I","Supe_completa","Indigencia","1.49668"
"2007","II","Todos","Indigencia","7.72650"
"2007","II","Primaria_o_menos","Indigencia","15.40354"
"2007","II","Secu_incompleta","Indigencia","9.55089"
"2007","II","Secu_completa","Indigencia","4.86768"
"2007","II","Supe_incompleta","Indigencia","2.87034"
"2007","II","Supe_completa","Indigencia","1.20957"
"2008","I","Todos","Indigencia","7.85316"
"2008","I","Primaria_o_menos","Indigencia","14.99048"
"2008","I","Secu_incompleta","Indigencia","9.49428"
"2008","I","Secu_completa","Indigencia","5.91922"
"2008","I","Supe_incompleta","Indigencia","3.11704"
"2008","I","Supe_completa","Indigencia","1.12150"
"2008","II","Todos","Indigencia","6.84665"
"2008","II","Primaria_o_menos","Indigencia","14.26157"
"2008","II","Secu_incompleta","Indigencia","7.23773"
"2008","II","Secu_completa","Indigencia","4.36190"
"2008","II","Supe_incompleta","Indigencia","2.94203"
"2008","II","Supe_completa","Indigencia","1.18813"
"2009","I","Todos","Indigencia","6.51337"
"2009","I","Primaria_o_menos","Indigencia","13.03762"
"2009","I","Secu_incompleta","Indigencia","7.91157"
"2009","I","Secu_completa","Indigencia","4.28046"
"2009","I","Supe_incompleta","Indigencia","2.51955"
"2009","I","Supe_completa","Indigencia","1.20736"
"2009","II","Todos","Indigencia","6.81650"
"2009","II","Primaria_o_menos","Indigencia","14.13293"
"2009","II","Secu_incompleta","Indigencia","8.46750"
"2009","II","Secu_completa","Indigencia","4.07289"
"2009","II","Supe_incompleta","Indigencia","2.66345"
"2009","II","Supe_completa","Indigencia","1.31044"
"2010","I","Todos","Indigencia","6.84782"
"2010","I","Primaria_o_menos","Indigencia","13.73335"
"2010","I","Secu_incompleta","Indigencia","8.68948"
"2010","I","Secu_completa","Indigencia","4.92222"
"2010","I","Supe_incompleta","Indigencia","2.98478"
"2010","I","Supe_completa","Indigencia","1.20007"
"2010","II","Todos","Indigencia","6.50098"
"2010","II","Primaria_o_menos","Indigencia","12.53075"
"2010","II","Secu_incompleta","Indigencia","9.25034"
"2010","II","Secu_completa","Indigencia","4.73294"
"2010","II","Supe_incompleta","Indigencia","2.54632"
"2010","II","Supe_completa","Indigencia","1.39954"
"2011","I","Todos","Indigencia","5.82135"
"2011","I","Primaria_o_menos","Indigencia","11.76886"
"2011","I","Secu_incompleta","Indigencia","7.36053"
"2011","I","Secu_completa","Indigencia","4.41512"
"2011","I","Supe_incompleta","Indigencia","2.05830"
"2011","I","Supe_completa","Indigencia","1.25520"
"2011","II","Todos","Indigencia","5.05839"
"2011","II","Primaria_o_menos","Indigencia","9.73467"
"2011","II","Secu_incompleta","Indigencia","7.65814"
"2011","II","Secu_completa","Indigencia","3.34274"
"2011","II","Supe_incompleta","Indigencia","2.73702"
"2011","II","Supe_completa","Indigencia","0.95540"
"2012","I","Todos","Indigencia","5.09900"
"2012","I","Primaria_o_menos","Indigencia","9.96496"
"2012","I","Secu_incompleta","Indigencia","6.90362"
"2012","I","Secu_completa","Indigencia","3.76228"
"2012","I","Supe_incompleta","Indigencia","2.54155"
"2012","I","Supe_completa","Indigencia","1.10252"
"2012","II","Todos","Indigencia","4.95953"
"2012","II","Primaria_o_menos","Indigencia","9.62749"
"2012","II","Secu_incompleta","Indigencia","6.88989"
"2012","II","Secu_completa","Indigencia","3.98002"
"2012","II","Supe_incompleta","Indigencia","2.04104"
"2012","II","Supe_completa","Indigencia","1.26924"
"2013","I","Todos","Indigencia","4.70365"
"2013","I","Primaria_o_menos","Indigencia","9.71257"
"2013","I","Secu_incompleta","Indigencia","6.93284"
"2013","I","Secu_completa","Indigencia","3.13494"
"2013","I","Supe_incompleta","Indigencia","1.79185"
"2013","I","Supe_completa","Indigencia","1.51794"
"2013","II","Todos","Indigencia","4.99332"
"2013","II","Primaria_o_menos","Indigencia","9.05480"
"2013","II","Secu_incompleta","Indigencia","6.38588"
"2013","II","Secu_completa","Indigencia","4.01238"
"2013","II","Supe_incompleta","Indigencia","2.91195"
"2013","II","Supe_completa","Indigencia","1.92200"
"2014","I","Todos","Indigencia","6.25730"
"2014","I","Primaria_o_menos","Indigencia","12.49093"
"2014","I","Secu_incompleta","Indigencia","8.11335"
"2014","I","Secu_completa","Indigencia","4.82628"
"2014","I","Supe_incompleta","Indigencia","3.04284"
"2014","I","Supe_completa","Indigencia","1.54745"
"2014","II","Todos","Indigencia","5.78931"
"2014","II","Primaria_o_menos","Indigencia","10.44565"
"2014","II","Secu_incompleta","Indigencia","8.52976"
"2014","II","Secu_completa","Indigencia","4.64283"
"2014","II","Supe_incompleta","Indigencia","3.06671"
"2014","II","Supe_completa","Indigencia","1.43569"
"2015","I","Todos","Indigencia","4.82831"
"2015","I","Primaria_o_menos","Indigencia","8.83303"
"2015","I","Secu_incompleta","Indigencia","7.09897"
"2015","I","Secu_completa","Indigencia","3.72113"
"2015","I","Supe_incompleta","Indigencia","2.37782"
"2015","I","Supe_completa","Indigencia","1.41886"
"2015","II","Todos","Indigencia",""
"2015","II","Primaria_o_menos","Indigencia",""
"2015","II","Secu_incompleta","Indigencia",""
"2015","II","Secu_completa","Indigencia",""
"2015","II","Supe_incompleta","Indigencia",""
"2015","II","Supe_completa","Indigencia",""
"2016","I","Todos","Indigencia",""
"2016","I","Primaria_o_menos","Indigencia",""
"2016","I","Secu_incompleta","Indigencia",""
"2016","I","Secu_completa","Indigencia",""
"2016","I","Supe_incompleta","Indigencia",""
"2016","I","Supe_completa","Indigencia",""
"2016","II","Todos","Indigencia","5.29881"
"2016","II","Primaria_o_menos","Indigencia","10.07341"
"2016","II","Secu_incompleta","Indigencia","8.80098"
"2016","II","Secu_completa","Indigencia","3.77900"
"2016","II","Supe_incompleta","Indigencia","2.49420"
"2016","II","Supe_completa","Indigencia","1.06598"
"2017","I","Todos","Indigencia","5.07803"
"2017","I","Primaria_o_menos","Indigencia","9.58511"
"2017","I","Secu_incompleta","Indigencia","7.97714"
"2017","I","Secu_completa","Indigencia","3.90739"
"2017","I","Supe_incompleta","Indigencia","2.14685"
"2017","I","Supe_completa","Indigencia","1.45956"
"2017","II","Todos","Indigencia","3.97893"
"2017","II","Primaria_o_menos","Indigencia","7.93748"
"2017","II","Secu_incompleta","Indigencia","6.07711"
"2017","II","Secu_completa","Indigencia","3.16250"
"2017","II","Supe_incompleta","Indigencia","1.65729"
"2017","II","Supe_completa","Indigencia","1.05631"
"2018","I","Todos","Indigencia","4.16158"
"2018","I","Primaria_o_menos","Indigencia","8.23720"
"2018","I","Secu_incompleta","Indigencia","5.77802"
"2018","I","Secu_completa","Indigencia","3.50549"
"2018","I","Supe_incompleta","Indigencia","2.65017"
"2018","I","Supe_completa","Indigencia","0.92636"
"2018","II","Todos","Indigencia","5.70551"
"2018","II","Primaria_o_menos","Indigencia","11.97552"
"2018","II","Secu_incompleta","Indigencia","9.03286"
"2018","II","Secu_completa","Indigencia","4.88343"
"2018","II","Supe_incompleta","Indigencia","2.42064"
"2018","II","Supe_completa","Indigencia","0.86906"
"2019","I","Todos","Indigencia","6.43927"
"2019","I","Primaria_o_menos","Indigencia","13.02431"
"2019","I","Secu_incompleta","Indigencia","10.93942"
"2019","I","Secu_completa","Indigencia","5.64955"
"2019","I","Supe_incompleta","Indigencia","2.88081"
"2019","I","Supe_completa","Indigencia","0.99166"
"2019","II","Todos","Indigencia","6.93617"
"2019","II","Primaria_o_menos","Indigencia","15.01442"
"2019","II","Secu_incompleta","Indigencia","11.97980"
"2019","II","Secu_completa","Indigencia","6.17574"
"2019","II","Supe_incompleta","Indigencia","2.15411"
"2019","II","Supe_completa","Indigencia","0.96008"
"2020","I","Todos","Indigencia","9.63704"
"2020","I","Primaria_o_menos","Indigencia","16.01272"
"2020","I","Secu_incompleta","Indigencia","16.33024"
"2020","I","Secu_completa","Indigencia","9.19953"
"2020","I","Supe_incompleta","Indigencia","5.14961"
"2020","I","Supe_completa","Indigencia","2.20293"
"2020","II","Todos","Indigencia","9.34279"
"2020","II","Primaria_o_menos","Indigencia","19.20101"
"2020","II","Secu_incompleta","Indigencia","12.31552"
"2020","II","Secu_completa","Indigencia","8.61110"
"2020","II","Supe_incompleta","Indigencia","3.67940"
"2020","II","Supe_completa","Indigencia","3.24987"
"2021","I","Todos","Indigencia","9.17938"
"2021","I","Primaria_o_menos","Indigencia","18.13420"
"2021","I","Secu_incompleta","Indigencia","16.16563"
"2021","I","Secu_completa","Indigencia","7.88494"
"2021","I","Supe_incompleta","Indigencia","4.91950"
"2021","I","Supe_completa","Indigencia","2.35400"
"2021","II","Todos","Indigencia","7.50927"
"2021","II","Primaria_o_menos","Indigencia","15.62639"
"2021","II","Secu_incompleta","Indigencia","11.84813"
"2021","II","Secu_completa","Indigencia","6.49782"
"2021","II","Supe_incompleta","Indigencia","4.41281"
"2021","II","Supe_completa","Indigencia","2.49450"
"2022","I","Todos","Indigencia","7.13438"
"2022","I","Primaria_o_menos","Indigencia","12.13370"
"2022","I","Secu_incompleta","Indigencia","12.42443"
"2022","I","Secu_completa","Indigencia","7.17850"
"2022","I","Supe_incompleta","Indigencia","4.27338"
"2022","I","Supe_completa","Indigencia","1.81957"
"2022","II","Todos","Indigencia","7.08845"
"2022","II","Primaria_o_menos","Indigencia","14.10632"
"2022","II","Secu_incompleta","Indigencia","11.40542"
"2022","II","Secu_completa","Indigencia","6.90171"
"2022","II","Supe_incompleta","Indigencia","3.45049"
"2022","II","Supe_completa","Indigencia","1.62414"
"2023","I","Todos","Indigencia","8.01477"
"2023","I","Primaria_o_menos","Indigencia","16.18900"
"2023","I","Secu_incompleta","Indigencia","13.70777"
"2023","I","Secu_completa","Indigencia","7.16560"
"2023","I","Supe_incompleta","Indigencia","4.16464"
"2023","I","Supe_completa","Indigencia","2.02712"
"2023","II","Todos","Indigencia","10.43986"
"2023","II","Primaria_o_menos","Indigencia","20.25570"
"2023","II","Secu_incompleta","Indigencia","17.66681"
"2023","II","Secu_completa","Indigencia","10.20932"
"2023","II","Supe_incompleta","Indigencia","5.73378"
"2023","II","Supe_completa","Indigencia","2.24285"
"2024","I","Todos","Indigencia","15.88375"
"2024","I","Primaria_o_menos","Indigencia","31.15722"
"2024","I","Secu_incompleta","Indigencia","24.91680"
"2024","I","Secu_completa","Indigencia","15.67722"
"2024","I","Supe_incompleta","Indigencia","10.31736"
"2024","I","Supe_completa","Indigencia","3.68545"
"2024","II","Todos","Indigencia","7.32436"
"2024","II","Primaria_o_menos","Indigencia","17.91322"
"2024","II","Secu_incompleta","Indigencia","12.47191"
"2024","II","Secu_completa","Indigencia","6.17788"
"2024","II","Supe_incompleta","Indigencia","4.59856"
"2024","II","Supe_completa","Indigencia","1.45102"
"2025","I","Todos","Indigencia","6.20560"
"2025","I","Primaria_o_menos","Indigencia","14.22369"
"2025","I","Secu_incompleta","Indigencia","10.80668"
"2025","I","Secu_completa","Indigencia","5.13143"
"2025","I","Supe_incompleta","Indigencia","3.12330"
"2025","I","Supe_completa","Indigencia","1.53109"
"2003","II","Todos","Pobreza","54.69418"
"2003","II","Primaria_o_menos","Pobreza","78.39318"
"2003","II","Secu_incompleta","Pobreza","67.68106"
"2003","II","Secu_completa","Pobreza","47.71981"
"2003","II","Supe_incompleta","Pobreza","33.02174"
"2003","II","Supe_completa","Pobreza","19.48992"
"2004","I","Todos","Pobreza","51.21476"
"2004","I","Primaria_o_menos","Pobreza","73.74232"
"2004","I","Secu_incompleta","Pobreza","62.52689"
"2004","I","Secu_completa","Pobreza","45.69890"
"2004","I","Supe_incompleta","Pobreza","31.05410"
"2004","I","Supe_completa","Pobreza","16.32426"
"2004","II","Todos","Pobreza","47.40944"
"2004","II","Primaria_o_menos","Pobreza","71.13255"
"2004","II","Secu_incompleta","Pobreza","59.99741"
