anio,provincia,exportaciones,fob,geocodigoFundar,geonombreFundar
1998,salta,mineras,35395200,AR-A,Salta
1999,salta,mineras,28623322,AR-A,Salta
2000,salta,mineras,37843898,AR-A,Salta
2001,salta,mineras,34595724,AR-A,Salta
2002,salta,mineras,28891822,AR-A,Salta
2003,salta,mineras,32939872,AR-A,Salta
2004,salta,mineras,47538633,AR-A,Salta
2005,salta,mineras,56118510,AR-A,Salta
2006,salta,mineras,60075379,AR-A,Salta
2007,salta,mineras,57582553,AR-A,Salta
2008,salta,mineras,71039663,AR-A,Salta
2009,salta,mineras,46587877,AR-A,Salta
2010,salta,mineras,57236235,AR-A,Salta
2011,salta,mineras,57749675,AR-A,Salta
2012,salta,mineras,70332257,AR-A,Salta
2013,salta,mineras,65223296,AR-A,Salta
2014,salta,mineras,73053626,AR-A,Salta
2015,salta,mineras,58999933,AR-A,Salta
2016,salta,mineras,63310096,AR-A,Salta
2017,salta,mineras,59440668,AR-A,Salta
2018,salta,mineras,56494610,AR-A,Salta
2019,salta,mineras,48649927,AR-A,Salta
2020,salta,mineras,63270490,AR-A,Salta
2021,salta,mineras,227707392,AR-A,Salta
2022,salta,mineras,295337863,AR-A,Salta
1998,salta,otras,373058800,AR-A,Salta
1999,salta,otras,328279678,AR-A,Salta
2000,salta,otras,369794102,AR-A,Salta
2001,salta,otras,434512276,AR-A,Salta
2002,salta,otras,453530178,AR-A,Salta
2003,salta,otras,485137128,AR-A,Salta
2004,salta,otras,557735367,AR-A,Salta
2005,salta,otras,753455490,AR-A,Salta
2006,salta,otras,818793621,AR-A,Salta
2007,salta,otras,989440447,AR-A,Salta
2008,salta,otras,1077901337,AR-A,Salta
2009,salta,otras,850034123,AR-A,Salta
2010,salta,otras,954838765,AR-A,Salta
2011,salta,otras,1256116325,AR-A,Salta
2012,salta,otras,1242142743,AR-A,Salta
2013,salta,otras,857246704,AR-A,Salta
2014,salta,otras,1015597374,AR-A,Salta
2015,salta,otras,800817067,AR-A,Salta
2016,salta,otras,1012101904,AR-A,Salta
2017,salta,otras,821450332,AR-A,Salta
2018,salta,otras,797956390,AR-A,Salta
2019,salta,otras,944501073,AR-A,Salta
2020,salta,otras,858896510,AR-A,Salta
2021,salta,otras,1035163608,AR-A,Salta
2022,salta,otras,1031483137,AR-A,Salta
1998,san_juan,mineras,10421674,AR-J,San Juan
1999,san_juan,mineras,8401568,AR-J,San Juan
2000,san_juan,mineras,7445752,AR-J,San Juan
2001,san_juan,mineras,6954790,AR-J,San Juan
2002,san_juan,mineras,6914756,AR-J,San Juan
2003,san_juan,mineras,11823140,AR-J,San Juan
2004,san_juan,mineras,16400185,AR-J,San Juan
2005,san_juan,mineras,26436281,AR-J,San Juan
2006,san_juan,mineras,362081336,AR-J,San Juan
2007,san_juan,mineras,370311410,AR-J,San Juan
2008,san_juan,mineras,510088217,AR-J,San Juan
2009,san_juan,mineras,753237264,AR-J,San Juan
2010,san_juan,mineras,1645002633,AR-J,San Juan
2011,san_juan,mineras,1887214326,AR-J,San Juan
2012,san_juan,mineras,1743967196,AR-J,San Juan
2013,san_juan,mineras,1351146676,AR-J,San Juan
2014,san_juan,mineras,1344920537,AR-J,San Juan
2015,san_juan,mineras,1064256357,AR-J,San Juan
2016,san_juan,mineras,964023293,AR-J,San Juan
