anio,sector,exportaciones_sector_perc
1994,metaliferos,0.17048475830207
1995,metaliferos,0.266772393673686
1996,metaliferos,0.275977938841573
1997,metaliferos,0.460114914935593
1998,metaliferos,1.95608396014058
1999,metaliferos,2.80712197668375
2000,metaliferos,2.16874329118818
2001,metaliferos,2.47089835147302
2002,metaliferos,3.10154744920382
2003,metaliferos,2.94448335010758
2004,metaliferos,3.43118422486174
2005,metaliferos,3.46180907962344
2006,metaliferos,5.5504463008389
2007,metaliferos,4.88543345751152
2008,metaliferos,3.49907715222295
2009,metaliferos,4.21256262007586
2010,metaliferos,5.79256393877236
2011,metaliferos,5.58558508635329
2012,metaliferos,5.86937239782847
2013,metaliferos,4.70573304521403
2014,metaliferos,4.92910994232118
2015,metaliferos,5.80095953902914
2016,metaliferos,5.56487133779689
2017,metaliferos,5.68016441121551
2018,metaliferos,4.94701768094826
2019,metaliferos,4.49879585799503
2020,metaliferos,4.33688839992185
2021,metaliferos,3.72930845065243
2022,metaliferos,3.41411325551442
1994,no_metaliferos,0.160784023802193
1995,no_metaliferos,0.172224509838904
1996,no_metaliferos,0.183247682125658
1997,no_metaliferos,0.196138354207611
1998,no_metaliferos,0.301832702484533
1999,no_metaliferos,0.34000852036166
2000,no_metaliferos,0.355075245013217
2001,no_metaliferos,0.315882007823914
2002,no_metaliferos,0.293470487375363
2003,no_metaliferos,0.289635638018579
2004,no_metaliferos,0.317675797752383
2005,no_metaliferos,0.329981760632809
2006,no_metaliferos,0.344673337966436
2007,no_metaliferos,0.278500551158097
2008,no_metaliferos,0.300889080921337
2009,no_metaliferos,0.285597639413553
2010,no_metaliferos,0.287539123166982
2011,no_metaliferos,0.239310258340075
2012,no_metaliferos,0.25448095061086
2013,no_metaliferos,0.262443628248583
2014,no_metaliferos,0.306271897353531
2015,no_metaliferos,0.365721831544821
2016,no_metaliferos,0.496760100921622
2017,no_metaliferos,0.529815788217234
2018,no_metaliferos,0.551617465514935
2019,no_metaliferos,0.403769786114098
2020,no_metaliferos,0.352779512547743
2021,no_metaliferos,0.373747363568248
2022,no_metaliferos,0.890226245829248
1994,piedras_preciosas_semipreciosas,0.0052829013663747
1995,piedras_preciosas_semipreciosas,0.0030506879037211
1996,piedras_preciosas_semipreciosas,0.0013499425489791
1997,piedras_preciosas_semipreciosas,0.0011923753507028
1998,piedras_preciosas_semipreciosas,0.001253381535947
1999,piedras_preciosas_semipreciosas,0.001393752143787
2000,piedras_preciosas_semipreciosas,0.0023973388206413
