provincia,anio,vab_min_vab_total_prov
Buenos_Aires,2004,0.212522943436974
Buenos_Aires,2005,0.234922736805974
Buenos_Aires,2006,0.244058293735399
Buenos_Aires,2007,0.222809850863015
Buenos_Aires,2008,0.190178127270659
Buenos_Aires,2009,0.2354105880824
Buenos_Aires,2010,0.229205892037805
Buenos_Aires,2011,0.196539751823909
Buenos_Aires,2012,0.194547237816552
Buenos_Aires,2013,0.166022114456223
Buenos_Aires,2014,0.186374384594046
Buenos_Aires,2015,0.187731848889326
Buenos_Aires,2016,0.198471311707121
Buenos_Aires,2017,0.207111527939568
Buenos_Aires,2018,0.22813990156455
Buenos_Aires,2019,0.232195947881942
Buenos_Aires,2020,0.231233012891299
Buenos_Aires,2021,0.227807566895651
Buenos_Aires,2022,0.259415574957255
Catamarca,2004,43.2733776012915
Catamarca,2005,44.2182439440373
Catamarca,2006,42.762917758274
Catamarca,2007,40.1743366160874
Catamarca,2008,35.4797082070785
Catamarca,2009,34.1191917434946
Catamarca,2010,31.3040269773434
Catamarca,2011,26.6624494828219
Catamarca,2012,28.3761116877031
Catamarca,2013,23.7460049219171
Catamarca,2014,26.0429768713871
Catamarca,2015,17.3670711284254
Catamarca,2016,20.1519479739103
Catamarca,2017,16.007559155851
Catamarca,2018,13.7115372405091
Catamarca,2019,6.8428520137427
Catamarca,2020,7.45505944885564
Catamarca,2021,6.67863826668862
Catamarca,2022,8.32568104567034
Chaco,2004,0.0428263806327179
Chaco,2005,0.0430153192088318
Chaco,2006,0.0433010910994731
Chaco,2007,0.0333188802897341
Chaco,2008,0.0290918058824537
Chaco,2009,0.0433532571746256
Chaco,2010,0.0457148315289265
Chaco,2011,0.0346969406658555
Chaco,2012,0.0370824846201984
Chaco,2013,0.0263958484399541
Chaco,2014,0.0280542744690415
Chaco,2015,0.0308323808098524
Chaco,2016,0.0291216465579515
Chaco,2017,0.0292609522586913
Chaco,2018,0.0286399274106523
Chaco,2019,0.0280585173036045
Chaco,2020,0.0261692489510019
Chaco,2021,0.0277625128775223
Chaco,2022,0.0337829723995509
Chubut,2004,0.707061660869747
Chubut,2005,0.769944293378268
Chubut,2006,0.673871361676837
Chubut,2007,0.547883542805052
Chubut,2008,0.47699950202852
Chubut,2009,0.511156524626372
Chubut,2010,0.504124123372162
Chubut,2011,0.438102267300278
Chubut,2012,0.418052480841327
Chubut,2013,0.347574010073795
Chubut,2014,0.350209174555844
Chubut,2015,0.35657707438683
Chubut,2016,0.381234827588737
Chubut,2017,0.39561997877839
Chubut,2018,0.423242053101444
Chubut,2019,0.407861958479498
Chubut,2020,0.36866758201695
Chubut,2021,0.362435770386673
Chubut,2022,0.435257252519726
Ciudad_de_Buenos_Aires,2004,0.131437836042461
Ciudad_de_Buenos_Aires,2005,0.149685833783998
Ciudad_de_Buenos_Aires,2006,0.148123736366658
Ciudad_de_Buenos_Aires,2007,0.106267478670544
Ciudad_de_Buenos_Aires,2008,0.107938674654967
Ciudad_de_Buenos_Aires,2009,0.13131780988043
Ciudad_de_Buenos_Aires,2010,0.133286419581673
Ciudad_de_Buenos_Aires,2011,0.119053366862796
Ciudad_de_Buenos_Aires,2012,0.105355269727039
Ciudad_de_Buenos_Aires,2013,0.0808293884399015
Ciudad_de_Buenos_Aires,2014,0.0826765699386463
Ciudad_de_Buenos_Aires,2015,0.0819985701550617
Ciudad_de_Buenos_Aires,2016,0.0801689836693562
Ciudad_de_Buenos_Aires,2017,0.0814825052518359
Ciudad_de_Buenos_Aires,2018,0.0990594744854465
Ciudad_de_Buenos_Aires,2019,0.113139093951828
Ciudad_de_Buenos_Aires,2020,0.108861185688318
Ciudad_de_Buenos_Aires,2021,0.112630941281242
Ciudad_de_Buenos_Aires,2022,0.121198845076243
Cordoba,2004,0.270941314215877
Cordoba,2005,0.292467562552138
Cordoba,2006,0.328606517432075
Cordoba,2007,0.279728846723615
Cordoba,2008,0.26223824342885
Cordoba,2009,0.313223313500938
Cordoba,2010,0.279025546092069
Cordoba,2011,0.254618384576308
Cordoba,2012,0.252476482277846
Cordoba,2013,0.200317951586711
Cordoba,2014,0.223475554154934
Cordoba,2015,0.233124836382574
Cordoba,2016,0.240699322876839
Cordoba,2017,0.248999096826279
Cordoba,2018,0.289932135233566
Cordoba,2019,0.272746306071659
Cordoba,2020,0.263650879313924
Cordoba,2021,0.249747344318361
Cordoba,2022,0.282693698540429
Corrientes,2004,0.175077312897832
Corrientes,2005,0.173284023721169
Corrientes,2006,0.156261753570497
Corrientes,2007,0.14824905833251
Corrientes,2008,0.129979179793745
Corrientes,2009,0.164321229457304
Corrientes,2010,0.173710710309075
Corrientes,2011,0.147686378909148
Corrientes,2012,0.152816257718696
Corrientes,2013,0.132040835151108
Corrientes,2014,0.126673217431346
Corrientes,2015,0.135265859849367
Corrientes,2016,0.142012007665301
Corrientes,2017,0.12860384708619
Corrientes,2018,0.117147486218709
Corrientes,2019,0.117655511744178
Corrientes,2020,0.127629972991839
Corrientes,2021,0.136640908450939
Corrientes,2022,0.167279518982545
Entre_Rios,2004,0.261104545254879
Entre_Rios,2005,0.254632385340693
Entre_Rios,2006,0.230813040472687
Entre_Rios,2007,0.198297586811209
Entre_Rios,2008,0.188653256292419
Entre_Rios,2009,0.227539486396298
Entre_Rios,2010,0.215566878751272
Entre_Rios,2011,0.171947807793944
Entre_Rios,2012,0.166903693030567
Entre_Rios,2013,0.146925113070725
Entre_Rios,2014,0.176755906474612
Entre_Rios,2015,0.17647900985908
Entre_Rios,2016,0.181365478544813
Entre_Rios,2017,0.168011258128122
Entre_Rios,2018,0.193766831514715
Entre_Rios,2019,0.186889132286802
Entre_Rios,2020,0.18174370916702
Entre_Rios,2021,0.181112517142137
Entre_Rios,2022,0.217923388219557
Formosa,2004,0.142795048686896
Formosa,2005,0.141852498862362
Formosa,2006,0.146412270777183
Formosa,2007,0.113388287191487
Formosa,2008,0.105027507933144
Formosa,2009,0.149164092622733
Formosa,2010,0.168331407712598
Formosa,2011,0.129807867665332
Formosa,2012,0.126302177155054
Formosa,2013,0.0920271262909556
Formosa,2014,0.106883832714081
Formosa,2015,0.109632892020281
Formosa,2016,0.102718808513228
Formosa,2017,0.104598528596094
Formosa,2018,0.101583029393544
Formosa,2019,0.0998826145257426
Formosa,2020,0.0939523526429057
Formosa,2021,0.0950512744399841
Formosa,2022,0.11672264102985
Jujuy,2004,0.680395500162753
Jujuy,2005,0.579023856876291
Jujuy,2006,0.601782313826259
Jujuy,2007,1.0473719876869
Jujuy,2008,1.38038800691957
Jujuy,2009,1.2254682459792
Jujuy,2010,2.77577610137298
Jujuy,2011,3.07166266289252
Jujuy,2012,4.50368030374236
Jujuy,2013,3.38294479073869
Jujuy,2014,3.12465840254939
Jujuy,2015,2.98016612506355
Jujuy,2016,5.32436563124124
Jujuy,2017,5.39711859968395
Jujuy,2018,4.59852921828022
Jujuy,2019,4.25746977730261
Jujuy,2020,2.54231839719316
Jujuy,2021,4.55449271173691
Jujuy,2022,8.69734528998598
La_Pampa,2004,1.30855403029649
La_Pampa,2005,1.25754689761102
La_Pampa,2006,1.22011515565338
La_Pampa,2007,0.978955837840865
La_Pampa,2008,0.865100546326428
La_Pampa,2009,1.04916012792603
La_Pampa,2010,1.03158552530643
La_Pampa,2011,0.842022616490704
La_Pampa,2012,0.709923255831561
La_Pampa,2013,0.641241387755826
La_Pampa,2014,0.695966153403975
La_Pampa,2015,0.700516655677437
La_Pampa,2016,0.671437322990712
La_Pampa,2017,0.682682747711818
La_Pampa,2018,0.704539082100695
La_Pampa,2019,0.66112986611128
La_Pampa,2020,0.708396122591857
La_Pampa,2021,0.694983022406865
La_Pampa,2022,0.683711522709425
La_Rioja,2004,0.200195350582097
La_Rioja,2005,0.25195269205768
La_Rioja,2006,0.282491843267918
La_Rioja,2007,0.204022262522014
La_Rioja,2008,0.213670890958734
La_Rioja,2009,0.283220688755651
La_Rioja,2010,0.382751186994585
La_Rioja,2011,0.494096805079459
La_Rioja,2012,0.190014602166911
La_Rioja,2013,0.240883975758535
La_Rioja,2014,0.248388425308314
La_Rioja,2015,0.124175612465957
La_Rioja,2016,0.178219698757999
La_Rioja,2017,0.127042251312857
La_Rioja,2018,0.15705153639053
La_Rioja,2019,0.182850086806628
La_Rioja,2020,0.160363769219807
La_Rioja,2021,0.197548897156715
La_Rioja,2022,0.248535102645264
Mendoza,2004,0.327355408273227
Mendoza,2005,0.400362086908513
Mendoza,2006,0.448619765775355
Mendoza,2007,0.438484111347114
Mendoza,2008,0.385959757330538
Mendoza,2009,0.349713267986839
Mendoza,2010,0.343139489171773
Mendoza,2011,0.332113401470218
Mendoza,2012,0.351438759156227
Mendoza,2013,0.284645057915014
Mendoza,2014,0.247159521333945
Mendoza,2015,0.213270866553632
Mendoza,2016,0.19850043223446
Mendoza,2017,0.225109186972435
Mendoza,2018,0.216080898519635
Mendoza,2019,0.172115239839779
Mendoza,2020,0.176583792200523
Mendoza,2021,0.222436209446986
Mendoza,2022,0.258842018413858
Misiones,2004,0.170969616038826
Misiones,2005,0.206527101133317
Misiones,2006,0.246757686341986
Misiones,2007,0.221228419676656
Misiones,2008,0.210276938338981
Misiones,2009,0.277904512095674
Misiones,2010,0.273659676282136
Misiones,2011,0.24004567775125
Misiones,2012,0.239188069625291
Misiones,2013,0.241305769396782
Misiones,2014,0.270399112293608
Misiones,2015,0.263197850996003
Misiones,2016,0.243211800891431
Misiones,2017,0.231953968946367
Misiones,2018,0.246532565948024
Misiones,2019,0.228898134771611
Misiones,2020,0.217677902352042
Misiones,2021,0.214649548096698
Misiones,2022,0.251950277065793
Neuquen,2004,0.16520819296418
Neuquen,2005,0.210980555798652
Neuquen,2006,0.272017001829084
Neuquen,2007,0.230488488638773
Neuquen,2008,0.23504336931488
Neuquen,2009,0.270598132089443
Neuquen,2010,0.286620070723424
Neuquen,2011,0.295544365694658
Neuquen,2012,0.34771114756765
Neuquen,2013,0.324120817209394
Neuquen,2014,0.327828739032657
Neuquen,2015,0.440568672332494
Neuquen,2016,0.447878743859417
Neuquen,2017,0.361637631047865
Neuquen,2018,0.324397893294491
Neuquen,2019,0.33311246353828
Neuquen,2020,0.328879473580317
Neuquen,2021,0.274370936906208
Neuquen,2022,0.253355944282495
No_distribuido,2004,0.0
No_distribuido,2005,0.0
No_distribuido,2006,0.0
No_distribuido,2007,0.0
No_distribuido,2008,0.0
No_distribuido,2009,0.0
No_distribuido,2010,0.0
No_distribuido,2011,0.0
No_distribuido,2012,0.0
No_distribuido,2013,0.0
No_distribuido,2014,0.0
No_distribuido,2015,0.0
No_distribuido,2016,0.0
No_distribuido,2017,0.0
No_distribuido,2018,0.0
No_distribuido,2019,0.0
No_distribuido,2020,0.0
No_distribuido,2021,0.0
No_distribuido,2022,0.0
Rio_Negro,2004,0.971136099540739
Rio_Negro,2005,0.848944238546157
Rio_Negro,2006,0.78004248645657
Rio_Negro,2007,0.743363878994353
Rio_Negro,2008,0.705564963082617
Rio_Negro,2009,0.813657733682272
Rio_Negro,2010,0.837934829735686
Rio_Negro,2011,0.699793162113114
Rio_Negro,2012,0.736127405401947
Rio_Negro,2013,0.589062453288091
Rio_Negro,2014,0.644015015389263
Rio_Negro,2015,0.644042384214836
Rio_Negro,2016,0.616928969238037
