"anio","petroleo_mineria","mineria"
1935,0.380483481400079,NA
1936,0.380769404264583,NA
1937,0.40258933389992,NA
1938,0.418830312219291,NA
1939,0.479838947738787,NA
1940,0.488469292637493,NA
1941,0.500775263797347,NA
1942,0.504198891697295,NA
1943,0.483233254927912,NA
1944,0.445087497995108,NA
1945,0.444969197520751,NA
1946,0.334181635277437,NA
1947,0.290331055540758,NA
1948,0.292112803212286,NA
1949,0.315499238510912,NA
1950,0.319842555046169,NA
1951,0.239642929190995,NA
1952,0.283242238597495,NA
1953,0.251274507184875,NA
1954,0.308709749846638,NA
1955,0.282756379328789,NA
1956,0.290121322522447,NA
1957,0.292122434587152,NA
1958,0.303309562697804,NA
1959,0.329321088217182,NA
1960,0.374991866495853,NA
1961,0.485428141065171,NA
1962,0.604293938309868,NA
1963,0.707697310550581,NA
1964,0.634221483948459,NA
1965,0.66656297016646,NA
1966,0.701442040780505,NA
1967,0.682218802318807,NA
1968,0.707575152701505,NA
1969,0.762460327898808,NA
1970,0.697044432638386,NA
1971,0.679016404941606,NA
1972,0.643346831273067,NA
1973,0.678957334390681,NA
1974,0.714679540343184,NA
1975,0.525667008661224,NA
1976,0.599446852629701,NA
1977,0.321267646686516,NA
1978,0.501543274843333,NA
1979,0.533449885297649,NA
1980,0.668154926596775,NA
1981,0.814181057244788,NA
1982,0.697747286868538,NA
1983,1.14179286660662,NA
1984,1.01755158523484,NA
1985,1.0472226275523,NA
1986,1.08368572520892,NA
1987,0.985174665545009,NA
1988,1.22563739095141,NA
1989,1.6894020952383,NA
1990,1.53130814860382,NA
1991,1.10388188092485,NA
1992,0.958696625658241,NA
1993,0.885953998027805,NA
1994,0.88114623452438,NA
1995,1.11331725133869,NA
1996,1.28646084811349,NA
1997,1.14339773115515,NA
1998,0.856701116219965,NA
1999,0.979192626109069,NA
2000,2.08882885445742,NA
2001,2.1333620989187,NA
2002,5.36554123922254,NA
2003,5.61666763612105,NA
2004,5.01361451543366,0.919987674789742
2005,4.950304709293,1.1206132581999
2006,5.72579369687381,1.53414366049131
2007,4.37481301770559,1.33570399283254
2008,3.7288582661006,1.09224918023454
2009,4.05713330103686,1.27002390236756
2010,3.87267605671065,1.47804601943299
2011,3.38188512172675,1.41549604470156
2012,3.25547482074913,1.31501641054295
2013,2.93003332375971,1.051097893869
2014,3.71678882471761,1.08665780413879
2015,3.19106920132157,0.97242243761597
2016,3.21733416415916,0.946116801273716
2017,2.94768236192046,0.939023024213316
2018,3.8362590192557,0.960602364453449
2019,3.97975587689318,1.18869895353512
2020,3.09707118906908,1.14011436596501
2021,3.59661605165825,1.10743426014883
2022,3.56347912705533,0.94393578784528
