"provincia","anio","vab_min_provincial"
"Ciudad_de_Buenos_Aires","2004",112.651345959558
"Ciudad_de_Buenos_Aires","2005",139.955007210259
"Ciudad_de_Buenos_Aires","2006",150.621913630962
"Ciudad_de_Buenos_Aires","2007",119.180622840877
"Ciudad_de_Buenos_Aires","2008",126.58582331252
"Ciudad_de_Buenos_Aires","2009",149.829370364113
"Ciudad_de_Buenos_Aires","2010",161.097048030654
"Ciudad_de_Buenos_Aires","2011",151.014941781743
"Ciudad_de_Buenos_Aires","2012",131.656530427794
"Ciudad_de_Buenos_Aires","2013",101.085114021867
"Ciudad_de_Buenos_Aires","2014",101.26931965857
"Ciudad_de_Buenos_Aires","2015",101.898646806049
"Ciudad_de_Buenos_Aires","2016",98.7883375784583
"Ciudad_de_Buenos_Aires","2017",102.669536579162
"Ciudad_de_Buenos_Aires","2018",122.93722588849
"Ciudad_de_Buenos_Aires","2019",133.800254959611
"Ciudad_de_Buenos_Aires","2020",113.341486253348
"Ciudad_de_Buenos_Aires","2021",127.881112004519
"Ciudad_de_Buenos_Aires","2022",144.420194931041
"Buenos_Aires","2004",280.245051146894
"Buenos_Aires","2005",338.87685992947
"Buenos_Aires","2006",377.467962331666
"Buenos_Aires","2007",369.305126900564
"Buenos_Aires","2008",330.241606505718
"Buenos_Aires","2009",382.908158914687
"Buenos_Aires","2010",417.479630490275
"Buenos_Aires","2011",380.389059327054
"Buenos_Aires","2012",374.670385876667
"Buenos_Aires","2013",325.818493159059
"Buenos_Aires","2014",352.948091433995
"Buenos_Aires","2015",366.744831099618
"Buenos_Aires","2016",379.551729368255
"Buenos_Aires","2017",406.111672320622
"Buenos_Aires","2018",432.883614974956
"Buenos_Aires","2019",429.501853941895
"Buenos_Aires","2020",388.933850383048
"Buenos_Aires","2021",425.44167260549
"Buenos_Aires","2022",509.743557339079
"Catamarca","2004",1669.46925935001
"Catamarca","2005",1923.90674627796
"Catamarca","2006",1960.71361441247
"Catamarca","2007",1901.75609825554
"Catamarca","2008",1616.25339260306
"Catamarca","2009",1417.72718201761
"Catamarca","2010",1331.98050352358
"Catamarca","2011",1127.02654318197
"Catamarca","2012",1225.4409076342
"Catamarca","2013",980.621721505633
"Catamarca","2014",1108.0870207331
"Catamarca","2015",667.961198198693
"Catamarca","2016",775.56388541138
"Catamarca","2017",606.43964393827
"Catamarca","2018",495.749305937816
"Catamarca","2019",223.961916751253
"Catamarca","2020",219.517010334499
"Catamarca","2021",227.331100547378
"Catamarca","2022",315.079020436884
"Cordoba","2004",87.692479426094
"Cordoba","2005",110.100253466268
"Cordoba","2006",131.380574416993
"Cordoba","2007",126.758458644377
"Cordoba","2008",121.585618202554
"Cordoba","2009",131.965663235194
"Cordoba","2010",132.587711611448
"Cordoba","2011",126.412622067705
"Cordoba","2012",119.586014163574
"Cordoba","2013",101.957948342054
"Cordoba","2014",112.243510348975
"Cordoba","2015",121.722215970426
"Cordoba","2016",123.701544151419
"Cordoba","2017",130.645896566908
"Cordoba","2018",142.120565592695
"Cordoba","2019",136.844045350592
"Cordoba","2020",117.598051010122
"Cordoba","2021",124.922820245613
"Cordoba","2022",145.225822423117
"Corrientes","2004",8.36362384284782
"Corrientes","2005",9.38913758861935
"Corrientes","2006",8.90929426070084
"Corrientes","2007",9.01792895782358
"Corrientes","2008",8.23969223681286
"Corrientes","2009",10.0936781449541
"Corrientes","2010",11.2794450508534
"Corrientes","2011",10.5205796921985
"Corrientes","2012",10.9422260493898
"Corrientes","2013",9.69871007323711
"Corrientes","2014",9.33799602145929
"Corrientes","2015",10.2428642207582
"Corrientes","2016",10.5343080579133
"Corrientes","2017",9.99942662756396
"Corrientes","2018",9.21719978831672
"Corrientes","2019",8.92302077594336
"Corrientes","2020",8.84180053064637
"Corrientes","2021",10.3105366301553
"Corrientes","2022",12.8228936481283
"Chaco","2004",2.39695685397609
"Chaco","2005",2.68970071278488
"Chaco","2006",2.96860816216561
"Chaco","2007",2.48954273515557
"Chaco","2008",2.295367339425
"Chaco","2009",3.25803544572508
"Chaco","2010",3.86918816128963
"Chaco","2011",3.24531203205928
"Chaco","2012",3.16056894422643
"Chaco","2013",2.3604991118703
"Chaco","2014",2.70834172018544
"Chaco","2015",2.94272297829297
"Chaco","2016",2.74647389999101
"Chaco","2017",2.86880929222901
"Chaco","2018",2.77200400717127
"Chaco","2019",2.56795357064341
"Chaco","2020",2.2526568879211
"Chaco","2021",2.55343165132083
"Chaco","2022",3.32778335115778
"Chubut","2004",67.5020521408388
"Chubut","2005",76.7333498851583
"Chubut","2006",74.108416119281
"Chubut","2007",61.3597855120274
"Chubut","2008",54.0056380928368
"Chubut","2009",54.7612928260891
"Chubut","2010",57.7378821355933
"Chubut","2011",52.2007144628238
"Chubut","2012",48.0502806579484
"Chubut","2013",41.2005394492237
"Chubut","2014",42.6120706746594
"Chubut","2015",43.7546746633398
"Chubut","2016",44.9928383429753
"Chubut","2017",47.9800807176723
"Chubut","2018",51.1087336070737
"Chubut","2019",49.8678337182128
"Chubut","2020",40.4017012507782
"Chubut","2021",41.3891949957226
"Chubut","2022",50.3495611171711
"Entre_Rios","2004",27.2434234214433
"Entre_Rios","2005",29.7970727422208
"Entre_Rios","2006",28.7474952771439
"Entre_Rios","2007",27.2930694295971
"Entre_Rios","2008",26.599691577399
"Entre_Rios","2009",29.6024625866909
"Entre_Rios","2010",32.2200806986804
"Entre_Rios","2011",26.8977154009387
"Entre_Rios","2012",26.007540540375
"Entre_Rios","2013",23.6512994723891
"Entre_Rios","2014",28.0463426088652
