anio,empleo_minero_perc_formal_total,empleo_base,cantidad_puestos
1996,0.383496484318897,suma_mineria_oede,10283.75
1996,0.383496484318897,empleo_minero_siacam,13465.3448560057
1996,0.383496484318897,empleo_total_oede,3511204.25
1997,0.377220036357177,suma_mineria_oede,11011.25
1997,0.377220036357177,empleo_minero_siacam,14417.9193918262
1997,0.377220036357177,empleo_total_oede,3822151.0
1998,0.37914150273088,suma_mineria_oede,11825.75
1998,0.37914150273088,empleo_minero_siacam,15484.4100577036
1998,0.37914150273088,empleo_total_oede,4084071.5
1999,0.356580597448397,suma_mineria_oede,11024.5
1999,0.356580597448397,empleo_minero_siacam,14435.2686874958
1999,0.356580597448397,empleo_total_oede,4048248.5
2000,0.340560540517876,suma_mineria_oede,10392.0
2000,0.340560540517876,empleo_minero_siacam,13607.0853281742
2000,0.340560540517876,empleo_total_oede,3995496.75
2001,0.329607816154933,suma_mineria_oede,9869.25
2001,0.329607816154933,empleo_minero_siacam,12922.6065122289
2001,0.329607816154933,empleo_total_oede,3920600.75
2002,0.317944089275915,suma_mineria_oede,8556.25
2002,0.317944089275915,empleo_minero_siacam,11203.3895149336
2002,0.317944089275915,empleo_total_oede,3523698.0
2003,0.319763803791575,suma_mineria_oede,9106.0
2003,0.319763803791575,empleo_minero_siacam,11923.2216126207
2003,0.319763803791575,empleo_total_oede,3728759.0
2004,0.34044572266618,suma_mineria_oede,10877.75
2004,0.34044572266618,empleo_minero_siacam,14243.1170543251
2004,0.34044572266618,empleo_total_oede,4183667.5
2005,0.369329528926955,suma_mineria_oede,13237.5
2005,0.369329528926955,empleo_minero_siacam,17332.9284095175
2005,0.369329528926955,empleo_total_oede,4693079.5
2006,0.390085256309036,suma_mineria_oede,15310.25
2006,0.390085256309036,empleo_minero_siacam,20046.9474736026
2006,0.390085256309036,empleo_total_oede,5139119.5
2007,0.405870930445432,suma_mineria_oede,17315.5
2007,0.405870930445432,empleo_minero_siacam,22672.5833333333
2007,0.405870930445432,empleo_total_oede,5586156.0
2008,0.417437304627974,suma_mineria_oede,18901.5
2008,0.417437304627974,empleo_minero_siacam,24734.9166666667
2008,0.417437304627974,empleo_total_oede,5925420.75
2009,0.41341813778541,suma_mineria_oede,18539.25
2009,0.41341813778541,empleo_minero_siacam,24152.1666666667
2009,0.41341813778541,empleo_total_oede,5842067.5
2010,0.42965152228754,suma_mineria_oede,19609.0
2010,0.42965152228754,empleo_minero_siacam,25750.6666666667
2010,0.42965152228754,empleo_total_oede,5993384.25
2011,0.452039241722587,suma_mineria_oede,21577.25
2011,0.452039241722587,empleo_minero_siacam,28398.5833333333
2011,0.452039241722587,empleo_total_oede,6282327.0
2012,0.47357572236319,suma_mineria_oede,22451.75
2012,0.47357572236319,empleo_minero_siacam,30150.3333333333
2012,0.47357572236319,empleo_total_oede,6366528.5
2013,0.474225900344469,suma_mineria_oede,22568.75
2013,0.474225900344469,empleo_minero_siacam,30464.0833333333
2013,0.474225900344469,empleo_total_oede,6423960.25
2014,0.478134412240042,suma_mineria_oede,22890.0
2014,0.478134412240042,empleo_minero_siacam,30766.3333333333
2014,0.478134412240042,empleo_total_oede,6434662.0
2015,0.471117192820518,suma_mineria_oede,23106.5
2015,0.471117192820518,empleo_minero_siacam,31001.3333333333
2015,0.471117192820518,empleo_total_oede,6580386.75
2016,0.460659689975923,suma_mineria_oede,22292.75
2016,0.460659689975923,empleo_minero_siacam,30152.4166666667
2016,0.460659689975923,empleo_total_oede,6545486.25
2017,0.460226420084152,suma_mineria_oede,22565.25
2017,0.460226420084152,empleo_minero_siacam,30384.75
2017,0.460226420084152,empleo_total_oede,6602130.75
2018,0.467546040186037,suma_mineria_oede,23154.75
2018,0.467546040186037,empleo_minero_siacam,30955.1666666667
2018,0.467546040186037,empleo_total_oede,6620774.0
2019,0.486340314120887,suma_mineria_oede,23332.0
2019,0.486340314120887,empleo_minero_siacam,31469.3333333333
2019,0.486340314120887,empleo_total_oede,6470640.5
2020,0.50928001410439,suma_mineria_oede,23254.0
2020,0.50928001410439,empleo_minero_siacam,31510.1666666667
2020,0.50928001410439,empleo_total_oede,6187198.75
2021,0.532124284361251,suma_mineria_oede,24316.25
2021,0.532124284361251,empleo_minero_siacam,33390.5833333333
2021,0.532124284361251,empleo_total_oede,6274959.5
2022,0.55896634549921,suma_mineria_oede,26569.5
2022,0.55896634549921,empleo_minero_siacam,36706.3333333333
2022,0.55896634549921,empleo_total_oede,6566823.5
