"mineral","unidad_medida","ranking","produccion"
"Oro","Onzas Troy","10_mas",1191
"Plata","Toneladas","10_mas",840
"Cobre","Miles de toneladas","10_mas",176
"Diatomita","Miles de Kg","7",100
"Litio","Toneladas (li metálico)","4",6200
"Boron","Miles de toneladas","7",130
"Perlita","Miles de toneladas","10_mas",20
"Arena y Grava (industrial)","Millones de toneladas","10_mas",3900
"Estroncio","Toneladas","7",700
