tipo_auto,mineral_critico,mineral_utilizado_kg_por_vehiculo
auto_electrico,cobre,53.2
auto_electrico,Lithium,8.9
auto_electrico,niquel,39.9
auto_electrico,manganeso,24.5
auto_electrico,cobalto,13.3
auto_electrico,Graphite,66.3
auto_electrico,cinc,0.1
auto_electrico,tierras_raras,0.5
auto_electrico,otros,0.31
auto_convencional,cobre,22.3
auto_convencional,Lithium,0.0
auto_convencional,niquel,0.0
auto_convencional,manganeso,11.2
auto_convencional,cobalto,0.0
auto_convencional,Graphite,0.0
auto_convencional,cinc,0.1
auto_convencional,tierras_raras,0.0
auto_convencional,otros,0.3
