"mineral","escenario_desarrollo_sostenible","escenario_base"
"Litio",41.9,12.8
"Grafito",24.7,7.7
"Cobalto",21.3,6.4
"Niquel",19.4,6.5
"Manganeso",8.1,3
"Elementos de tierras raras",7.3,3.4
"Cobre",2.6,1.7
"Molibdeno",2.9,2
"Silicio",2.3,1.8
