fecha,tasa_feminizacion
I_1996,6.62948020468936
II_1996,6.52229620042501
III_1996,6.66582673420979
VI_1996,6.66505595266939
I_1997,6.90995260663507
II_1997,6.79443031102238
III_1997,6.87215201111728
VI_1997,6.97533401145773
I_1998,7.03999553003817
II_1998,6.88104301367189
III_1998,6.87315069144072
VI_1998,6.81962548479628
I_1999,7.00726254933454
II_1999,6.63840582057299
III_1999,6.5609902467521
VI_1999,6.29702026998037
I_2000,6.41114780155778
II_2000,6.49282378410007
III_2000,6.59273926720685
VI_2000,6.43986948086792
I_2001,6.37901666879219
II_2001,6.25484616727715
III_2001,6.24896964490625
VI_2001,6.3015157480601
I_2002,6.37618088169939
II_2002,6.74636723988044
III_2002,6.92652625008232
VI_2002,6.93717266553541
I_2003,6.84066744504628
II_2003,6.72507286949798
III_2003,6.64107875381368
VI_2003,6.47280814587114
I_2004,6.47511763370511
II_2004,6.4438496391765
III_2004,6.6981375364039
VI_2004,6.73498840924488
I_2005,6.70776708113986
II_2005,6.70170844084589
III_2005,6.69748173496214
VI_2005,6.63929445184426
I_2006,6.62487230635329
II_2006,6.71866544717747
III_2006,6.94047434266771
VI_2006,7.08312136284551
I_2007,7.34047345478964
II_2007,7.45220964605688
III_2007,7.434397071713
VI_2007,7.62412311708086
I_2008,7.65657551525797
II_2008,7.64527579624422
III_2008,7.77236486006847
VI_2008,7.84982344284029
I_2009,7.86790852748551
II_2009,7.98935213255159
III_2009,8.20680529579922
VI_2009,7.94772866579283
I_2010,7.90657739584927
II_2010,7.85402137013756
III_2010,7.73549888318549
VI_2010,7.91828420142407
I_2011,8.20457574655821
II_2011,8.31988297354036
III_2011,8.14737674348259
VI_2011,8.13991569296898
I_2012,8.26707462956328
II_2012,8.3175472484663
III_2012,8.37601870768749
VI_2012,8.44218018163332
I_2013,8.55304770235438
II_2013,8.38773659121298
III_2013,8.06449260455027
VI_2013,7.9346967436145
I_2014,7.84875272553193
II_2014,7.62311294932888
III_2014,7.59310307119108
VI_2014,7.68053256612026
I_2015,7.78105624264484
II_2015,7.84555608748423
III_2015,7.81227942323883
VI_2015,7.80577697273009
I_2016,7.85283355757487
II_2016,7.62708127138715
III_2016,7.65831873846708
VI_2016,7.62153699378378
I_2017,7.63029553305142
II_2017,7.61221359945673
III_2017,7.68648699235578
VI_2017,7.83932279892737
I_2018,8.04584898929899
II_2018,8.09024987104117
III_2018,8.2239163748134
VI_2018,8.4393636960567
I_2019,8.53064733405769
II_2019,8.59823550177856
III_2019,8.69272622922093
VI_2019,8.84921114591984
I_2020,9.08407524144016
II_2020,9.03288690930804
III_2020,8.93732978213453
VI_2020,8.99435786309389
I_2021,9.11238818445884
II_2021,9.33886239935455
III_2021,9.46302114667842
VI_2021,9.68993837215866
I_2022,10.1967634929482
II_2022,10.7108171684786
III_2022,10.9349368539142
