region_wvs_code,region_wvs,nivel_acuerdo,valor
1,Centro y Sur (exc. CABA y PBA),De acuerdo,0.12852661
1,Centro y Sur (exc. CABA y PBA),En desacuerdo,0.68660605
1,Centro y Sur (exc. CABA y PBA),Ni de acuerdo ni en desacuerdo,0.18486735
2,Provincia de Buenos Aires,De acuerdo,0.12089928
2,Provincia de Buenos Aires,En desacuerdo,0.67606729
2,Provincia de Buenos Aires,Ni de acuerdo ni en desacuerdo,0.2030334
3,Norte,De acuerdo,0.2403179
3,Norte,En desacuerdo,0.62129194
3,Norte,Ni de acuerdo ni en desacuerdo,0.13839014
4,CABA,De acuerdo,0.036836807
4,CABA,En desacuerdo,0.87435699
4,CABA,Ni de acuerdo ni en desacuerdo,0.088806212
