"sexo","nivel_educativo","minutos"
"Total","Total","266.419086587997"
"Total","Hasta primario incompleto","292.900399728691"
"Total","Primario completo y secundario incompleto","262.676334221758"
"Total","Secundario completo","280.865862833045"
"Total","Terciario o universitario incompleto y más","255.973132430142"
"Mujeres","Total","358.634586282071"
"Mujeres","Hasta primario incompleto","410.242498825889"
"Mujeres","Primario completo y secundario incompleto","375.755939556486"
"Mujeres","Secundario completo","393.415376607075"
"Mujeres","Terciario o universitario incompleto y más","314.984065832222"
"Varones","Total","165.289362136074"
"Varones","Hasta primario incompleto","157.94358141712"
"Varones","Primario completo y secundario incompleto","157.592706996057"
"Varones","Secundario completo","178.351613194274"
"Varones","Terciario o universitario incompleto y más","166.463358520093"
