anio,edad,reg_desc_fundar,tasa_actividad
2016,10,CABA,0.0
2016,10,Cuyo,0.0
2016,10,Noreste,0.0
2016,10,Noroeste,0.0
2016,10,Pampeana,0.0
2016,10,Partidos del GBA,0.0049764544218564
2016,10,Patagonia,0.0
2016,10,Todas,0.0015613368097881
2016,11,CABA,0.0113376867913946
2016,11,Cuyo,0.0
2016,11,Noreste,0.0
2016,11,Noroeste,0.0
2016,11,Pampeana,0.0
2016,11,Partidos del GBA,0.0053030187741271
2016,11,Patagonia,0.0
2016,11,Todas,0.0022453505032665
2016,12,CABA,0.0112182134103237
2016,12,Cuyo,0.0
2016,12,Noreste,0.0
2016,12,Noroeste,0.0005564311863314
2016,12,Pampeana,0.003192326803151
2016,12,Partidos del GBA,0.0066771875526682
2016,12,Patagonia,0.0
2016,12,Todas,0.0036711469909086
2016,13,CABA,0.0207658180165744
2016,13,Cuyo,0.0010531883968185
2016,13,Noreste,0.0007347804526681
2016,13,Noroeste,0.0007095506997299
2016,13,Pampeana,0.0039443388411836
2016,13,Partidos del GBA,0.0069150674845847
2016,13,Patagonia,0.0017627773903206
2016,13,Todas,0.0047318838451573
2016,14,CABA,0.0211883278120443
2016,14,Cuyo,0.0062215875282637
2016,14,Noreste,0.001325724228646
2016,14,Noroeste,0.0027594196664255
2016,14,Pampeana,0.0089304845487296
2016,14,Partidos del GBA,0.0121571751292886
2016,14,Patagonia,0.0028366111951588
2016,14,Todas,0.0085127709176615
2016,15,CABA,0.0196593437073684
2016,15,Cuyo,0.0067706283693121
2016,15,Noreste,0.0076810361126867
2016,15,Noroeste,0.0092654367372928
2016,15,Pampeana,0.0109229517417636
2016,15,Partidos del GBA,0.0096282953987227
2016,15,Patagonia,0.0034086745990028
2016,15,Todas,0.0097711307701261
2016,16,CABA,0.0100741228418675
2016,16,Cuyo,0.0145854549038195
2016,16,Noreste,0.0267799882100681
2016,16,Noroeste,0.0248141457573489
2016,16,Pampeana,0.0266585723424953
2016,16,Partidos del GBA,0.0242454675896996
2016,16,Patagonia,0.0142185077137375
2016,16,Todas,0.0232790437554992
2016,17,CABA,0.0233209782396652
2016,17,Cuyo,0.0304801860549957
2016,17,Noreste,0.0400084400676465
