provincia_id,provincia_desc,establecimientos_cada_1000_hab,tasa_empleo_18_65,geocodigoFundar,geonombreFundar
2,CABA,50.0578091733288,0.789681802023918,AR-C,CABA
6,Buenos Aires,12.8436063116208,0.686412070675332,AR-B,Buenos Aires
10,Catamarca,8.89988732551751,0.655688938282013,AR-K,Catamarca
14,Córdoba,16.6861691326228,0.690171536018032,AR-X,Córdoba
18,Corrientes,9.03843086694284,0.629436553078654,AR-W,Corrientes
22,Chaco,9.4762472625973,0.638670180033766,AR-H,Chaco
26,Chubut,17.1408674890569,0.692788912815416,AR-U,Chubut
30,Entre Ríos,14.4430906335134,0.6690640831021,AR-E,Entre Ríos
34,Formosa,5.65638298398953,0.529326361843848,AR-P,Formosa
38,Jujuy,7.92275253617059,0.660111186695128,AR-Y,Jujuy
42,La Pampa,21.5915983192267,0.676663708961846,AR-L,La Pampa
46,La Rioja,8.3435818900852,0.666019126657945,AR-F,La Rioja
50,Mendoza,14.7344322480694,0.716360712101394,AR-M,Mendoza
54,Misiones,9.54050087434424,0.706368846698277,AR-N,Misiones
58,Neuquén,16.6173495368777,0.677278686881211,AR-Q,Neuquén
62,Río Negro,17.4433481570518,0.66543825830593,AR-R,Río Negro
66,Salta,8.71260078629973,0.645991846345026,AR-A,Salta
70,San Juan,11.0958478870348,0.646313918702381,AR-J,San Juan
74,San Luis,11.9836200441852,0.693616186126178,AR-D,San Luis
78,Santa Cruz,15.2126259097438,0.674770871521413,AR-Z,Santa Cruz
82,Santa Fe,18.0184461111164,0.713268063871669,AR-S,Santa Fe
86,Santiago del Estero,6.82714311194769,0.627656222110081,AR-G,Santiago del Estero
90,Tucumán,8.69605551008522,0.652255565600566,AR-T,Tucumán
94,Tierra del Fuego,17.2837951962065,0.654393484401593,AR-V,Tierra del Fuego
