"anio","provincia","tasa_empleo","tasa_menor_18"
"2016","Buenos Aires","0.406335490515795","0.282781686037529"
"2016","Ciudad de Buenos Aires","0.513004338146002","0.188306212645502"
"2016","Catamarca","0.409790030453598","0.304292354543997"
"2016","Chaco","0.357439904872441","0.320043515798196"
"2016","Chubut","0.416649298551212","0.297975674440571"
"2016","Corrientes","0.395460104724128","0.283558667042531"
"2016","Córdoba","0.40789645758115","0.304766868960727"
"2016","Entre Ríos","0.37997722850596","0.298842148345173"
"2016","Formosa","0.308432146732913","0.292615705610586"
"2016","Jujuy","0.390209233391497","0.318271452876609"
"2016","La Pampa","0.388765245562452","0.307558804312316"
"2016","La Rioja","0.397530957248691","0.301950550054487"
"2016","Mendoza","0.404397469838126","0.28783353205478"
"2016","Misiones","0.412525553158862","0.304748437512092"
"2016","Neuquén","0.398816205554592","0.298326469473826"
"2016","Río Negro","0.409027370183324","0.266534347201263"
"2016","Salta","0.373636307776739","0.334049356799375"
"2016","San Juan","0.344725585142913","0.292017123271376"
"2016","San Luis","0.394589346291808","0.280913866817965"
"2016","Santa Cruz","0.406656708704393","0.336632696149798"
"2016","Santa Fe","0.400392525326519","0.24456080531251"
"2016","Santiago del Estero","0.36571062246403","0.334630260895109"
"2016","Tierra del Fuego","0.440984764672167","0.291403969449369"
"2016","Total","0.407658230452811","0.281723949928689"
"2016","Tucumán","0.40634912013904","0.305921603922907"
"2017","Buenos Aires","0.413326776762686","0.276372457371606"
"2017","Ciudad de Buenos Aires","0.49975704923768","0.216479529224505"
"2017","Catamarca","0.406615598885794","0.305241833375538"
"2017","Chaco","0.377445754404833","0.33070507549728"
"2017","Chubut","0.396965230664221","0.292057170073844"
"2017","Corrientes","0.396477839999385","0.283321207252823"
"2017","Córdoba","0.410528532154554","0.280122133993194"
"2017","Entre Ríos","0.399841041357398","0.284314516658753"
"2017","Formosa","0.29263684587516","0.291926794074597"
"2017","Jujuy","0.404053883884284","0.303744905386853"
"2017","La Pampa","0.375637675749658","0.289297135881682"
"2017","La Rioja","0.395300004329513","0.282206938353919"
"2017","Mendoza","0.400594439475253","0.275474646477553"
"2017","Misiones","0.42365650101903","0.30986338257013"
"2017","Neuquén","0.416593013872344","0.278077434996314"
"2017","Río Negro","0.394261473594124","0.26485023881034"
"2017","Salta","0.396226008570247","0.30943216104971"
"2017","San Juan","0.35671337974868","0.277898177704023"
"2017","San Luis","0.378524099842371","0.284944712884088"
"2017","Santa Cruz","0.399072778327265","0.308341014248225"
"2017","Santa Fe","0.411133969303117","0.237119511355224"
"2017","Santiago del Estero","0.374802003252346","0.319720099288493"
"2017","Tierra del Fuego","0.398716101309862","0.29791901961548"
"2017","Total","0.411846808234291","0.275661848333454"
"2017","Tucumán","0.400880635735714","0.301486838307961"
"2018","Buenos Aires","0.410119219591475","0.273577857905951"
"2018","Ciudad de Buenos Aires","0.49214515135441","0.202963787551644"
"2018","Catamarca","0.4051060980989","0.309556806201647"
"2018","Chaco","0.342934362059141","0.280919217616105"
"2018","Chubut","0.384245254550406","0.295621821339987"
"2018","Corrientes","0.38955477686754","0.283086252418629"
"2018","Córdoba","0.42136458731776","0.270286338808423"
"2018","Entre Ríos","0.429531713232063","0.27156998529709"
"2018","Formosa","0.312231962404903","0.28434578287517"
"2018","Jujuy","0.403387209267065","0.295866816265882"
"2018","La Pampa","0.381835525288078","0.279529901320491"
"2018","La Rioja","0.414197686921083","0.276040413393562"
"2018","Mendoza","0.414180549919532","0.271224753810811"
"2018","Misiones","0.407014904451647","0.32766145954269"
"2018","Neuquén","0.400365076109233","0.277369935172274"
"2018","Río Negro","0.397336582281409","0.26632789185938"
"2018","Salta","0.406990385423921","0.324912585485803"
"2018","San Juan","0.37218672563766","0.289054981566399"
"2018","San Luis","0.413596738557681","0.279464376508001"
"2018","Santa Cruz","0.429744305223901","0.29181460712678"
"2018","Santa Fe","0.433040240239483","0.237943669526375"
"2018","Santiago del Estero","0.359309538019353","0.328545469121616"
"2018","Tierra del Fuego","0.386826005642375","0.290994389323866"
"2018","Total","0.41350239959339","0.271512448315904"
"2018","Tucumán","0.40359309389949","0.291301355945774"
"2019","Buenos Aires","0.406736837017766","0.271270366596505"
"2019","Ciudad de Buenos Aires","0.524219955060018","0.195412532490753"
"2019","Catamarca","0.394179820618104","0.305764875628346"
"2019","Chubut","0.404666893940753","0.280686487359374"
"2019","Corrientes","0.402869348346791","0.274739621077675"
"2019","Córdoba","0.423947350587682","0.255667374120156"
"2019","Entre Ríos","0.406825935719589","0.280246244192157"
"2019","Formosa","0.28669855797869","0.280857690610902"
"2019","Jujuy","0.414611315464708","0.278636129449683"
"2019","La Pampa","0.411957557241878","0.276324693669722"
"2019","La Rioja","0.404523923917433","0.280973757822103"
"2019","Mendoza","0.406460983572162","0.269731764400273"
"2019","Misiones","0.436635294315903","0.30502519337389"
"2019","Neuquén","0.410354001732816","0.268252868593644"
"2019","Río Negro","0.412579645308783","0.248724442636891"
"2019","Salta","0.401720001512019","0.336272922562936"
"2019","San Juan","0.402299896612068","0.300032373998756"
"2019","San Luis","0.442486169955625","0.266360041775171"
"2019","Santa Cruz","0.404859133279581","0.313839567973921"
"2019","Santa Fe","0.432003859751944","0.236195410552714"
"2019","Santiago del Estero","0.377586570184123","0.327416705873524"
"2019","Tierra del Fuego","0.387281056985465","0.28687485702627"
"2019","Total","0.418197777163488","0.267425118681718"
"2019","Tucumán","0.415159424373974","0.291076126638919"
"2020","Buenos Aires","0.349928136145333","0.296206502751021"
