anio,edad,tasa_actividad
2016,10,0.0015613368097881
2016,11,0.0022453505032665
2016,12,0.0036711469909086
2016,13,0.0047318838451573
2016,14,0.0085127709176615
2016,15,0.0097711307701261
2016,16,0.0232790437554992
2016,17,0.0451905847191662
2016,18,0.0959581255354222
2016,19,0.16493363792324
2016,20,0.256128255219238
2016,21,0.362717112131595
2016,22,0.454687960639265
2016,23,0.536210253742676
2016,24,0.595690266520885
2016,25,0.642723370365946
2016,26,0.671317660971985
2016,27,0.710461789743455
2016,28,0.730608387211724
2016,29,0.755258392040974
2016,30,0.765636407623065
2016,31,0.780544616636362
2016,32,0.785930495478703
2016,33,0.796850280346078
2016,34,0.803895023556849
2016,35,0.812281014087068
2016,36,0.817774959992106
2016,37,0.822047527346456
2016,38,0.824308450555809
2016,39,0.822625524315794
2016,40,0.8336540222701
2016,41,0.828852139580595
2016,42,0.820496276476062
2016,43,0.819276961332937
2016,44,0.814473155058304
2016,45,0.805728123718304
2016,46,0.808631346241473
2016,47,0.816455030517233
2016,48,0.810295815514598
2016,49,0.807316459555941
2016,50,0.803128284635036
2016,51,0.785654531194404
2016,52,0.775026973618061
2016,53,0.768216300706031
2016,54,0.762867332109263
2016,55,0.751543768678515
2016,56,0.745379364454386
2016,57,0.726883644429425
2016,58,0.721680997139115
2016,59,0.701210955279254
2016,60,0.670895624128642
2016,61,0.648211130342096
2016,62,0.617166088907282
2016,63,0.561816384957648
2016,64,0.530369208514088
2016,65,0.482591834983202
2016,66,0.424291870919579
2016,67,0.379640109687868
2016,68,0.324866588221526
2016,69,0.272634094747237
2016,70,0.235338671091195
2016,71,0.202760259767219
2016,72,0.172870491105331
2016,73,0.169391057475538
2016,74,0.147889144681332
2016,75,0.13296974057143
2016,76,0.123148473765649
2016,77,0.110795696851255
2016,78,0.0880365766811689
2016,79,0.064819329761801
2016,80,0.0517615390705407
2016,81,0.0444497045876668
2016,82,0.037406583987357
2016,83,0.0391101548587715
2016,84,0.0339916930943481
2016,85,0.0369679596095992
2016,86,0.0288208967002243
2016,87,0.0234001639302573
2016,88,0.0146321184199766
2016,89,0.0112451457659961
2016,90,0.0014320368872949
2017,10,0.0001528487556632
2017,11,0.0005949149909785
2017,12,0.0040443754753656
2017,13,0.0048076000290186
2017,14,0.0064789209730279
2017,15,0.0093627273698062
2017,16,0.0150517686805088
2017,17,0.0367297938207097
2017,18,0.0909087241340356
2017,19,0.164276180415198
2017,20,0.263813969122174
2017,21,0.369574274745273
2017,22,0.467543928947657
2017,23,0.531437306408142
2017,24,0.587687313564865
2017,25,0.631962309228886
2017,26,0.671135737089464
2017,27,0.696692343279381
2017,28,0.732031670901666
2017,29,0.754549598744402
2017,30,0.773302806509972
2017,31,0.780955420020004
2017,32,0.797579467951628
2017,33,0.803988416916918
2017,34,0.809548406599228
