geocodigoFundar,geonombreFundar,anio,salario_relativo,tasa_empleo_mujer
AR-B,Buenos Aires,2016,98.168801968989,0.542050582836404
AR-C,CABA,2016,156.340334970588,0.68584886988877
AR-K,Catamarca,2016,75.076690723679,0.555626540111344
AR-H,Chaco,2016,67.4254045122274,0.450991214456861
AR-U,Chubut,2016,143.03142487723,0.54217237763502
AR-W,Corrientes,2016,64.4872879217884,0.507877732520708
AR-X,Córdoba,2016,86.3175783929935,0.516707840063613
AR-E,Entre Ríos,2016,97.5292271404193,0.440047493321252
AR-P,Formosa,2016,83.0737370854575,0.329534372310928
AR-Y,Jujuy,2016,73.6755547586312,0.507582251914038
AR-L,La Pampa,2016,113.454252423782,0.536025596092752
AR-F,La Rioja,2016,69.1916340995734,0.509533038638165
AR-M,Mendoza,2016,81.6722606208731,0.524021414169506
AR-N,Misiones,2016,80.7180897474908,0.525246506492151
AR-Q,Neuquén,2016,116.307224664159,0.524542238984167
AR-R,Río Negro,2016,108.175382850596,0.504000345742238
AR-A,Salta,2016,73.0530774483699,0.482392633724608
AR-J,San Juan,2016,79.7539044727982,0.423784762643901
AR-D,San Luis,2016,93.5917564522828,0.460745247148289
AR-Z,Santa Cruz,2016,164.600188461453,0.541780043049182
AR-S,Santa Fe,2016,108.05971022613,0.505113866534139
AR-G,Santiago del Estero,2016,64.5644951457529,0.443025203301249
AR-V,Tierra del Fuego,2016,211.037402939218,0.547888241606623
AR-T,Tucumán,2016,77.2391840526692,0.514278939749414
AR-B,Buenos Aires,2017,99.7710235741384,0.530163396970261
AR-C,CABA,2017,148.162333993575,0.692226823595507
AR-K,Catamarca,2017,79.4115770925981,0.562896685033329
AR-H,Chaco,2017,63.9244778030811,0.472345645817228
AR-U,Chubut,2017,139.871810475885,0.515558846537403
AR-W,Corrientes,2017,69.637807655944,0.513708447964673
AR-X,Córdoba,2017,91.4897654802462,0.51214921895057
AR-E,Entre Ríos,2017,92.0939201382833,0.475989773849481
AR-P,Formosa,2017,93.6544014161071,0.322127474522112
AR-Y,Jujuy,2017,72.2852309686586,0.536175640064912
AR-L,La Pampa,2017,117.166696397269,0.494761208576998
AR-F,La Rioja,2017,85.3579929031761,0.503999923170743
AR-M,Mendoza,2017,83.3859576859819,0.512387768075638
AR-N,Misiones,2017,76.8483486199629,0.554475459514374
AR-Q,Neuquén,2017,127.315075474975,0.510747697290384
AR-R,Río Negro,2017,112.930169912367,0.529223673501027
AR-A,Salta,2017,76.9796857188691,0.518052824012355
AR-J,San Juan,2017,84.998940655303,0.465862852292868
AR-D,San Luis,2017,93.7483363156492,0.456479661042781
AR-Z,Santa Cruz,2017,147.97866776034,0.525470867108089
AR-S,Santa Fe,2017,104.561052711228,0.553638344670278
AR-G,Santiago del Estero,2017,63.4316959814179,0.469753976964997
AR-V,Tierra del Fuego,2017,218.224229425288,0.480893896019946
AR-T,Tucumán,2017,73.8326063079836,0.511862825206313
AR-B,Buenos Aires,2018,98.5874041822077,0.542290599228286
AR-C,CABA,2018,141.481159614538,0.708089065806343
AR-K,Catamarca,2018,79.6575395781108,0.56989364874267
AR-H,Chaco,2018,70.9228805921961,0.404199775442851
AR-U,Chubut,2018,146.363412139621,0.522798442356802
AR-W,Corrientes,2018,71.3397909101759,0.488651073895098
AR-X,Córdoba,2018,91.4386163164432,0.53254354049154
AR-E,Entre Ríos,2018,90.2809452317114,0.592299262942397
AR-P,Formosa,2018,100.684146090687,0.299386471635521
AR-Y,Jujuy,2018,79.7619980117984,0.52764816228802
AR-L,La Pampa,2018,106.873016829378,0.540673770315359
AR-F,La Rioja,2018,81.1002752717598,0.527284492720129
AR-M,Mendoza,2018,88.5129252927593,0.542917845535724
AR-N,Misiones,2018,72.2708003753276,0.529980664391068
AR-Q,Neuquén,2018,146.237523901528,0.516866747341479
AR-R,Río Negro,2018,114.101050049236,0.53925235001282
AR-A,Salta,2018,72.8070977097753,0.543639494416696
AR-J,San Juan,2018,85.3533499111917,0.489155661443036
AR-D,San Luis,2018,91.0882828669375,0.559423877573984
AR-Z,Santa Cruz,2018,142.68946277449,0.563001732198402
AR-S,Santa Fe,2018,111.811643901832,0.577853431103815
AR-G,Santiago del Estero,2018,68.8768064738484,0.431457262391197
AR-V,Tierra del Fuego,2018,186.825896776702,0.453872470379032
AR-T,Tucumán,2018,77.2195383979088,0.501160411861774
AR-B,Buenos Aires,2019,100.068011843836,0.524298799543178
AR-C,CABA,2019,145.841697969474,0.737450726965989
AR-K,Catamarca,2019,77.0684865400311,0.548653687033326
AR-U,Chubut,2019,142.450100982374,0.549650592425023
AR-W,Corrientes,2019,82.8384867902396,0.510808452888717
AR-X,Córdoba,2019,88.0909446973272,0.534058660096359
AR-E,Entre Ríos,2019,87.4376084668694,0.544696425738128
AR-P,Formosa,2019,92.4563517674269,0.286905179842339
AR-Y,Jujuy,2019,72.6246917513848,0.539189633444743
AR-L,La Pampa,2019,114.857029218109,0.578263211318957
AR-F,La Rioja,2019,79.6060719134322,0.510642596740897
AR-M,Mendoza,2019,85.4958649757074,0.522469327103864
AR-N,Misiones,2019,75.2863618386611,0.561487774693113
AR-Q,Neuquén,2019,133.839812224345,0.534456418728217
AR-R,Río Negro,2019,121.942240978704,0.52722011725009
AR-A,Salta,2019,66.2304127040627,0.515582798436775
AR-J,San Juan,2019,78.4438657388456,0.528561400653123
AR-D,San Luis,2019,91.841315899996,0.578176590010909
AR-Z,Santa Cruz,2019,137.043335470769,0.541392797001467
AR-S,Santa Fe,2019,102.754624355205,0.578458148880253
AR-G,Santiago del Estero,2019,67.0451765618008,0.481530361729604
AR-V,Tierra del Fuego,2019,162.704405861752,0.425065882442806
AR-T,Tucumán,2019,73.877541452279,0.54531012507554
AR-B,Buenos Aires,2020,103.433119961087,0.447431305614117
AR-C,CABA,2020,145.486554739748,0.613661319547587
AR-K,Catamarca,2020,80.9631388273584,0.467323153037439
AR-H,Chaco,2020,65.6929323049987,0.424333355856824
AR-U,Chubut,2020,145.725263343599,0.491684849052079
AR-W,Corrientes,2020,82.7066407121132,0.479680659634466
AR-X,Córdoba,2020,85.9924909580816,0.571051388125476
AR-E,Entre Ríos,2020,89.6235426144905,0.461542618003604
AR-P,Formosa,2020,77.0026859779414,0.297669019072855
AR-Y,Jujuy,2020,69.5822800169719,0.467603313349503
AR-L,La Pampa,2020,122.713551307629,0.513041088080792
AR-F,La Rioja,2020,79.6610782293539,0.508174810963218
AR-M,Mendoza,2020,82.3144103807221,0.521905534237905
AR-N,Misiones,2020,73.4850366366932,0.506974416091542
AR-Q,Neuquén,2020,125.652587186772,0.495667577257982
AR-R,Río Negro,2020,115.107591203601,0.495361120734248
AR-A,Salta,2020,71.631072412812,0.519810187656552
AR-J,San Juan,2020,76.6713674450099,0.489949079282373
AR-D,San Luis,2020,98.0308201898566,0.486744667189841
AR-Z,Santa Cruz,2020,128.711832812234,0.505499995287065
AR-S,Santa Fe,2020,107.110685832921,0.553513055650556
AR-T,Tucumán,2020,68.4842865152493,0.416149445275682
AR-B,Buenos Aires,2021,102.08767957949,0.553001739222342
AR-C,CABA,2021,160.375703088471,0.738072556238179
AR-K,Catamarca,2021,73.5670689400672,0.53176652892562
AR-H,Chaco,2021,63.5138829459894,0.467882981677279
AR-U,Chubut,2021,136.291843505229,0.550176215434665
AR-W,Corrientes,2021,70.5288609126151,0.531109262689762
AR-X,Córdoba,2021,90.3201542259323,0.551225058853107
AR-E,Entre Ríos,2021,91.9043676865004,0.526204813706036
AR-P,Formosa,2021,72.8194996682204,0.322442957264056
AR-Y,Jujuy,2021,62.7411054491229,0.545447378062637
AR-L,La Pampa,2021,110.425108291717,0.510243597751405
AR-F,La Rioja,2021,68.2320212593162,0.552102099423862
AR-M,Mendoza,2021,77.286815917294,0.55917192648168
AR-N,Misiones,2021,78.2035700174929,0.505917615264925
AR-Q,Neuquén,2021,126.388920864761,0.533262696228822
AR-R,Río Negro,2021,112.449247651397,0.541316259073522
AR-A,Salta,2021,71.12754479179,0.534349100426255
AR-J,San Juan,2021,79.9065100669572,0.528034594471705
AR-D,San Luis,2021,87.3735426160548,0.561470986621468
AR-Z,Santa Cruz,2021,138.312741630445,0.568894528789359
AR-S,Santa Fe,2021,101.369825651461,0.623776422469419
AR-G,Santiago del Estero,2021,68.8248787483907,0.461529292831192
AR-V,Tierra del Fuego,2021,166.240839393026,0.538373639548171
AR-T,Tucumán,2021,71.6596414438345,0.499735655851745
AR-B,Buenos Aires,2022,98.6124283127153,0.578214724616047
AR-C,CABA,2022,157.709733160755,0.744842681889242
AR-K,Catamarca,2022,70.8699609483232,0.569264556819462
AR-H,Chaco,2022,68.9672090560421,0.488618611916983
AR-U,Chubut,2022,141.167041960798,0.607051524383464
AR-W,Corrientes,2022,72.1209957627883,0.498900479463054
AR-X,Córdoba,2022,95.1830442969689,0.556499036781304
AR-E,Entre Ríos,2022,91.6649882450469,0.556916357861302
AR-P,Formosa,2022,71.5030392373854,0.339936828806064
AR-Y,Jujuy,2022,67.5943160166965,0.557438471216926
AR-L,La Pampa,2022,106.516229312656,0.592586100226851
AR-F,La Rioja,2022,67.3554542080675,0.564186970796613
AR-M,Mendoza,2022,78.5214543687298,0.583056956609183
AR-N,Misiones,2022,82.0179632994727,0.59327418755353
AR-Q,Neuquén,2022,127.448358189261,0.591469243289327
AR-R,Río Negro,2022,119.719570786204,0.553008958666373
AR-A,Salta,2022,73.3722925999509,0.551783718623253
AR-J,San Juan,2022,95.8280741262215,0.492814640170652
AR-D,San Luis,2022,90.2333151842375,0.581094207506691
AR-Z,Santa Cruz,2022,141.194658715469,0.612825388163672
AR-S,Santa Fe,2022,108.701957001562,0.614249651308888
AR-G,Santiago del Estero,2022,65.776074756169,0.481517609610843
AR-V,Tierra del Fuego,2022,192.659815344539,0.536378987214934
AR-T,Tucumán,2022,66.1018066996544,0.537142738297715
AR-B,Buenos Aires,2023,100.36682550637,0.625285090913218
AR-C,CABA,2023,158.812616885694,0.755180397863053
AR-K,Catamarca,2023,68.9961020872721,0.590939600487809
AR-H,Chaco,2023,58.5091438972247,0.505072093712369
AR-U,Chubut,2023,137.36808831922,0.594071842642048
AR-W,Corrientes,2023,85.0714372721363,0.482550453426459
AR-X,Córdoba,2023,93.2352827638682,0.58584950582228
AR-E,Entre Ríos,2023,83.4386039720649,0.569709047017196
AR-P,Formosa,2023,72.4153588000289,0.421377801386149
AR-Y,Jujuy,2023,66.8452256799162,0.623201610919263
AR-L,La Pampa,2023,113.320354083887,0.623781518559383
AR-F,La Rioja,2023,60.7158920311648,0.585750396298359
AR-M,Mendoza,2023,84.5212163080681,0.588961556488566
AR-N,Misiones,2023,79.3878408265437,0.611541798613656
AR-Q,Neuquén,2023,142.400448114584,0.599055022257527
AR-R,Río Negro,2023,107.884077270178,0.542794587810665
AR-A,Salta,2023,69.32018061782,0.595648503662555
AR-J,San Juan,2023,83.0770859102996,0.515783935461242
AR-D,San Luis,2023,91.5849371531639,0.622474695310886
AR-Z,Santa Cruz,2023,133.233090690595,0.619858350390093
AR-S,Santa Fe,2023,107.667429133088,0.614328936315839
AR-G,Santiago del Estero,2023,59.3214644932959,0.552189933912984
AR-V,Tierra del Fuego,2023,184.754944695917,0.608842741717803
AR-T,Tucumán,2023,67.9588937441448,0.598329293002388
