trimestre,anio,pbi,pbi_desestacionalizado
1q,2004,460369.4422,475394.472
2q,2004,514395.6818,470404.357
3q,2004,481151.9799,493957.1795
4q,2004,484543.6769,500704.7722
1q,2005,493602.5306,515218.8074
2q,2005,581668.2499,526579.6876
3q,2005,514697.7895,530197.263
4q,2005,522255.2001,540228.012
1q,2006,532348.212,554258.225
2q,2006,614076.3926,561518.0894
3q,2006,562978.9656,577040.8698
4q,2006,572794.0466,589380.4327
1q,2007,576846.8857,603139.691
2q,2007,674620.563,616365.1302
3q,2007,610425.694,624528.4712
4q,2007,625876.8679,643736.7181
1q,2008,616720.3571,649706.0718
2q,2008,711405.5005,653304.7403
3q,2008,647087.9597,658164.777
4q,2008,613490.8217,627529.0499
1q,2009,578553.0442,604452.7265
2q,2009,631197.7519,590939.8731
3q,2009,610519.8546,614165.9191
4q,2009,615220.8549,625932.987
1q,2010,611607.3366,644695.014
2q,2010,733730.774,673584.3135
3q,2010,668566.5095,677359.4706
4q,2010,668190.0977,686455.9197
1q,2011,662325.586,702557.8147
2q,2011,766332.9546,709655.9836
3q,2011,711417.3919,715416.5373
4q,2011,703050.4564,715496.0533
1q,2012,672685.9936,707763.3509
2q,2012,730838.2726,683964.5565
3q,2012,703461.6525,705171.1735
4q,2012,706958.0391,717044.8769
1q,2013,677085.5292,716921.1295
2q,2013,776486.6028,721253.0206
3q,2013,721458.9442,725192.4464
4q,2013,706597.345,718261.8247
1q,2014,671066.0466,707568.7706
2q,2014,760576.8683,703292.4513
3q,2014,690879.7983,697239.8184
4q,2014,686701.4706,701123.1435
1q,2015,672749.8114,711412.5841
2q,2015,791235.9655,727819.7947
3q,2015,718281.2654,727487.2307
4q,2015,703681.5442,719228.9771
1q,2016,677652.0891,712816.3313
2q,2016,760703.2802,701217.9065
3q,2016,694382.4758,703848.7529
4q,2016,693173.5493,708028.4037
1q,2017,681444.7661,714227.7205
2q,2017,778401.6764,721980.3068
3q,2017,721120.4269,731120.0534
4q,2017,724592.9216,738231.7104
1q,2018,707324.2681,735527.6622
2q,2018,747428.3,702460.9165
3q,2018,696101.5835,700764.402
4q,2018,678655.6204,690756.7911
1q,2019,665848.7153,691027.6791
2q,2019,751784.4608,697071.5935
3q,2019,683900.8986,697614.7551
4q,2019,671361.1397,687181.1867
1q,2020,632389.3535,656900.3388
2q,2020,609379.9895,560839.9623
3q,2020,614192.4784,624926.1487
4q,2020,642403.3232,655698.6947
1q,2021,654121.6329,678399.5859
2q,2021,723768.2075,676928.579
3q,2021,687658.662,696733.3987
4q,2021,700591.6666,714078.6055
1q,2022,691851.0974,718551.299
2q,2022,773159.6447,728429.7112
3q,2022,727030.1303,734280.5847
4q,2022,711199.4373,721978.7189
1q,2023,701176.2853,726879.748
