"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
"2017","Sri Lanka","LKA","59.46661627"
"2018","Sri Lanka","LKA","62.85118363"
"2019","Sri Lanka","LKA","64.2376376"
"2020","Sri Lanka","LKA","69.17387514"
"2021","Sri Lanka","LKA","64.69094962"
"2022","Sri Lanka","LKA","56.10071621"
"1900","Suecia","SWE","72.44163212"
"1901","Suecia","SWE","74.18862993"
"1902","Suecia","SWE","77.62641422"
"1903","Suecia","SWE","74.20842944"
"1904","Suecia","SWE","70.76287849"
"1905","Suecia","SWE","63.96753832"
"1906","Suecia","SWE","68.29529244"
"1907","Suecia","SWE","74.08414944"
"1908","Suecia","SWE","67.91902556"
"1909","Suecia","SWE","67.50339213"
"1910","Suecia","SWE","66.52987525"
"1911","Suecia","SWE","69.56958633"
"1912","Suecia","SWE","69.29133858"
"1913","Suecia","SWE","75.69398546"
"1914","Suecia","SWE","88.88466654"
"1915","Suecia","SWE","93.61825566"
"1916","Suecia","SWE","103.6939314"
"1917","Suecia","SWE","107.9154486"
"1918","Suecia","SWE","85.64805872"
"1919","Suecia","SWE","85.42970973"
"1920","Suecia","SWE","86.48843931"
"1921","Suecia","SWE","82.10735586"
"1922","Suecia","SWE","83.9889579"
"1923","Suecia","SWE","80.84661194"
"1924","Suecia","SWE","82.99814356"
"1925","Suecia","SWE","87.85016808"
"1926","Suecia","SWE","90.4178448"
"1927","Suecia","SWE","89.69056604"
"1928","Suecia","SWE","89.37134503"
"1929","Suecia","SWE","93.03261026"
"1930","Suecia","SWE","103.8751346"
"1931","Suecia","SWE","111.2388034"
"1932","Suecia","SWE","112.6647667"
"1933","Suecia","SWE","111.3825364"
"1934","Suecia","SWE","111.6821667"
"1935","Suecia","SWE","113.7229987"
"1936","Suecia","SWE","118.6016677"
"1937","Suecia","SWE","115.269962"
"1938","Suecia","SWE","120.3512556"
"1939","Suecia","SWE","126.5880218"
"1940","Suecia","SWE","116.6742047"
"1941","Suecia","SWE","109.4738376"
"1942","Suecia","SWE","110.6604188"
"1943","Suecia","SWE","116.6966697"
"1944","Suecia","SWE","109.4259488"
"1945","Suecia","SWE","118.1189687"
"1946","Suecia","SWE","121.0328133"
"1947","Suecia","SWE","119.6868836"
"1948","Suecia","SWE","117.3196369"
"1949","Suecia","SWE","125.8794282"
"1950","Suecia","SWE","135.1364952"
"1951","Suecia","SWE","136.989859"
"1952","Suecia","SWE","148.3175954"
"1953","Suecia","SWE","146.5954434"
"1954","Suecia","SWE","148.6394558"
"1955","Suecia","SWE","144.4657403"
"1956","Suecia","SWE","147.5308642"
"1957","Suecia","SWE","148.1792074"
"1958","Suecia","SWE","141.8474072"
"1959","Suecia","SWE","158.1398133"
"1960","Suecia","SWE","156.2916149"
"1961","Suecia","SWE","155.864726"
"1962","Suecia","SWE","166.7919107"
"1963","Suecia","SWE","181.8056354"
"1964","Suecia","SWE","177.4401863"
"1965","Suecia","SWE","169.7587395"
"1966","Suecia","SWE","173.0051608"
"1967","Suecia","SWE","175.3235294"
"1968","Suecia","SWE","175.7558417"
"1969","Suecia","SWE","171.3024873"
"1970","Suecia","SWE","174.1472635"
"1971","Suecia","SWE","169.2910106"
"1972","Suecia","SWE","170.2958094"
"1973","Suecia","SWE","169.4823103"
"1974","Suecia","SWE","166.6064438"
"1975","Suecia","SWE","174.6253669"
"1976","Suecia","SWE","179.3084436"
"1977","Suecia","SWE","168.6461167"
"1978","Suecia","SWE","181.9832851"
"1979","Suecia","SWE","178.9309135"
"1980","Suecia","SWE","182.0259939"
"1981","Suecia","SWE","196.0989691"
"1982","Suecia","SWE","207.8095238"
"1983","Suecia","SWE","207.3205945"
"1984","Suecia","SWE","214.2181296"
"1985","Suecia","SWE","236.8517669"
"1986","Suecia","SWE","228.475901"
"1987","Suecia","SWE","232.2358807"
"1988","Suecia","SWE","244.2902882"
"1989","Suecia","SWE","268.7674396"
"1990","Suecia","SWE","273.7273259"
"1991","Suecia","SWE","246.0270174"
"1992","Suecia","SWE","221.7196005"
"1993","Suecia","SWE","205.4556116"
"1994","Suecia","SWE","202.6761945"
"1995","Suecia","SWE","217.9379843"
"1996","Suecia","SWE","211.532081"
"1997","Suecia","SWE","202.8349171"
"1998","Suecia","SWE","205.3684279"
"1999","Suecia","SWE","224.348959"
"2000","Suecia","SWE","238.0314604"
"2001","Suecia","SWE","253.9313721"
"2002","Suecia","SWE","294.0921209"
"2003","Suecia","SWE","278.3785237"
"2004","Suecia","SWE","268.0353946"
"2005","Suecia","SWE","255.8562954"
"2006","Suecia","SWE","248.5816995"
"2007","Suecia","SWE","236.9773002"
"2008","Suecia","SWE","227.8038406"
"2009","Suecia","SWE","231.4984524"
"2010","Suecia","SWE","224.6299953"
"2011","Suecia","SWE","210.3634455"
"2012","Suecia","SWE","212.5108424"
"2013","Suecia","SWE","210.3909827"
"2014","Suecia","SWE","221.4252202"
"2015","Suecia","SWE","224.3154548"
"2016","Suecia","SWE","236.6039735"
"2017","Suecia","SWE","235.3677631"
"2018","Suecia","SWE","245.4244011"
"2019","Suecia","SWE","255.5263585"
"2020","Suecia","SWE","278.9605988"
"2021","Suecia","SWE","267.0787038"
"2022","Suecia","SWE","261.3522451"
"1900","Suiza","CHE","144.2674714"
"1901","Suiza","CHE","139.3790431"
"1902","Suiza","CHE","152.7627445"
"1903","Suiza","CHE","135.7148245"
"1904","Suiza","CHE","135.2649415"
"1905","Suiza","CHE","129.5686149"
"1906","Suiza","CHE","135.2363927"
"1907","Suiza","CHE","135.3822896"
"1908","Suiza","CHE","128.7992726"
"1909","Suiza","CHE","133.2828844"
"1910","Suiza","CHE","132.1134526"
"1911","Suiza","CHE","134.7168223"
"1912","Suiza","CHE","133.5654873"
"1913","Suiza","CHE","135.0307358"
"1914","Suiza","CHE","144.3147545"
"1915","Suiza","CHE","144.2517675"
"1916","Suiza","CHE","163.9825294"
"1917","Suiza","CHE","176.3189545"
"1918","Suiza","CHE","137.4465438"
"1919","Suiza","CHE","128.0073606"
"1920","Suiza","CHE","133.0195022"
"1921","Suiza","CHE","108.4247505"
"1922","Suiza","CHE","123.9122417"
"1923","Suiza","CHE","123.4546546"
"1924","Suiza","CHE","126.7871388"
"1925","Suiza","CHE","134.2290183"
"1926","Suiza","CHE","135.9775537"
"1927","Suiza","CHE","139.7726219"
"1928","Suiza","CHE","141.2107291"
"1929","Suiza","CHE","142.5087996"
"1930","Suiza","CHE","153.3034609"
"1931","Suiza","CHE","169.9422883"
"1932","Suiza","CHE","173.716476"
"1933","Suiza","CHE","173.4079792"
"1934","Suiza","CHE","163.115948"
"1935","Suiza","CHE","150.5528551"
"1936","Suiza","CHE","149.1636667"
"1937","Suiza","CHE","152.6888552"
"1938","Suiza","CHE","148.0291175"
"1939","Suiza","CHE","148.7621282"
"1940","Suiza","CHE","147.7818946"
"1941","Suiza","CHE","134.344103"
"1942","Suiza","CHE","127.980187"
"1943","Suiza","CHE","129.6575586"
"1944","Suiza","CHE","121.8076286"
"1945","Suiza","CHE","127.3126208"
"1946","Suiza","CHE","146.1282696"
"1947","Suiza","CHE","135.8598442"
"1948","Suiza","CHE","133.6519717"
"1949","Suiza","CHE","136.0291365"
"1950","Suiza","CHE","145.1885464"
"1951","Suiza","CHE","146.8945498"
"1952","Suiza","CHE","159.8125845"
"1953","Suiza","CHE","160.5224053"
"1954","Suiza","CHE","165.9285246"
"1955","Suiza","CHE","167.6987044"
"1956","Suiza","CHE","172.2110658"
"1957","Suiza","CHE","168.4968457"
"1958","Suiza","CHE","161.2293103"
"1959","Suiza","CHE","185.1758616"
"1960","Suiza","CHE","184.6107596"
"1961","Suiza","CHE","185.2264849"
"1962","Suiza","CHE","196.640253"
"1963","Suiza","CHE","212.0510513"
"1964","Suiza","CHE","203.2124334"
"1965","Suiza","CHE","195.0025848"
"1966","Suiza","CHE","200.7199107"
"1967","Suiza","CHE","203.3554171"
"1968","Suiza","CHE","204.0570947"
"1969","Suiza","CHE","198.8737891"
"1970","Suiza","CHE","201.7268818"
"1971","Suiza","CHE","204.0071493"
"1972","Suiza","CHE","208.3558825"
"1973","Suiza","CHE","204.8988667"
"1974","Suiza","CHE","193.6033602"
"1975","Suiza","CHE","189.0003994"
"1976","Suiza","CHE","194.9661886"
"1977","Suiza","CHE","192.1318181"
"1978","Suiza","CHE","210.2121528"
"1979","Suiza","CHE","203.1500301"
"1980","Suiza","CHE","209.5239315"
"1981","Suiza","CHE","228.697608"
"1982","Suiza","CHE","239.4887316"
"1983","Suiza","CHE","237.8711599"
"1984","Suiza","CHE","239.2082673"
"1985","Suiza","CHE","270.0023152"
"1986","Suiza","CHE","267.8940014"
"1987","Suiza","CHE","273.1399567"
"1988","Suiza","CHE","288.8910323"
"1989","Suiza","CHE","320.5579406"
"1990","Suiza","CHE","334.0159938"
"1991","Suiza","CHE","304.068858"
"1992","Suiza","CHE","280.0731066"
"1993","Suiza","CHE","267.8586188"
"1994","Suiza","CHE","261.0186238"
"1995","Suiza","CHE","275.1347211"
"1996","Suiza","CHE","267.7352038"
"1997","Suiza","CHE","259.2297438"
"1998","Suiza","CHE","262.6804036"
"1999","Suiza","CHE","281.8775529"
"2000","Suiza","CHE","301.004079"
"2001","Suiza","CHE","325.217555"
"2002","Suiza","CHE","371.5184845"
"2003","Suiza","CHE","347.1854955"
"2004","Suiza","CHE","333.2358915"
"2005","Suiza","CHE","321.1248551"
"2006","Suiza","CHE","314.5025794"
"2007","Suiza","CHE","304.6596918"
"2008","Suiza","CHE","302.6671893"
"2009","Suiza","CHE","318.3771591"
"2010","Suiza","CHE","301.4727256"
"2011","Suiza","CHE","293.3859921"
"2012","Suiza","CHE","299.372417"
"2013","Suiza","CHE","297.0663715"
"2014","Suiza","CHE","310.0922692"
"2015","Suiza","CHE","304.107271"
"2016","Suiza","CHE","316.0900662"
"2017","Suiza","CHE","313.3781425"
"2018","Suiza","CHE","330.7364894"
"2019","Suiza","CHE","342.3546942"
"2020","Suiza","CHE","371.6778336"
"2021","Suiza","CHE","351.7746771"
"2022","Suiza","CHE","342.0744109"
"1900","Uruguay","URY","73.90355662"
"1901","Uruguay","URY","76.93313004"
"1902","Uruguay","URY","92.70376356"
"1903","Uruguay","URY","84.18955756"
"1904","Uruguay","URY","78.94219426"
"1905","Uruguay","URY","61.08205591"
"1906","Uruguay","URY","68.15263909"
"1907","Uruguay","URY","73.68516503"
"1908","Uruguay","URY","74.71264368"
"1909","Uruguay","URY","73.86363636"
"1910","Uruguay","URY","73.86736704"
"1911","Uruguay","URY","75.36426059"
"1912","Uruguay","URY","83.17531737"
"1913","Uruguay","URY","79.94051553"
"1914","Uruguay","URY","71.68915067"
"1915","Uruguay","URY","68.30400309"
"1916","Uruguay","URY","69.71788106"
"1917","Uruguay","URY","88.10434"
"1918","Uruguay","URY","75.68089627"
"1919","Uruguay","URY","87.17510909"
"1920","Uruguay","URY","64.66763006"
"1921","Uruguay","URY","63.83517079"
"1922","Uruguay","URY","66.77018634"
"1923","Uruguay","URY","66.18380814"
"1924","Uruguay","URY","65.87252475"
"1925","Uruguay","URY","67.36033296"
"1926","Uruguay","URY","71.44203582"
"1927","Uruguay","URY","76.67924528"
"1928","Uruguay","URY","75.67251462"
"1929","Uruguay","URY","73.6675765"
"1930","Uruguay","URY","91.49623251"
"1931","Uruguay","URY","81.76440764"
"1932","Uruguay","URY","79.26612041"
"1933","Uruguay","URY","71.24047124"
"1934","Uruguay","URY","76.570403"
"1935","Uruguay","URY","76.08005083"
"1936","Uruguay","URY","76.81205901"
"1937","Uruguay","URY","75.05703422"
"1938","Uruguay","URY","81.23555692"
"1939","Uruguay","URY","80.49001815"
"1940","Uruguay","URY","75.12437811"
"1941","Uruguay","URY","76.15507943"
"1942","Uruguay","URY","70.84492605"
"1943","Uruguay","URY","70.4020402"
"1944","Uruguay","URY","72.91409782"
"1945","Uruguay","URY","78.03543137"
"1946","Uruguay","URY","79.38407746"
"1947","Uruguay","URY","70.96893491"
"1948","Uruguay","URY","69.91161013"
"1949","Uruguay","URY","81.18085768"
"1950","Uruguay","URY","88.25009435"
"1951","Uruguay","URY","93.34652486"
"1952","Uruguay","URY","97.79225961"
"1953","Uruguay","URY","103.3595057"
"1954","Uruguay","URY","104.2202066"
"1955","Uruguay","URY","97.93962626"
"1956","Uruguay","URY","97.6377018"
"1957","Uruguay","URY","93.92303274"
"1958","Uruguay","URY","85.74259606"
"1959","Uruguay","URY","89.17883649"
"1960","Uruguay","URY","86.2543731"
"1961","Uruguay","URY","82.83390411"
"1962","Uruguay","URY","82.85998453"
"1963","Uruguay","URY","85.68142611"
"1964","Uruguay","URY","79.37751429"
"1965","Uruguay","URY","73.83554899"
"1966","Uruguay","URY","76.34974196"
"1967","Uruguay","URY","71.61764706"
"1968","Uruguay","URY","70.12875536"
"1969","Uruguay","URY","69.00240706"
"1970","Uruguay","URY","68.99218146"
"1971","Uruguay","URY","66.09181038"
"1972","Uruguay","URY","62.80197206"
"1973","Uruguay","URY","62.13064376"
"1974","Uruguay","URY","61.54772659"
"1975","Uruguay","URY","66.1439827"
"1976","Uruguay","URY","69.73062382"
"1977","Uruguay","URY","67.6186159"
"1978","Uruguay","URY","76.20540019"
"1979","Uruguay","URY","75.99511972"
"1980","Uruguay","URY","80.62691131"
"1981","Uruguay","URY","87.77731959"
"1982","Uruguay","URY","82.92640693"
"1983","Uruguay","URY","76.00849257"
"1984","Uruguay","URY","74.38540171"
"1985","Uruguay","URY","81.69802662"
"1986","Uruguay","URY","83.61267911"
"1987","Uruguay","URY","88.58420012"
"1988","Uruguay","URY","91.21309143"
"1989","Uruguay","URY","99.15327624"
"1990","Uruguay","URY","100.4973669"
"1991","Uruguay","URY","94.31951983"
"1992","Uruguay","URY","92.52029567"
"1993","Uruguay","URY","89.59455909"
"1994","Uruguay","URY","90.95722511"
"1995","Uruguay","URY","92.40872052"
"1996","Uruguay","URY","92.3073517"
"1997","Uruguay","URY","89.83764095"
"1998","Uruguay","URY","90.50677294"
"1999","Uruguay","URY","91.56886999"
"2000","Uruguay","URY","90.82132306"
"2001","Uruguay","URY","91.29751243"
"2002","Uruguay","URY","94.25212757"
"2003","Uruguay","URY","87.39450145"
"2004","Uruguay","URY","84.29189639"
"2005","Uruguay","URY","83.14238787"
"2006","Uruguay","URY","80.19042448"
"2007","Uruguay","URY","78.11556441"
"2008","Uruguay","URY","80.28986241"
"2009","Uruguay","URY","87.39117845"
"2010","Uruguay","URY","86.48912544"
"2011","Uruguay","URY","86.04209369"
"2012","Uruguay","URY","91.20873514"
"2013","Uruguay","URY","93.53897248"
"2014","Uruguay","URY","99.88010217"
"2015","Uruguay","URY","98.67705876"
"2016","Uruguay","URY","103.1417219"
"2017","Uruguay","URY","103.7353966"
"2018","Uruguay","URY","108.7810908"
"2019","Uruguay","URY","112.1012001"
"2020","Uruguay","URY","117.6222042"
"2021","Uruguay","URY","111.9621583"
"2022","Uruguay","URY","112.3211055"
"1900","Venezuela","VEN","40.27929304"
"1901","Venezuela","VEN","38.53191026"
"1902","Venezuela","VEN","38.21288386"
"1903","Venezuela","VEN","37.09373034"
"1904","Venezuela","VEN","35.15532835"
"1905","Venezuela","VEN","32.60595131"
"1906","Venezuela","VEN","31.88302425"
"1907","Venezuela","VEN","31.39281828"
"1908","Venezuela","VEN","29.04443301"
"1909","Venezuela","VEN","28.71438263"
"1910","Venezuela","VEN","27.47866054"
"1911","Venezuela","VEN","26.72919109"
"1912","Venezuela","VEN","27.51084686"
"1913","Venezuela","VEN","28.91606081"
"1914","Venezuela","VEN","38.38115143"
"1915","Venezuela","VEN","39.06401083"
"1916","Venezuela","VEN","38.23827887"
"1917","Venezuela","VEN","44.11963121"
"1918","Venezuela","VEN","39.38574464"
"1919","Venezuela","VEN","37.22253842"
"1920","Venezuela","VEN","34.375"
"1921","Venezuela","VEN","33.36345563"
"1922","Venezuela","VEN","34.50655625"
"1923","Venezuela","VEN","33.73571544"
"1924","Venezuela","VEN","33.61695545"
"1925","Venezuela","VEN","36.64158796"
"1926","Venezuela","VEN","38.06157713"
"1927","Venezuela","VEN","37.14716981"
"1928","Venezuela","VEN","41.9005848"
"1929","Venezuela","VEN","42.26404252"
"1930","Venezuela","VEN","44.94848531"
"1931","Venezuela","VEN","49.07892513"
"1932","Venezuela","VEN","46.93623085"
"1933","Venezuela","VEN","50.64102564"
"1934","Venezuela","VEN","49.5676293"
"1935","Venezuela","VEN","57.41740788"
"1936","Venezuela","VEN","62.60423348"
"1937","Venezuela","VEN","59.08745247"
"1938","Venezuela","VEN","66.07610538"
"1939","Venezuela","VEN","68.63278887"
"1940","Venezuela","VEN","71.89808533"
"1941","Venezuela","VEN","67.55574989"
"1942","Venezuela","VEN","58.58837311"
"1943","Venezuela","VEN","66.35163516"
"1944","Venezuela","VEN","65.3377175"
"1945","Venezuela","VEN","83.65259974"
"1946","Venezuela","VEN","89.49704142"
"1947","Venezuela","VEN","80.12820513"
"1948","Venezuela","VEN","92.11657907"
"1949","Venezuela","VEN","97.30267247"
"1950","Venezuela","VEN","106.453642"
"1951","Venezuela","VEN","111.7858026"
"1952","Venezuela","VEN","123.8063572"
"1953","Venezuela","VEN","122.2808598"
"1954","Venezuela","VEN","126.2282691"
"1955","Venezuela","VEN","125.7906085"
"1956","Venezuela","VEN","132.1937322"
"1957","Venezuela","VEN","136.9672602"
"1958","Venezuela","VEN","127.8762523"
"1959","Venezuela","VEN","144.5774479"
"1960","Venezuela","VEN","136.7340029"
"1961","Venezuela","VEN","130.8968322"
"1962","Venezuela","VEN","141.9825395"
"1963","Venezuela","VEN","152.1794135"
"1964","Venezuela","VEN","148.4120263"
"1965","Venezuela","VEN","141.2801576"
"1966","Venezuela","VEN","140.6709012"
"1967","Venezuela","VEN","139.7058824"
"1968","Venezuela","VEN","138.4835479"
"1969","Venezuela","VEN","130.6499064"
"1970","Venezuela","VEN","131.3600825"
"1971","Venezuela","VEN","126.5683579"
"1972","Venezuela","VEN","124.3631882"
"1973","Venezuela","VEN","122.4489796"
"1974","Venezuela","VEN","120.0165613"
"1975","Venezuela","VEN","126.5641897"
"1976","Venezuela","VEN","135.2709515"
"1977","Venezuela","VEN","133.6733152"
"1978","Venezuela","VEN","140.4773385"
"1979","Venezuela","VEN","130.6618881"
"1980","Venezuela","VEN","124.3883792"
"1981","Venezuela","VEN","129.8969072"
"1982","Venezuela","VEN","133.5324675"
"1983","Venezuela","VEN","120.2123142"
"1984","Venezuela","VEN","114.8686323"
"1985","Venezuela","VEN","121.7989904"
"1986","Venezuela","VEN","119.4181502"
"1987","Venezuela","VEN","119.1953924"
"1988","Venezuela","VEN","127.2500889"
"1989","Venezuela","VEN","122.6787261"
"1990","Venezuela","VEN","129.2276185"
"1991","Venezuela","VEN","127.1787689"
"1992","Venezuela","VEN","121.4764394"
"1993","Venezuela","VEN","113.6701125"
"1994","Venezuela","VEN","104.1108463"
"1995","Venezuela","VEN","110.4099186"
"1996","Venezuela","VEN","103.6206663"
"1997","Venezuela","VEN","101.1661681"
"1998","Venezuela","VEN","97.05709702"
"1999","Venezuela","VEN","93.76897983"
"2000","Venezuela","VEN","97.38092123"
"2001","Venezuela","VEN","104.732324"
"2002","Venezuela","VEN","106.2942592"
"2003","Venezuela","VEN","89.60633191"
"2004","Venezuela","VEN","96.68495778"
"2005","Venezuela","VEN","97.39433296"
"2006","Venezuela","VEN","98.56409322"
"2007","Venezuela","VEN","97.17270437"
"2008","Venezuela","VEN","97.29370587"
"2009","Venezuela","VEN","99.50354293"
"2010","Venezuela","VEN","90.12427189"
"2011","Venezuela","VEN","88.7166925"
"2012","Venezuela","VEN","94.64258381"
"2013","Venezuela","VEN","107.8297187"
"2014","Venezuela","VEN","105.9114841"
"2015","Venezuela","VEN","96.41062455"
"2016","Venezuela","VEN","80.63046358"
"2017","Venezuela","VEN","67.07566264"
"2018","Venezuela","VEN","57.71572275"
"2019","Venezuela","VEN","44.7033963"
"2020","Venezuela","VEN","34.92949637"
"2021","Venezuela","VEN","32.52535166"
"2022","Venezuela","VEN","34.53376791"
