geocodigoFundar,geonombreFundar,anio,pbi_precios_constantes_base1900,pbi_per_capita_precios_constantes_base1900,poblacion_base1900
ARG,Argentina,1900,100.0,100.0,100.0
ARG,Argentina,1901,108.4562334,105.4671672,102.8341202
ARG,Argentina,1902,106.270557,100.4936184,105.7485627
ARG,Argentina,1903,121.4748011,111.7054819,108.7456041
ARG,Argentina,1904,134.4297082,120.2115811,111.8275852
ARG,Argentina,1905,152.2758621,132.4173473,114.9969133
ARG,Argentina,1906,159.9363395,132.9120496,120.3324605
ARG,Argentina,1907,163.3103448,129.6983005,125.9155627
ARG,Argentina,1908,179.3103448,136.0909738,131.7577058
ARG,Argentina,1909,188.1591512,136.4748758,137.8709086
ARG,Argentina,1910,201.8461538,139.9107959,144.2677475
ARG,Argentina,1911,205.4748011,136.9520352,150.0341347
ARG,Argentina,1912,222.2599469,142.4460142,156.0310046
ARG,Argentina,1913,224.5729443,138.3966894,162.2675696
ARG,Argentina,1914,201.3156499,119.295752,168.7534103
ARG,Argentina,1915,202.3766578,115.3153269,175.4984903
ARG,Argentina,1916,196.5517241,110.0932827,178.5319861
ARG,Argentina,1917,180.6259947,99.45384171,181.617916
ARG,Argentina,1918,213.7400531,115.6870038,184.7571862
ARG,Argentina,1919,221.602122,117.9043759,187.9507188
ARG,Argentina,1920,237.729443,124.3358393,191.1994517
ARG,Argentina,1921,243.8090186,123.746215,197.0234149
ARG,Argentina,1922,263.3103448,129.6936999,203.0247769
ARG,Argentina,1923,292.3183024,139.7255302,209.2089412
ARG,Argentina,1924,315.1193634,146.1718183,215.581476
ARG,Argentina,1925,313.8037135,141.2587757,222.1481192
ARG,Argentina,1926,328.933687,144.1150361,228.2438362
ARG,Argentina,1927,352.265252,150.2153556,234.5068189
ARG,Argentina,1928,374.0795756,155.2573267,240.9416571
ARG,Argentina,1929,391.3209549,158.0755838,247.5530664
ARG,Argentina,1930,375.1299735,147.4881196,254.345892
ARG,Argentina,1931,349.0928382,134.7352745,259.0953553
ARG,Argentina,1932,337.5278515,127.8836689,263.9335064
ARG,Argentina,1933,353.3899204,131.4391466,268.8620016
ARG,Argentina,1934,381.2838196,139.2143642,273.8825277
ARG,Argentina,1935,397.867374,142.6064275,278.9968033
ARG,Argentina,1936,401.1777188,141.5711503,283.3753331
ARG,Argentina,1937,430.2493369,149.48422,287.8225788
ARG,Argentina,1938,431.5755968,147.6281588,292.3396189
ARG,Argentina,1939,448.0954907,150.9107164,296.9275486
ARG,Argentina,1940,455.3633952,150.9888257,301.5874805
ARG,Argentina,1941,479.1618037,156.4414171,306.2883299
ARG,Argentina,1942,484.4456233,155.7390231,311.0624515
ARG,Argentina,1943,481.1458886,152.304259,315.9109874
ARG,Argentina,1944,535.3421751,166.8589812,320.8350976
ARG,Argentina,1945,518.1538462,159.0229164,325.8359599
ARG,Argentina,1946,564.4244032,169.2922028,333.4024804
ARG,Argentina,1947,627.204244,183.852842,341.1447096
ARG,Argentina,1948,661.5702918,189.5254514,349.0667279
ARG,Argentina,1949,652.9867374,182.8210047,357.1727102
ARG,Argentina,1950,660.9124668,180.8405672,365.4669287
