pais,iso3,pbi_per_capita_usd,precios_eeuu100,geocodigoFundar,geonombreFundar
Serbia,SER,6293,37.98227681,SER,Yugoslavia
Sierra Leona,SLE,484,30.40172299,SLE,Sierra Leona
Singapur,SGP,61165,64.15843661,SGP,Singapur
Eslovaquia,SVK,17585,56.79732837,SVK,Eslovaquia
Somalia,SOM,377,35.66810225,SOM,Somalia
Sudafrica,ZAF,6734,48.19863808,ZAF,Sudáfrica
Espana,ESP,28185,71.18268114,ESP,España
Sri Lanka,LKA,4388,32.39835916,LKA,Sri Lanka
Sudan,SUD,3189,22.94569778,SDN,Sudán
Suecia,SWE,53792,102.234352,SWE,Suecia
Suiza,CHE,82254,119.9020781,CHE,Suiza
Tayikistan,TJK,844,26.08945434,TJK,Tayikistán
Tanzania,TZA,976,39.71015799,TZA,Tanzanía
Tailandia,THA,6437,37.8455733,THA,Tailandia
Togo,TGO,814,41.18400274,TGO,Togo
Tunez,TUN,3570,32.82516114,TUN,Túnez
Turquia,TUR,10464,37.63690228,TUR,Turquía
Turkmenistan,TKM,6355,46.47374228,TKM,Turkmenistán
Uganda,UGA,766,35.18497433,UGA,Uganda
Ucrania,UKR,2638,22.2445249,UKR,Ucrania
Emiratos Arabes Unidos,ARE,43064,60.49807985,ARE,Emiratos Árabes Unidos
Reino Unido,GBR,40623,87.90138427,GBR,Reino Unido
Estados Unidos,USA,59908,100.0,USA,Estados Unidos
Uruguay,URY,18995,81.2299108,URY,Uruguay
Uzbekistan,UZB,1917,28.66376166,UZB,Uzbekistán
Vietnam,VNM,2992,33.05905109,VNM,Vietnam
Palestina,PSE,3620,56.54576752,PSE,Palestina
Zambia,ZMB,1496,44.04201479,ZMB,Zambia
Zimbabwe,ZWE,1192,51.12431645,ZWE,Zimbabwe
