anio,pbi_per_capita_pconst2004
1900,4405.80868
1901,4646.681606
1902,4427.55656
1903,4921.529818
1904,5296.292275
1905,5834.054981
1906,5855.850617
1907,5714.258981
1908,5995.907936
1909,6012.821922
1910,6164.201991
1911,6033.844656
1912,6275.898858
1913,6097.493355
1914,5255.942597
1915,5080.572682
1916,4850.499404
1917,4381.745991
1918,5096.948055
1919,5194.641227
1920,5477.999198
1921,5452.02148
1922,5714.056287
1923,6156.03954
1924,6440.050657
1925,6223.591402
1926,6349.432771
1927,6618.201177
1928,6840.340774
1929,6964.507791
1930,6498.044377
1931,5936.17842
1932,5634.309785
1933,5790.957331
1934,6133.518543
1935,6282.96636
1936,6237.354029
1937,6585.988739
1938,6504.214235
1939,6648.837442
1940,6652.278788
1941,6892.509534
1942,6861.5634
1943,6710.234264
1944,7351.487476
1945,7006.245454
1946,7458.690565
1947,8100.204472
1948,8350.12879
1949,8054.743694
1950,7967.489408
1951,8103.805777
1952,7541.123325
1953,7786.658441
1954,7955.485246
1955,8361.166371
1956,8440.188559
1957,8723.929821
1958,9100.438663
1959,8372.21639
1960,8884.867082
1961,9363.726673
1962,9070.839905
1963,8719.421326
1964,9471.752328
1965,10184.74126
1966,10101.57142
1967,10223.00701
1968,10512.67084
1969,11246.21657
1970,11672.51611
1971,11916.69804
1972,11960.14794
1973,12197.25234
1974,12640.81923
1975,12362.64238
1976,12170.13869
1977,12752.70706
1978,12158.99061
1979,12810.31477
1980,12812.41348
1981,11956.41143
1982,11379.20949
1983,11674.75169
1984,11726.32057
1985,10756.7935
1986,11342.492
1987,11474.75842
1988,11110.90291
1989,10192.9784
1990,9839.514277
1991,10731.905
1992,11625.79646
1993,12120.82846
1994,12670.83871
1995,12169.33052
1996,12674.21146
1997,13545.65316
1998,13925.44098
1999,13305.02365
2000,13064.91636
2001,12382.95176
2002,10898.16568
2003,11729.24074
2004,12656.44233
2005,13634.71404
2006,14580.03912
2007,15729.50309
2008,16198.9405
2009,15083.08091
2010,16439.0564
2011,17226.27072
2012,16856.71822
2013,17070.0712
2014,16459.20496
2015,16727.43474
2016,16207.20083
2017,16468.02046
2018,15891.66577
2019,15425.98292
2020,13764.56241
2021,15096.13529
2022,15698.33992
