"tipo","anio","destino","inversion_i_d","unidad_medida","share"
"Empresas","2023","Erogaciones en personal","255384.2","millones de pesos corrientes","52.7628123533773"
"Empresas","2023","Otras erogaciones corrientes","201840.7","millones de pesos corrientes","41.7006337094242"
"Empresas","2023","Erogaciones en inmuebles y construcciones","7665","millones de pesos corrientes","1.58360210494086"
"Empresas","2023","Erogaciones en equipamiento y rodados","15462.2","millones de pesos corrientes","3.19451695590562"
"Empresas","2023","Otras erogaciones de capital","3671","millones de pesos corrientes","0.758434876351976"
"Entidades sin fines de lucro","2023","Erogaciones en personal","9221.7","millones de pesos corrientes","51.9403640787636"
"Entidades sin fines de lucro","2023","Otras erogaciones corrientes","8019","millones de pesos corrientes","45.1662686432659"
"Entidades sin fines de lucro","2023","Erogaciones en inmuebles y construcciones","219.9","millones de pesos corrientes","1.23856621457216"
"Entidades sin fines de lucro","2023","Erogaciones en equipamiento y rodados","268.5","millones de pesos corrientes","1.5123011760465"
"Entidades sin fines de lucro","2023","Otras erogaciones de capital","25.3","millones de pesos corrientes","0.142499887351868"
"Organismos públicos","2023","Erogaciones en personal","315947.1","millones de pesos corrientes","74.7450494996803"
"Organismos públicos","2023","Otras erogaciones corrientes","36361.1","millones de pesos corrientes","8.60211161730184"
"Organismos públicos","2023","Erogaciones en inmuebles y construcciones","46135.2","millones de pesos corrientes","10.9144151273351"
"Organismos públicos","2023","Erogaciones en equipamiento y rodados","20187.5","millones de pesos corrientes","4.77584914302045"
"Organismos públicos","2023","Otras erogaciones de capital","4068.8","millones de pesos corrientes","0.96257461266237"
"Nacional (total)","2023","Erogaciones en personal","766926.2","millones de pesos corrientes","66.6566309957086"
"Nacional (total)","2023","Otras erogaciones corrientes","260946.8","millones de pesos corrientes","22.6799326416427"
"Nacional (total)","2023","Erogaciones en inmuebles y construcciones","61155.4","millones de pesos corrientes","5.31526101363464"
"Nacional (total)","2023","Erogaciones en equipamiento y rodados","52712.3","millones de pesos corrientes","4.58143734043131"
"Nacional (total)","2023","Otras erogaciones de capital","8821.8","millones de pesos corrientes","0.766738008582758"
"Universidades privadas","2023","Erogaciones en personal","11225.9","millones de pesos corrientes","75.3436333861312"
"Universidades privadas","2023","Otras erogaciones corrientes","2051.2","millones de pesos corrientes","13.76681253188"
"Universidades privadas","2023","Erogaciones en inmuebles y construcciones","838.9","millones de pesos corrientes","5.63035249268437"
"Universidades privadas","2023","Erogaciones en equipamiento y rodados","661.1","millones de pesos corrientes","4.43703186662729"
"Universidades privadas","2023","Otras erogaciones de capital","122.5","millones de pesos corrientes","0.822169722677119"
"Universidades públicas","2023","Erogaciones en personal","175147.4","millones de pesos corrientes","82.9352555594437"
"Universidades públicas","2023","Otras erogaciones corrientes","12674.7","millones de pesos corrientes","6.00168477316409"
"Universidades públicas","2023","Erogaciones en inmuebles y construcciones","6296.4","millones de pesos corrientes","2.98145186913697"
"Universidades públicas","2023","Erogaciones en equipamiento y rodados","16133","millones de pesos corrientes","7.63924830137647"
"Universidades públicas","2023","Otras erogaciones de capital","934.2","millones de pesos corrientes","0.442359496878813"
