geocodigoFundar,geonombreFundar,anio,valor
ARG,Argentina,1990,1634
ARG,Argentina,1991,1607
ARG,Argentina,1992,1586
ARG,Argentina,1993,1761
ARG,Argentina,1994,2047
ARG,Argentina,1995,2226
ARG,Argentina,1996,4075
ARG,Argentina,1997,4671
ARG,Argentina,1998,4676
ARG,Argentina,1999,5047
ARG,Argentina,2000,5496
ARG,Argentina,2001,5664
ARG,Argentina,2002,6093
ARG,Argentina,2003,6203
ARG,Argentina,2004,6485
ARG,Argentina,2005,6951
ARG,Argentina,2006,7739
ARG,Argentina,2007,8058
ARG,Argentina,2008,8975
ARG,Argentina,2009,10078
ARG,Argentina,2010,10695
ARG,Argentina,2011,11627
ARG,Argentina,2012,12134
ARG,Argentina,2013,12563
ARG,Argentina,2014,13486
ARG,Argentina,2015,13791
ARG,Argentina,2016,14249
ARG,Argentina,2017,14657
ARG,Argentina,2018,15562
ARG,Argentina,2019,15763
ARG,Argentina,2020,17825
ARG,Argentina,2021,18063
ARG,Argentina,2022,17121
BRB,Barbados,1990,24
BRB,Barbados,1991,23
BRB,Barbados,1992,26
BRB,Barbados,1993,38
BRB,Barbados,1994,20
BRB,Barbados,1995,33
BRB,Barbados,1996,44
BRB,Barbados,1997,40
BRB,Barbados,1998,44
BRB,Barbados,1999,41
BRB,Barbados,2000,39
BRB,Barbados,2001,67
BRB,Barbados,2002,60
BRB,Barbados,2003,72
BRB,Barbados,2004,102
BRB,Barbados,2005,95
BRB,Barbados,2006,90
BRB,Barbados,2007,89
BRB,Barbados,2008,96
BRB,Barbados,2009,97
BRB,Barbados,2010,101
BRB,Barbados,2011,129
BRB,Barbados,2012,150
BRB,Barbados,2013,147
BRB,Barbados,2014,141
BRB,Barbados,2015,151
BRB,Barbados,2016,152
BRB,Barbados,2017,138
BRB,Barbados,2018,143
BRB,Barbados,2019,157
BRB,Barbados,2020,172
BRB,Barbados,2021,210
BRB,Barbados,2022,250
BOL,Bolivia,1990,16
BOL,Bolivia,1991,18
BOL,Bolivia,1992,13
BOL,Bolivia,1993,24
BOL,Bolivia,1994,30
BOL,Bolivia,1995,34
BOL,Bolivia,1996,65
BOL,Bolivia,1997,94
BOL,Bolivia,1998,100
BOL,Bolivia,1999,119
BOL,Bolivia,2000,71
BOL,Bolivia,2001,87
BOL,Bolivia,2002,94
BOL,Bolivia,2003,125
BOL,Bolivia,2004,137
BOL,Bolivia,2005,151
BOL,Bolivia,2006,195
BOL,Bolivia,2007,232
BOL,Bolivia,2008,429
BOL,Bolivia,2009,253
BOL,Bolivia,2010,246
BOL,Bolivia,2011,257
BOL,Bolivia,2012,252
BOL,Bolivia,2013,288
BOL,Bolivia,2014,309
BOL,Bolivia,2015,335
BOL,Bolivia,2016,362
BOL,Bolivia,2017,315
BOL,Bolivia,2018,402
BOL,Bolivia,2019,454
BOL,Bolivia,2020,542
BOL,Bolivia,2021,617
BOL,Bolivia,2022,627
BRA,Brasil,1990,2892
BRA,Brasil,1991,3181
BRA,Brasil,1992,3621
BRA,Brasil,1993,3944
BRA,Brasil,1994,4371
BRA,Brasil,1995,5102
BRA,Brasil,1996,8739
BRA,Brasil,1997,10714
BRA,Brasil,1998,11708
BRA,Brasil,1999,12784
BRA,Brasil,2000,14881
BRA,Brasil,2001,15818
BRA,Brasil,2002,18483
BRA,Brasil,2003,20327
BRA,Brasil,2004,23160
BRA,Brasil,2005,26180
BRA,Brasil,2006,33949
BRA,Brasil,2007,36687
BRA,Brasil,2008,42117
BRA,Brasil,2009,46601
BRA,Brasil,2010,50402
BRA,Brasil,2011,54865
BRA,Brasil,2012,60428
BRA,Brasil,2013,64866
BRA,Brasil,2014,68372
BRA,Brasil,2015,71633
BRA,Brasil,2016,76038
BRA,Brasil,2017,80820
BRA,Brasil,2018,86387
BRA,Brasil,2019,91041
BRA,Brasil,2020,97776
BRA,Brasil,2021,103280
BRA,Brasil,2022,95587
CAN,Canadá,1990,28606
CAN,Canadá,1991,28667
CAN,Canadá,1992,29988
CAN,Canadá,1993,32753
CAN,Canadá,1994,34994
CAN,Canadá,1995,35127
CAN,Canadá,1996,42278
CAN,Canadá,1997,42454
CAN,Canadá,1998,41229
CAN,Canadá,1999,41286
CAN,Canadá,2000,43612
CAN,Canadá,2001,43172
CAN,Canadá,2002,47425
CAN,Canadá,2003,54103
CAN,Canadá,2004,60227
CAN,Canadá,2005,69537
CAN,Canadá,2006,73576
CAN,Canadá,2007,77680
CAN,Canadá,2008,80609
CAN,Canadá,2009,86615
CAN,Canadá,2010,89782
CAN,Canadá,2011,92551
CAN,Canadá,2012,99246
CAN,Canadá,2013,100955
CAN,Canadá,2014,104583
CAN,Canadá,2015,105898
CAN,Canadá,2016,108998
CAN,Canadá,2017,114912
CAN,Canadá,2018,118440
CAN,Canadá,2019,121608
CAN,Canadá,2020,124892
CAN,Canadá,2021,133668
CHL,Chile,1990,762
CHL,Chile,1991,774
CHL,Chile,1992,815
CHL,Chile,1993,918
CHL,Chile,1994,968
CHL,Chile,1995,1066
CHL,Chile,1996,1752
CHL,Chile,1997,1977
CHL,Chile,1998,1902
CHL,Chile,1999,2121
CHL,Chile,2000,2258
CHL,Chile,2001,2376
CHL,Chile,2002,2920
CHL,Chile,2003,3254
CHL,Chile,2004,3575
CHL,Chile,2005,4015
CHL,Chile,2006,4977
CHL,Chile,2007,5340
CHL,Chile,2008,6034
CHL,Chile,2009,6696
CHL,Chile,2010,7113
CHL,Chile,2011,7824
CHL,Chile,2012,8907
CHL,Chile,2013,9395
CHL,Chile,2014,11102
CHL,Chile,2015,11940
CHL,Chile,2016,13648
CHL,Chile,2017,13986
CHL,Chile,2018,15442
CHL,Chile,2019,16506
CHL,Chile,2020,18927
CHL,Chile,2021,20618
CHL,Chile,2022,19555
COL,Colombia,1990,155
COL,Colombia,1991,119
COL,Colombia,1992,145
COL,Colombia,1993,184
COL,Colombia,1994,226
COL,Colombia,1995,257
COL,Colombia,1996,558
COL,Colombia,1997,656
COL,Colombia,1998,618
COL,Colombia,1999,742
COL,Colombia,2000,869
COL,Colombia,2001,845
COL,Colombia,2002,1000
COL,Colombia,2003,1137
COL,Colombia,2004,1311
COL,Colombia,2005,1512
COL,Colombia,2006,2124
COL,Colombia,2007,2541
COL,Colombia,2008,3630
COL,Colombia,2009,4219
COL,Colombia,2010,4910
COL,Colombia,2011,5635
COL,Colombia,2012,6645
COL,Colombia,2013,7637
COL,Colombia,2014,8490
COL,Colombia,2015,9403
COL,Colombia,2016,10932
COL,Colombia,2017,12192
COL,Colombia,2018,13579
COL,Colombia,2019,15469
COL,Colombia,2020,17108
COL,Colombia,2021,18156
COL,Colombia,2022,17673
CRI,Costa Rica,1990,56
CRI,Costa Rica,1991,70
CRI,Costa Rica,1992,70
CRI,Costa Rica,1993,86
CRI,Costa Rica,1994,91
CRI,Costa Rica,1995,95
CRI,Costa Rica,1996,256
CRI,Costa Rica,1997,277
CRI,Costa Rica,1998,254
CRI,Costa Rica,1999,230
CRI,Costa Rica,2000,228
CRI,Costa Rica,2001,283
CRI,Costa Rica,2002,301
CRI,Costa Rica,2003,308
CRI,Costa Rica,2004,412
CRI,Costa Rica,2005,445
CRI,Costa Rica,2006,459
CRI,Costa Rica,2007,515
CRI,Costa Rica,2008,524
CRI,Costa Rica,2009,563
CRI,Costa Rica,2010,597
CRI,Costa Rica,2011,640
CRI,Costa Rica,2012,696
CRI,Costa Rica,2013,732
CRI,Costa Rica,2014,891
CRI,Costa Rica,2015,906
CRI,Costa Rica,2016,1035
CRI,Costa Rica,2017,1160
CRI,Costa Rica,2018,1239
CRI,Costa Rica,2019,1448
CRI,Costa Rica,2020,1632
CRI,Costa Rica,2021,1783
CRI,Costa Rica,2022,1754
CUB,Cuba,1990,256
CUB,Cuba,1991,125
CUB,Cuba,1992,150
CUB,Cuba,1993,141
CUB,Cuba,1994,171
CUB,Cuba,1995,223
CUB,Cuba,1996,740
CUB,Cuba,1997,893
CUB,Cuba,1998,1105
CUB,Cuba,1999,1286
CUB,Cuba,2000,1283
CUB,Cuba,2001,1364
CUB,Cuba,2002,1378
CUB,Cuba,2003,1159
CUB,Cuba,2004,1201
CUB,Cuba,2005,1473
CUB,Cuba,2006,1862
CUB,Cuba,2007,1881
CUB,Cuba,2008,1887
CUB,Cuba,2009,2164
CUB,Cuba,2010,2019
CUB,Cuba,2011,2303
CUB,Cuba,2012,2406
CUB,Cuba,2013,2464
CUB,Cuba,2014,2361
CUB,Cuba,2015,2232
CUB,Cuba,2016,2085
CUB,Cuba,2017,2047
CUB,Cuba,2018,2149
CUB,Cuba,2019,2391
CUB,Cuba,2020,2697
CUB,Cuba,2021,2946
CUB,Cuba,2022,2600
ECU,Ecuador,1990,32
ECU,Ecuador,1991,50
ECU,Ecuador,1992,54
ECU,Ecuador,1993,54
ECU,Ecuador,1994,82
ECU,Ecuador,1995,106
ECU,Ecuador,1996,99
ECU,Ecuador,1997,163
ECU,Ecuador,1998,152
ECU,Ecuador,1999,136
ECU,Ecuador,2000,143
ECU,Ecuador,2001,133
ECU,Ecuador,2002,174
ECU,Ecuador,2003,213
ECU,Ecuador,2004,217
ECU,Ecuador,2005,292
ECU,Ecuador,2006,317
ECU,Ecuador,2007,348
ECU,Ecuador,2008,416
ECU,Ecuador,2009,500
ECU,Ecuador,2010,457
ECU,Ecuador,2011,484
ECU,Ecuador,2012,648
ECU,Ecuador,2013,776
ECU,Ecuador,2014,1057
ECU,Ecuador,2015,1699
ECU,Ecuador,2016,2543
ECU,Ecuador,2017,3730
ECU,Ecuador,2018,4727
ECU,Ecuador,2019,5406
ECU,Ecuador,2020,6125
ECU,Ecuador,2021,6279
ECU,Ecuador,2022,6905
SLV,El Salvador,1990,4
SLV,El Salvador,1991,6
SLV,El Salvador,1992,3
SLV,El Salvador,1993,8
SLV,El Salvador,1994,6
SLV,El Salvador,1995,7
SLV,El Salvador,1996,18
SLV,El Salvador,1997,24
SLV,El Salvador,1998,11
SLV,El Salvador,1999,12
SLV,El Salvador,2000,17
SLV,El Salvador,2001,25
SLV,El Salvador,2002,29
SLV,El Salvador,2003,23
SLV,El Salvador,2004,61
SLV,El Salvador,2005,45
SLV,El Salvador,2006,50
SLV,El Salvador,2007,40
SLV,El Salvador,2008,44
SLV,El Salvador,2009,75
SLV,El Salvador,2010,110
SLV,El Salvador,2011,108
SLV,El Salvador,2012,109
SLV,El Salvador,2013,88
SLV,El Salvador,2014,119
SLV,El Salvador,2015,157
SLV,El Salvador,2016,171
SLV,El Salvador,2017,135
SLV,El Salvador,2018,142
SLV,El Salvador,2019,127
SLV,El Salvador,2020,123
SLV,El Salvador,2021,190
SLV,El Salvador,2022,236
ESP,España,1990,11743
ESP,España,1991,12029
ESP,España,1992,13760
ESP,España,1993,15350
ESP,España,1994,16896
ESP,España,1995,18188
ESP,España,1996,23908
ESP,España,1997,26670
ESP,España,1998,27447
ESP,España,1999,28918
ESP,España,2000,30277
ESP,España,2001,32152
ESP,España,2002,34822
ESP,España,2003,38477
ESP,España,2004,42357
ESP,España,2005,48675
ESP,España,2006,53641
ESP,España,2007,57760
ESP,España,2008,61706
ESP,España,2009,68051
ESP,España,2010,72617
ESP,España,2011,78853
ESP,España,2012,84806
ESP,España,2013,88315
ESP,España,2014,90915
ESP,España,2015,91744
ESP,España,2016,94517
ESP,España,2017,97092
ESP,España,2018,100325
ESP,España,2019,106449
ESP,España,2020,116831
ESP,España,2021,125442
ESP,España,2022,122784
USA,Estados Unidos,1990,257720
USA,Estados Unidos,1991,259578
USA,Estados Unidos,1992,259350
USA,Estados Unidos,1993,282444
USA,Estados Unidos,1994,295586
USA,Estados Unidos,1995,306621
USA,Estados Unidos,1996,346757
USA,Estados Unidos,1997,347092
USA,Estados Unidos,1998,343064
USA,Estados Unidos,1999,342396
USA,Estados Unidos,2000,357233
USA,Estados Unidos,2001,358300
USA,Estados Unidos,2002,381199
USA,Estados Unidos,2003,415837
USA,Estados Unidos,2004,449179
USA,Estados Unidos,2005,497929
USA,Estados Unidos,2006,516505
USA,Estados Unidos,2007,522265
USA,Estados Unidos,2008,547663
USA,Estados Unidos,2009,583439
USA,Estados Unidos,2010,601456
USA,Estados Unidos,2011,623400
USA,Estados Unidos,2012,673016
USA,Estados Unidos,2013,689643
USA,Estados Unidos,2014,681689
USA,Estados Unidos,2015,702622
USA,Estados Unidos,2016,710173
USA,Estados Unidos,2017,727147
USA,Estados Unidos,2018,738283
USA,Estados Unidos,2019,730473
USA,Estados Unidos,2020,730260
USA,Estados Unidos,2021,757937
USA,Estados Unidos,2022,724916
GTM,Guatemala,1990,26
GTM,Guatemala,1991,24
GTM,Guatemala,1992,38
GTM,Guatemala,1993,47
GTM,Guatemala,1994,36
GTM,Guatemala,1995,36
GTM,Guatemala,1996,61
GTM,Guatemala,1997,59
GTM,Guatemala,1998,62
GTM,Guatemala,1999,63
GTM,Guatemala,2000,52
GTM,Guatemala,2001,45
GTM,Guatemala,2002,54
GTM,Guatemala,2003,68
GTM,Guatemala,2004,79
GTM,Guatemala,2005,121
GTM,Guatemala,2006,91
