anio,iso3,pais,patentes_de_residentes,geocodigoFundar,geonombreFundar
2022,PRY,Paraguay,11,PRY,Paraguay
2023,PER,Perú,229,PER,Perú
2023,PHL,Filipinas,928,PHL,Filipinas
2023,POL,Polonia,5931,POL,Polonia
2023,PRT,Portugal,1620,PRT,Portugal
2023,QAT,Qatar,180,QAT,Qatar
2023,KOR,Corea del Sur,289749,KOR,Corea del Sur
2023,MDA,Moldavia,47,MDA,Moldavia
2023,ROU,Rumania,1078,ROU,Rumania
2023,RUS,Rusia,23242,RUS,Rusia
2023,RWA,Ruanda,12,RWA,Ruanda
2023,KNA,Saint Kitts y Nevis,7,KNA,Saint Kitts y Nevis
2018,LCA,Santa Lucía,3,LCA,Santa Lucía
2023,VCT,San Vicente y las Granadinas,1,VCT,San Vicente y las Granadinas
2023,WSM,Samoa,56,WSM,Samoa
2023,SMR,San Marino,37,SMR,San Marino
2011,STP,Santo Tomé y Príncipe,3,STP,Santo Tomé y Príncipe
2023,SAU,Arabia Saudita,6496,SAU,Arabia Saudita
2023,SEN,Senegal,22,SEN,Senegal
2023,SRB,Serbia,244,SRB,Serbia
2023,SYC,Seychelles,24,SYC,Seychelles
2019,SLE,Sierra Leona,2,SLE,Sierra Leona
2023,SGP,Singapur,9255,SGP,Singapur
2023,SVK,Eslovaquia,520,SVK,Eslovaquia
2023,SVN,Eslovenia,547,SVN,Eslovenia
1984,SOM,Somalia,1,SOM,Somalia
2023,ZAF,Sudáfrica,1152,ZAF,Sudáfrica
1991,SVU,Unión Soviética,21877,SVU,Unión Soviética
2023,ESP,España,8047,ESP,España
2023,LKA,Sri Lanka,294,LKA,Sri Lanka
2020,SDN,Sudán,157,SDN,Sudán
2023,SWE,Suecia,21294,SWE,Suecia
2023,CHE,Suiza,41631,CHE,Suiza
2023,SYR,Siria,85,SYR,Siria
2022,TJK,Tayikistán,5,TJK,Tayikistán
2023,THA,Tailandia,1298,THA,Tailandia
2023,TGO,Togo,19,TGO,Togo
2016,TON,Tonga,2,TON,Tonga
2023,TTO,Trinidad y Tobago,5,TTO,Trinidad y Tobago
2023,TUN,Túnez,197,TUN,Túnez
2023,TUR,Turquía,10081,TUR,Turquía
