geocodigoFundar,geonombreFundar,anio,funcion,personas_fisicas
ARG,Argentina,2017,Investigadores,84284
ARG,Argentina,2017,Otro Personal de Apoyo,11468
ARG,Argentina,2017,Técnicos y Personal Asimilado,15357
ARG,Argentina,2018,Investigadores,88872
ARG,Argentina,2018,Otro Personal de Apoyo,11497
ARG,Argentina,2018,Técnicos y Personal Asimilado,18052
ARG,Argentina,2019,Investigadores,90656
ARG,Argentina,2019,Otro Personal de Apoyo,11950
ARG,Argentina,2019,Técnicos y Personal Asimilado,19215
ARG,Argentina,2020,Investigadores,91243
ARG,Argentina,2020,Otro Personal de Apoyo,12311
ARG,Argentina,2020,Técnicos y Personal Asimilado,17834
ARG,Argentina,2021,Investigadores,94516
ARG,Argentina,2021,Otro Personal de Apoyo,12896
ARG,Argentina,2021,Técnicos y Personal Asimilado,16701
ARG,Argentina,2022,Investigadores,96171
ARG,Argentina,2022,Otro Personal de Apoyo,12949
ARG,Argentina,2022,Técnicos y Personal Asimilado,18309
ARG,Argentina,2023,Investigadores,98528
ARG,Argentina,2023,Otro Personal de Apoyo,13531
ARG,Argentina,2023,Técnicos y Personal Asimilado,19443
ARG,Argentina,1997,Investigadores,37198
ARG,Argentina,1998,Investigadores,38238
ARG,Argentina,1999,Investigadores,39766
ARG,Argentina,2000,Investigadores,41741
ARG,Argentina,2001,Investigadores,40455
ARG,Argentina,2002,Investigadores,41356
ARG,Argentina,2003,Investigadores,43609
ARG,Argentina,2004,Investigadores,46167
ARG,Argentina,2005,Investigadores,49050
ARG,Argentina,2006,Investigadores,53537
ARG,Argentina,2007,Investigadores,59052
ARG,Argentina,2008,Investigadores,63927
ARG,Argentina,2009,Investigadores,64712
ARG,Argentina,2010,Investigadores,71746
ARG,Argentina,2011,Investigadores,76804
ARG,Argentina,2012,Investigadores,79641
ARG,Argentina,2013,Investigadores,81506
ARG,Argentina,2014,Investigadores,83462
ARG,Argentina,2015,Investigadores,82396
ARG,Argentina,2016,Investigadores,86562
ARG,Argentina,1997,Técnicos y Personal Asimilado,5702
ARG,Argentina,1998,Técnicos y Personal Asimilado,6157
ARG,Argentina,1999,Técnicos y Personal Asimilado,5707
ARG,Argentina,2000,Técnicos y Personal Asimilado,5836
ARG,Argentina,2001,Técnicos y Personal Asimilado,6211
ARG,Argentina,2002,Técnicos y Personal Asimilado,6072
ARG,Argentina,2003,Técnicos y Personal Asimilado,6428
ARG,Argentina,2004,Técnicos y Personal Asimilado,6967
ARG,Argentina,2005,Técnicos y Personal Asimilado,7788
ARG,Argentina,2006,Técnicos y Personal Asimilado,8151
ARG,Argentina,2007,Técnicos y Personal Asimilado,7732
ARG,Argentina,2008,Técnicos y Personal Asimilado,8236
ARG,Argentina,2009,Técnicos y Personal Asimilado,9191
ARG,Argentina,2010,Técnicos y Personal Asimilado,10120
ARG,Argentina,2011,Técnicos y Personal Asimilado,11259
ARG,Argentina,2012,Técnicos y Personal Asimilado,12826
ARG,Argentina,2013,Técnicos y Personal Asimilado,13532
ARG,Argentina,2014,Técnicos y Personal Asimilado,13592
ARG,Argentina,2015,Técnicos y Personal Asimilado,14046
ARG,Argentina,2016,Técnicos y Personal Asimilado,14297
ARG,Argentina,1997,Otro Personal de Apoyo,5468
ARG,Argentina,1998,Otro Personal de Apoyo,5276
ARG,Argentina,1999,Otro Personal de Apoyo,5228
ARG,Argentina,2000,Otro Personal de Apoyo,5259
ARG,Argentina,2001,Otro Personal de Apoyo,5577
ARG,Argentina,2002,Otro Personal de Apoyo,5258
ARG,Argentina,2003,Otro Personal de Apoyo,5598
ARG,Argentina,2004,Otro Personal de Apoyo,6016
ARG,Argentina,2005,Otro Personal de Apoyo,5705
ARG,Argentina,2006,Otro Personal de Apoyo,6168
ARG,Argentina,2007,Otro Personal de Apoyo,6774
ARG,Argentina,2008,Otro Personal de Apoyo,7228
ARG,Argentina,2009,Otro Personal de Apoyo,7248
ARG,Argentina,2010,Otro Personal de Apoyo,8874
ARG,Argentina,2011,Otro Personal de Apoyo,9150
ARG,Argentina,2012,Otro Personal de Apoyo,8976
ARG,Argentina,2013,Otro Personal de Apoyo,10416
ARG,Argentina,2014,Otro Personal de Apoyo,11363
ARG,Argentina,2015,Otro Personal de Apoyo,11673
ARG,Argentina,2016,Otro Personal de Apoyo,11928
