"anio","provincia_id","provincia","inversion_10000_hab","indice_inversion_10000_hab"
"2023","AR-B","Buenos Aires","223.010504332463","117.660877717989"
"2023","AR-K","Catamarca","138.018479166911","72.8188811046821"
"2023","AR-H","Chaco","64.7140531514001","34.1432898745028"
"2023","AR-U","Chubut","224.492938875456","118.443013743421"
"2023","AR-C","CABA","1144.767605885","603.982138396267"
"2023","AR-X","Córdoba","233.276441258718","123.077210697264"
"2023","AR-W","Corrientes","81.331602577329","42.9107488640669"
"2023","AR-E","Entre Ríos","89.1200840959683","47.0199704198698"
"2023","AR-P","Formosa","47.3322136812867","24.9725896219362"
"2023","AR-Y","Jujuy","94.476826403231","49.8462005271387"
"2023","AR-L","La Pampa","147.491741715163","77.8169971782578"
"2023","AR-F","La Rioja","146.73647127899","77.4185146821054"
"2023","AR-M","Mendoza","133.945801988962","70.6701268437385"
"2023","AR-N","Misiones","72.1044338926177","38.0424725039697"
"2023","AR-Q","Neuquén","114.306452783625","60.3083590327249"
"2023","AR-R","Río Negro","331.919392478178","175.121468683748"
"2023","AR-A","Salta","55.5081850191563","29.2862517370477"
"2023","AR-J","San Juan","140.290135636549","74.0174125141839"
"2023","AR-D","San Luis","256.269650470663","135.208483103149"
"2023","AR-Z","Santa Cruz","106.998147130088","56.4524794166482"
"2023","AR-S","Santa Fe","242.697706753475","128.047893000529"
"2023","AR-G","Santiago del Estero","36.5140946389768","19.2649240319858"
"2023","AR-V","Tierra del Fuego","260.622164962289","137.504880202909"
"2023","AR-T","Tucumán","162.934846021409","85.9648161018657"
