geocodigoFundar,geonombreFundar,anio,disciplina,share
SLV,El Salvador,2022,Ciencias Físicas,23.35
SLV,El Salvador,2022,Ciencias Sociales,12.18
ESP,España,2022,Ciencias de la Salud,28.4228422842284
ESP,España,2022,Ciencias de la Vida,23.4923492349235
ESP,España,2022,Ciencias Físicas,32.8232823282328
ESP,España,2022,Ciencias Sociales,15.2615261526153
GTM,Guatemala,2022,Ciencias de la Salud,49.69
GTM,Guatemala,2022,Ciencias de la Vida,24.22
GTM,Guatemala,2022,Ciencias Físicas,17.81
GTM,Guatemala,2022,Ciencias Sociales,8.28
GUY,Guyana,2022,Ciencias de la Salud,29.63
GUY,Guyana,2022,Ciencias de la Vida,34.57
GUY,Guyana,2022,Ciencias Físicas,20.99
GUY,Guyana,2022,Ciencias Sociales,14.81
HTI,Haití,2022,Ciencias de la Salud,59.06
HTI,Haití,2022,Ciencias de la Vida,20.47
HTI,Haití,2022,Ciencias Físicas,14.96
HTI,Haití,2022,Ciencias Sociales,5.51
HND,Honduras,2022,Ciencias de la Salud,32.25
HND,Honduras,2022,Ciencias de la Vida,29.97
HND,Honduras,2022,Ciencias Físicas,25.08
HND,Honduras,2022,Ciencias Sociales,12.7
JAM,Jamaica,2022,Ciencias de la Salud,34.99
JAM,Jamaica,2022,Ciencias de la Vida,15.63
JAM,Jamaica,2022,Ciencias Físicas,27.3
JAM,Jamaica,2022,Ciencias Sociales,22.08
MEX,México,2022,Ciencias de la Salud,20.2379762023798
MEX,México,2022,Ciencias de la Vida,26.3373662633737
MEX,México,2022,Ciencias Físicas,41.5958404159584
MEX,México,2022,Ciencias Sociales,11.8288171182882
NIC,Nicaragua,2022,Ciencias de la Salud,52.5352535253525
NIC,Nicaragua,2022,Ciencias de la Vida,26.5826582658266
NIC,Nicaragua,2022,Ciencias Físicas,13.2913291329133
NIC,Nicaragua,2022,Ciencias Sociales,7.59075907590759
PRY,Paraguay,2022,Ciencias de la Salud,43.2443244324432
