"categoria","genero","cantidad","share"
"Adjunto","Mujeres","2913","58.2367053178729"
"Adjunto","Varones","2089","41.7632946821271"
"Asistente","Mujeres","1805","60.3880896620943"
"Asistente","Varones","1184","39.6119103379057"
"Independiente","Mujeres","1383","49.0077958894401"
"Independiente","Varones","1439","50.9922041105599"
"Principal","Mujeres","500","41.7014178482068"
"Principal","Varones","699","58.2985821517932"
"Superior","Mujeres","36","22.0858895705521"
"Superior","Varones","127","77.9141104294479"
