anio,i_d_pib,act_pib
1990,,0.33
1991,,0.34
1992,,0.38
1993,,0.43
1994,,0.44
1995,,0.49
1996,0.42,0.5
1997,0.42,0.5
1998,0.41,0.5
1999,0.45,0.52
2000,0.44,0.5
2001,0.42,0.48
2002,0.39,0.44
2003,0.41,0.46
2004,0.4,0.45
2005,0.42,0.48
2006,0.45,0.53
2007,0.46,0.55
2008,0.47,0.55
2009,0.58,0.63
2010,0.56,0.61
2011,0.57,0.61
2012,0.63,0.68
2013,0.62,0.66
2014,0.59,0.65
2015,0.62,0.66
2016,0.56,0.6
2017,0.56,0.61
2018,0.49,0.55
2019,0.48,0.52
2020,0.54,0.59
2021,0.52,0.57
2022,0.55,0.59
