geocodigoFundar,geonombreFundar,anio,idp,institucion,ranking
CUB,Cuba,2011,80127,BioCubaFarma,8
CUB,Cuba,2012,80127,BioCubaFarma,5
CUB,Cuba,2013,80127,BioCubaFarma,5
CUB,Cuba,2014,80127,BioCubaFarma,6
CUB,Cuba,2015,80127,BioCubaFarma,4
CUB,Cuba,2016,80127,BioCubaFarma,3
CUB,Cuba,2017,80127,BioCubaFarma,3
CUB,Cuba,2018,80127,BioCubaFarma,4
CUB,Cuba,2019,80127,BioCubaFarma,5
CUB,Cuba,2020,80127,BioCubaFarma,5
CUB,Cuba,2021,80127,BioCubaFarma,4
CUB,Cuba,2022,80127,BioCubaFarma,5
CUB,Cuba,2023,80127,BioCubaFarma,16
CUB,Cuba,2024,80127,BioCubaFarma,30
MEX,México,2021,5311,Centro de Investigacion y Asistencia en Tecnologia y Diseno del Estado de Jalisco,9
MEX,México,2022,5311,Centro de Investigacion y Asistencia en Tecnologia y Diseno del Estado de Jalisco,9
MEX,México,2023,5311,Centro de Investigacion y Asistencia en Tecnologia y Diseno del Estado de Jalisco,11
MEX,México,2024,5311,Centro de Investigacion y Asistencia en Tecnologia y Diseno del Estado de Jalisco,18
PAN,Panamá,2023,61500,"Secretaria Nacional de Ciencia, Tecnologia e Innovacion",7
PAN,Panamá,2024,61500,"Secretaria Nacional de Ciencia, Tecnologia e Innovacion",15
ARG,Argentina,2018,66140,Instituto de Investigaciones en Fisicoquimica de Cordoba,8
ARG,Argentina,2019,66140,Instituto de Investigaciones en Fisicoquimica de Cordoba,21
ARG,Argentina,2021,66140,Instituto de Investigaciones en Fisicoquimica de Cordoba,29
ARG,Argentina,2022,66140,Instituto de Investigaciones en Fisicoquimica de Cordoba,37
ARG,Argentina,2024,66140,Instituto de Investigaciones en Fisicoquimica de Cordoba,19
CHL,Chile,2014,79179,Programa Iniciativa Cientifica Milenio,4
CHL,Chile,2015,79179,Programa Iniciativa Cientifica Milenio,10
CHL,Chile,2016,79179,Programa Iniciativa Cientifica Milenio,12
CHL,Chile,2017,79179,Programa Iniciativa Cientifica Milenio,5
CHL,Chile,2018,79179,Programa Iniciativa Cientifica Milenio,5
CHL,Chile,2019,79179,Programa Iniciativa Cientifica Milenio,4
CHL,Chile,2020,79179,Programa Iniciativa Cientifica Milenio,4
CHL,Chile,2021,79179,Programa Iniciativa Cientifica Milenio,5
CHL,Chile,2022,79179,Programa Iniciativa Cientifica Milenio,7
CHL,Chile,2023,79179,Programa Iniciativa Cientifica Milenio,9
CHL,Chile,2024,79179,Programa Iniciativa Cientifica Milenio,22
BRA,Brasil,2024,77915,Forca Aerea Brasileira,23
ARG,Argentina,2009,72337,Centro Cientifico Tecnologico Mendoza,14
ARG,Argentina,2010,72337,Centro Cientifico Tecnologico Mendoza,14
ARG,Argentina,2011,72337,Centro Cientifico Tecnologico Mendoza,11
ARG,Argentina,2012,72337,Centro Cientifico Tecnologico Mendoza,13
ARG,Argentina,2013,72337,Centro Cientifico Tecnologico Mendoza,15
ARG,Argentina,2014,72337,Centro Cientifico Tecnologico Mendoza,13
ARG,Argentina,2015,72337,Centro Cientifico Tecnologico Mendoza,15
ARG,Argentina,2016,72337,Centro Cientifico Tecnologico Mendoza,18
ARG,Argentina,2017,72337,Centro Cientifico Tecnologico Mendoza,23
ARG,Argentina,2018,72337,Centro Cientifico Tecnologico Mendoza,24
ARG,Argentina,2019,72337,Centro Cientifico Tecnologico Mendoza,23
ARG,Argentina,2020,72337,Centro Cientifico Tecnologico Mendoza,26
ARG,Argentina,2021,72337,Centro Cientifico Tecnologico Mendoza,35
ARG,Argentina,2022,72337,Centro Cientifico Tecnologico Mendoza,24
ARG,Argentina,2023,72337,Centro Cientifico Tecnologico Mendoza,39
ARG,Argentina,2024,72337,Centro Cientifico Tecnologico Mendoza,27
ARG,Argentina,2009,25408,Centro Cientifico Tecnologico Bahia Blanca,8
ARG,Argentina,2010,25408,Centro Cientifico Tecnologico Bahia Blanca,6
ARG,Argentina,2011,25408,Centro Cientifico Tecnologico Bahia Blanca,9
ARG,Argentina,2012,25408,Centro Cientifico Tecnologico Bahia Blanca,7
ARG,Argentina,2013,25408,Centro Cientifico Tecnologico Bahia Blanca,8
ARG,Argentina,2014,25408,Centro Cientifico Tecnologico Bahia Blanca,15
ARG,Argentina,2015,25408,Centro Cientifico Tecnologico Bahia Blanca,19
ARG,Argentina,2016,25408,Centro Cientifico Tecnologico Bahia Blanca,15
ARG,Argentina,2017,25408,Centro Cientifico Tecnologico Bahia Blanca,12
ARG,Argentina,2018,25408,Centro Cientifico Tecnologico Bahia Blanca,11
ARG,Argentina,2019,25408,Centro Cientifico Tecnologico Bahia Blanca,25
ARG,Argentina,2020,25408,Centro Cientifico Tecnologico Bahia Blanca,20
ARG,Argentina,2021,25408,Centro Cientifico Tecnologico Bahia Blanca,33
ARG,Argentina,2022,25408,Centro Cientifico Tecnologico Bahia Blanca,28
ARG,Argentina,2023,25408,Centro Cientifico Tecnologico Bahia Blanca,37
ARG,Argentina,2024,25408,Centro Cientifico Tecnologico Bahia Blanca,21
CHL,Chile,2010,77377,Centros Regionales CONICYT,13
CHL,Chile,2011,77377,Centros Regionales CONICYT,15
CHL,Chile,2012,77377,Centros Regionales CONICYT,14
CHL,Chile,2013,77377,Centros Regionales CONICYT,13
CHL,Chile,2014,77377,Centros Regionales CONICYT,16
CHL,Chile,2015,77377,Centros Regionales CONICYT,14
CHL,Chile,2016,77377,Centros Regionales CONICYT,11
CHL,Chile,2017,77377,Centros Regionales CONICYT,8
CHL,Chile,2018,77377,Centros Regionales CONICYT,14
CHL,Chile,2019,77377,Centros Regionales CONICYT,13
CHL,Chile,2020,77377,Centros Regionales CONICYT,11
CHL,Chile,2021,77377,Centros Regionales CONICYT,23
CHL,Chile,2022,77377,Centros Regionales CONICYT,20
CHL,Chile,2023,77377,Centros Regionales CONICYT,30
CHL,Chile,2024,77377,Centros Regionales CONICYT,26
MEX,México,2009,25827,Centro de Investigacion en Alimentacion y Desarrollo,4
MEX,México,2010,25827,Centro de Investigacion en Alimentacion y Desarrollo,8
MEX,México,2011,25827,Centro de Investigacion en Alimentacion y Desarrollo,7
MEX,México,2012,25827,Centro de Investigacion en Alimentacion y Desarrollo,11
MEX,México,2013,25827,Centro de Investigacion en Alimentacion y Desarrollo,12
MEX,México,2014,25827,Centro de Investigacion en Alimentacion y Desarrollo,12
MEX,México,2015,25827,Centro de Investigacion en Alimentacion y Desarrollo,7
MEX,México,2016,25827,Centro de Investigacion en Alimentacion y Desarrollo,22
MEX,México,2017,25827,Centro de Investigacion en Alimentacion y Desarrollo,13
MEX,México,2018,25827,Centro de Investigacion en Alimentacion y Desarrollo,15
MEX,México,2019,25827,Centro de Investigacion en Alimentacion y Desarrollo,11
MEX,México,2020,25827,Centro de Investigacion en Alimentacion y Desarrollo,14
MEX,México,2021,25827,Centro de Investigacion en Alimentacion y Desarrollo,15
MEX,México,2022,25827,Centro de Investigacion en Alimentacion y Desarrollo,11
MEX,México,2023,25827,Centro de Investigacion en Alimentacion y Desarrollo,24
MEX,México,2024,25827,Centro de Investigacion en Alimentacion y Desarrollo,20
