"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"DEU","Alemania","2002","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.78639","7.52502"
"DEU","Alemania","2002","Otros","Ingreso no percibido (Revenue Forgone)","0.02685","0.25694"
"DEU","Alemania","2003","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.60411","5.73026"
"DEU","Alemania","2003","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.69711","6.61243"
"DEU","Alemania","2003","Otros","Ingreso no percibido (Revenue Forgone)","0.00942","0.08932"
"DEU","Alemania","2004","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.62677","6.14059"
"DEU","Alemania","2004","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.67831","6.64562"
"DEU","Alemania","2004","Otros","Ingreso no percibido (Revenue Forgone)","0.00345","0.03375"
"DEU","Alemania","2005","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.63314","6.06911"
"DEU","Alemania","2005","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.67231","6.44459"
"DEU","Alemania","2005","Otros","Ingreso no percibido (Revenue Forgone)","0.00112","0.01072"
"DEU","Alemania","2006","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.64278","5.99725"
"DEU","Alemania","2006","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.62126","5.79651"
"DEU","Alemania","2007","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.68287","6.06274"
"DEU","Alemania","2007","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.58189","5.16625"
"DEU","Alemania","2008","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.71491","6.25923"
"DEU","Alemania","2008","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.52767","4.61988"
"DEU","Alemania","2009","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.80726","6.93638"
"DEU","Alemania","2009","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.51558","4.43012"
"DEU","Alemania","2009","Otros","Ingreso no percibido (Revenue Forgone)","0.01034","0.08886"
"DEU","Alemania","2010","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.78821","7.06554"
"DEU","Alemania","2010","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.29300","2.62645"
"DEU","Alemania","2010","Otros","Ingreso no percibido (Revenue Forgone)","0.01602","0.14357"
"DEU","Alemania","2011","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.68374","5.88283"
"DEU","Alemania","2011","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.26334","2.26571"
"DEU","Alemania","2011","Otros","Ingreso no percibido (Revenue Forgone)","0.01561","0.13433"
"DEU","Alemania","2012","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.70269","5.94893"
"DEU","Alemania","2012","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.24200","2.04878"
"DEU","Alemania","2012","Otros","Ingreso no percibido (Revenue Forgone)","0.01514","0.12818"
"DEU","Alemania","2013","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.69902","5.82473"
"DEU","Alemania","2013","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.23534","1.96105"
"DEU","Alemania","2013","Otros","Ingreso no percibido (Revenue Forgone)","0.02162","0.18018"
"DEU","Alemania","2014","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.68693","5.73728"
"DEU","Alemania","2014","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.21865","1.82616"
"DEU","Alemania","2014","Otros","Ingreso no percibido (Revenue Forgone)","0.02077","0.17347"
"DEU","Alemania","2015","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.68624","5.76095"
"DEU","Alemania","2015","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18560","1.55811"
"DEU","Alemania","2015","Otros","Ingreso no percibido (Revenue Forgone)","0.02013","0.16895"
"DEU","Alemania","2016","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.66919","5.69354"
"DEU","Alemania","2016","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18200","1.54850"
"DEU","Alemania","2016","Otros","Ingreso no percibido (Revenue Forgone)","0.01943","0.16531"
"DEU","Alemania","2017","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.64822","5.53078"
"DEU","Alemania","2017","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18729","1.59804"
"DEU","Alemania","2017","Otros","Ingreso no percibido (Revenue Forgone)","0.02294","0.19569"
"DEU","Alemania","2018","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.64725","5.44654"
"DEU","Alemania","2018","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18609","1.56593"
"DEU","Alemania","2018","Otros","Ingreso no percibido (Revenue Forgone)","0.02215","0.18639"
"DEU","Alemania","2019","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.63963","5.40477"
"DEU","Alemania","2019","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18603","1.57195"
"DEU","Alemania","2019","Otros","Ingreso no percibido (Revenue Forgone)","0.02181","0.18430"
"DEU","Alemania","2020","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.60650","5.49764"
"DEU","Alemania","2020","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.19976","1.81074"
"DEU","Alemania","2020","Otros","Ingreso no percibido (Revenue Forgone)","0.02247","0.20365"
"DEU","Alemania","2021","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.63349","5.54887"
"DEU","Alemania","2021","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.25606","2.24290"
"DEU","Alemania","2021","Otros","Ingreso no percibido (Revenue Forgone)","0.02214","0.19394"
"DEU","Alemania","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.62013","5.51813"
"DEU","Alemania","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.26910","2.39459"
"DEU","Alemania","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.02213","0.19692"
"DEU","Alemania","2023","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.61813","5.80566"
"DEU","Alemania","2023","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.21256","1.99648"
"DEU","Alemania","2023","Otros","Ingreso no percibido (Revenue Forgone)","0.02208","0.20735"
