"geocodigoFundar","geonombreFundar","indicador","valor"
"ARG","Argentina","Amnistías Parciales","39.00000"
"ARG","Argentina","Amnistías Plenas","20.00000"
"PAN","Panamá","Amnistías Parciales","17.00000"
"PAN","Panamá","Amnistías Plenas","7.00000"
"DOM","Rep. Dominicana","Amnistías Parciales","12.00000"
"DOM","Rep. Dominicana","Amnistías Plenas","7.00000"
"BRA","Brasil","Amnistías Parciales","15.00000"
"BRA","Brasil","Amnistías Plenas","2.00000"
"COL","Colombia","Amnistías Parciales","6.00000"
"COL","Colombia","Amnistías Plenas","11.00000"
"PER","Perú","Amnistías Parciales","14.00000"
"PER","Perú","Amnistías Plenas","3.00000"
"ECU","Ecuador","Amnistías Parciales","7.00000"
"ECU","Ecuador","Amnistías Plenas","9.00000"
"VEN","Venezuela","Amnistías Parciales","11.00000"
"VEN","Venezuela","Amnistías Plenas","4.00000"
"MEX","México","Amnistías Parciales","8.00000"
"MEX","México","Amnistías Plenas","3.00000"
"CRI","Costa Rica","Amnistías Parciales","6.00000"
"CRI","Costa Rica","Amnistías Plenas","2.00000"
"URY","Uruguay","Amnistías Parciales","5.00000"
"URY","Uruguay","Amnistías Plenas","3.00000"
"CHL","Chile","Amnistías Parciales","6.00000"
"CHL","Chile","Amnistías Plenas","1.00000"
