"geocodigoFundar","geonombreFundar","anio","categoria","porcentaje_pbi","porcentaje_total"
"CHL","Chile","2024","De empleados","1.12203","5.47880"
"CHL","Chile","2024","De empleadores","0.06109","0.29829"
"CHL","Chile","2024","De autónomos o no empleados","0.00000","0.00000"
"CHL","Chile","2024","No asignables","0.00000","0.00000"
"PER","Perú","2024","De empleados","0.43039","2.64613"
"PER","Perú","2024","De empleadores","1.39211","8.55910"
"PER","Perú","2024","De autónomos o no empleados","0.00561","0.03452"
"PER","Perú","2024","No asignables","0.00000","0.00000"
"ARG","Argentina","2024","De empleados","1.85405","6.71099"
"ARG","Argentina","2024","De empleadores","3.17669","11.49848"
"ARG","Argentina","2024","De autónomos o no empleados","0.10885","0.39401"
"ARG","Argentina","2024","No asignables","0.00000","0.00000"
"BRA","Brasil","2024","De empleados","2.19899","6.52955"
"BRA","Brasil","2024","De empleadores","5.74212","17.05030"
"BRA","Brasil","2024","De autónomos o no empleados","0.00000","0.00000"
"BRA","Brasil","2024","No asignables","0.14592","0.43329"
"LAC","A. Latina y el Caribe","2023","De empleados","1.11700","4.80400"
"LAC","A. Latina y el Caribe","2023","De empleadores","1.44500","5.90700"
"LAC","A. Latina y el Caribe","2023","De autónomos o no empleados","0.02800","0.11000"
"LAC","A. Latina y el Caribe","2023","No asignables","3.07400","14.51000"
"OECD","Países OCDE","2023","De empleados","3.43496","9.87409"
"OECD","Países OCDE","2023","De empleadores","4.91982","13.79839"
"OECD","Países OCDE","2023","De autónomos o no empleados","0.92702","2.57964"
"OECD","Países OCDE","2023","No asignables","0.39488","1.61161"
"CRI","Costa Rica","2024","De empleados","0.00000","0.00000"
"CRI","Costa Rica","2024","De empleadores","0.84512","3.40225"
"CRI","Costa Rica","2024","De autónomos o no empleados","0.00000","0.00000"
"CRI","Costa Rica","2024","No asignables","8.18991","32.97056"
