"geocodigoFundar","geonombreFundar","anio","impuesto","categoria","valor"
"ARG","Argentina","2021-2023","IVA","Eficiencia","47.80000"
"ARG","Argentina","2021-2023","IVA","Ineficiencia GT","8.60000"
"ARG","Argentina","2021-2023","IVA","Ineficiencia X","43.70000"
"BOL","Bolivia","2021-2023","IVA","Eficiencia","69.50000"
"BOL","Bolivia","2021-2023","IVA","Ineficiencia GT","4.70000"
"BOL","Bolivia","2021-2023","IVA","Ineficiencia X","25.90000"
"BRA","Brasil","2021-2023","IVA","Eficiencia","52.70000"
"BRA","Brasil","2021-2023","IVA","Ineficiencia GT","12.50000"
"BRA","Brasil","2021-2023","IVA","Ineficiencia X","34.90000"
"CHL","Chile","2021-2023","IVA","Eficiencia","71.00000"
"CHL","Chile","2021-2023","IVA","Ineficiencia GT","7.70000"
"CHL","Chile","2021-2023","IVA","Ineficiencia X","21.20000"
"COL","Colombia","2021-2023","IVA","Eficiencia","38.70000"
"COL","Colombia","2021-2023","IVA","Ineficiencia GT","39.60000"
"COL","Colombia","2021-2023","IVA","Ineficiencia X","21.70000"
"CRI","Costa Rica","2021-2023","IVA","Eficiencia","50.80000"
"CRI","Costa Rica","2021-2023","IVA","Ineficiencia GT","22.10000"
"CRI","Costa Rica","2021-2023","IVA","Ineficiencia X","27.00000"
"ECU","Ecuador","2021-2023","IVA","Eficiencia","76.30000"
"SLV","El Salvador","2021-2023","IVA","Eficiencia","79.10000"
"SLV","El Salvador","2021-2023","IVA","Ineficiencia GT","13.90000"
"SLV","El Salvador","2021-2023","IVA","Ineficiencia X","7.00000"
"GTM","Guatemala","2021-2023","IVA","Eficiencia","50.80000"
"GTM","Guatemala","2021-2023","IVA","Ineficiencia GT","16.00000"
"GTM","Guatemala","2021-2023","IVA","Ineficiencia X","33.20000"
"HND","Honduras","2021-2023","IVA","Eficiencia","52.60000"
"HND","Honduras","2021-2023","IVA","Ineficiencia GT","28.60000"
"HND","Honduras","2021-2023","IVA","Ineficiencia X","18.80000"
"JAM","Jamaica","2021-2023","IVA","Eficiencia","72.00000"
"JAM","Jamaica","2021-2023","IVA","Ineficiencia GT","9.20000"
"JAM","Jamaica","2021-2023","IVA","Ineficiencia X","18.80000"
"MEX","México","2021-2023","IVA","Eficiencia","34.40000"
"MEX","México","2021-2023","IVA","Ineficiencia GT","11.20000"
"MEX","México","2021-2023","IVA","Ineficiencia X","54.40000"
"NIC","Nicaragua","2021-2023","IVA","Eficiencia","58.10000"
"NIC","Nicaragua","2021-2023","IVA","Ineficiencia GT","27.70000"
"NIC","Nicaragua","2021-2023","IVA","Ineficiencia X","14.20000"
"PAN","Panamá","2021-2023","IVA","Eficiencia","41.90000"
"PRY","Paraguay","2021-2023","IVA","Eficiencia","73.00000"
"PRY","Paraguay","2021-2023","IVA","Ineficiencia GT","12.60000"
"PRY","Paraguay","2021-2023","IVA","Ineficiencia X","14.50000"
"PER","Perú","2021-2023","IVA","Eficiencia","55.80000"
"PER","Perú","2021-2023","IVA","Ineficiencia GT","10.70000"
"PER","Perú","2021-2023","IVA","Ineficiencia X","33.50000"
"","Promedio","2021-2023","IVA","Eficiencia","56.90000"
"","Promedio","2021-2023","IVA","Ineficiencia GT","14.60000"
"","Promedio","2021-2023","IVA","Ineficiencia X","28.40000"
"DOM","Rep. Dominicana","2021-2023","IVA","Eficiencia","36.80000"
"DOM","Rep. Dominicana","2021-2023","IVA","Ineficiencia GT","19.50000"
"DOM","Rep. Dominicana","2021-2023","IVA","Ineficiencia X","43.70000"
"URY","Uruguay","2021-2023","IVA","Eficiencia","63.30000"
"URY","Uruguay","2021-2023","IVA","Ineficiencia GT","19.00000"
"URY","Uruguay","2021-2023","IVA","Ineficiencia X","17.70000"
