"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"LAC","A. Latina y el Caribe","2024","Porcentaje del PBI","21.72472"
"ARG","Argentina","2024","Porcentaje del PBI","27.62704"
"BOL","Bolivia","2024","Porcentaje del PBI","23.60497"
"BRA","Brasil","2024","Porcentaje del PBI","33.67751"
"CHL","Chile","2024","Porcentaje del PBI","20.47945"
"COL","Colombia","2024","Porcentaje del PBI","19.86588"
"CRI","Costa Rica","2024","Porcentaje del PBI","24.84008"
"ECU","Ecuador","2024","Porcentaje del PBI","21.69420"
"MEX","México","2024","Porcentaje del PBI","18.28011"
"PRY","Paraguay","2024","Porcentaje del PBI","15.75633"
"OECD","Países OCDE","2024","Porcentaje del PBI","34.06272"
"PER","Perú","2024","Porcentaje del PBI","16.26472"
"URY","Uruguay","2024","Porcentaje del PBI","27.25086"
