"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AR-B","Buenos Aires","2004","Porcentaje del PBG","3.14090"
"AR-C","CABA","2004","Porcentaje del PBG","3.50648"
"AR-K","Catamarca","2004","Porcentaje del PBG","1.42522"
"AR-H","Chaco","2004","Porcentaje del PBG","2.43814"
"AR-U","Chubut","2004","Porcentaje del PBG","1.68634"
"AR-W","Corrientes","2004","Porcentaje del PBG","1.57262"
"AR-X","Córdoba","2004","Porcentaje del PBG","2.41028"
"AR-E","Entre Ríos","2004","Porcentaje del PBG","1.95878"
"AR-P","Formosa","2004","Porcentaje del PBG","1.53143"
"AR-Y","Jujuy","2004","Porcentaje del PBG","1.85822"
"AR-L","La Pampa","2004","Porcentaje del PBG","2.46299"
"AR-F","La Rioja","2004","Porcentaje del PBG","1.33538"
"AR-M","Mendoza","2004","Porcentaje del PBG","2.30962"
"AR-N","Misiones","2004","Porcentaje del PBG","3.00980"
"AR-Q","Neuquén","2004","Porcentaje del PBG","2.24565"
"AR-R","Río Negro","2004","Porcentaje del PBG","2.54771"
"AR-A","Salta","2004","Porcentaje del PBG","2.78261"
"AR-J","San Juan","2004","Porcentaje del PBG","1.88983"
"AR-D","San Luis","2004","Porcentaje del PBG","2.39560"
"AR-Z","Santa Cruz","2004","Porcentaje del PBG","2.05466"
"AR-S","Santa Fe","2004","Porcentaje del PBG","2.51793"
"AR-G","Santiago del Estero","2004","Porcentaje del PBG","1.45711"
"AR-V","Tierra del Fuego","2004","Porcentaje del PBG","2.44109"
"ARG","Total","2004","Porcentaje del PBG","2.81337"
"AR-T","Tucumán","2004","Porcentaje del PBG","3.08153"
"AR-B","Buenos Aires","2005","Porcentaje del PBG","3.27196"
"AR-C","CABA","2005","Porcentaje del PBG","3.54123"
"AR-K","Catamarca","2005","Porcentaje del PBG","1.34367"
"AR-H","Chaco","2005","Porcentaje del PBG","2.45372"
"AR-U","Chubut","2005","Porcentaje del PBG","1.72834"
"AR-W","Corrientes","2005","Porcentaje del PBG","1.47051"
"AR-X","Córdoba","2005","Porcentaje del PBG","2.60191"
"AR-E","Entre Ríos","2005","Porcentaje del PBG","2.04023"
"AR-P","Formosa","2005","Porcentaje del PBG","1.81663"
"AR-Y","Jujuy","2005","Porcentaje del PBG","2.00515"
"AR-L","La Pampa","2005","Porcentaje del PBG","2.52269"
"AR-F","La Rioja","2005","Porcentaje del PBG","1.60076"
"AR-M","Mendoza","2005","Porcentaje del PBG","2.59047"
"AR-N","Misiones","2005","Porcentaje del PBG","3.24280"
"AR-Q","Neuquén","2005","Porcentaje del PBG","2.56011"
"AR-R","Río Negro","2005","Porcentaje del PBG","2.83117"
"AR-A","Salta","2005","Porcentaje del PBG","3.12126"
"AR-J","San Juan","2005","Porcentaje del PBG","2.12985"
"AR-D","San Luis","2005","Porcentaje del PBG","3.11601"
"AR-Z","Santa Cruz","2005","Porcentaje del PBG","2.16113"
"AR-S","Santa Fe","2005","Porcentaje del PBG","2.53055"
"AR-G","Santiago del Estero","2005","Porcentaje del PBG","1.70218"
"AR-V","Tierra del Fuego","2005","Porcentaje del PBG","2.68959"
"ARG","Total","2005","Porcentaje del PBG","2.95054"
"AR-T","Tucumán","2005","Porcentaje del PBG","3.83437"
"AR-B","Buenos Aires","2006","Porcentaje del PBG","3.43872"
"AR-C","CABA","2006","Porcentaje del PBG","3.50240"
"AR-K","Catamarca","2006","Porcentaje del PBG","1.21509"
"AR-H","Chaco","2006","Porcentaje del PBG","2.45356"
"AR-U","Chubut","2006","Porcentaje del PBG","2.06062"
"AR-W","Corrientes","2006","Porcentaje del PBG","1.56452"
"AR-X","Córdoba","2006","Porcentaje del PBG","2.81155"
"AR-E","Entre Ríos","2006","Porcentaje del PBG","2.14663"
"AR-P","Formosa","2006","Porcentaje del PBG","1.77918"
"AR-Y","Jujuy","2006","Porcentaje del PBG","1.91429"
"AR-L","La Pampa","2006","Porcentaje del PBG","2.49186"
"AR-F","La Rioja","2006","Porcentaje del PBG","1.78755"
"AR-M","Mendoza","2006","Porcentaje del PBG","2.84096"
"AR-N","Misiones","2006","Porcentaje del PBG","3.96792"
"AR-Q","Neuquén","2006","Porcentaje del PBG","2.58770"
"AR-R","Río Negro","2006","Porcentaje del PBG","2.95919"
"AR-A","Salta","2006","Porcentaje del PBG","3.18933"
"AR-J","San Juan","2006","Porcentaje del PBG","2.01531"
"AR-D","San Luis","2006","Porcentaje del PBG","2.84890"
"AR-Z","Santa Cruz","2006","Porcentaje del PBG","2.38467"
"AR-S","Santa Fe","2006","Porcentaje del PBG","2.58845"
"AR-G","Santiago del Estero","2006","Porcentaje del PBG","1.60411"
"AR-V","Tierra del Fuego","2006","Porcentaje del PBG","3.06819"
"ARG","Total","2006","Porcentaje del PBG","3.04084"
"AR-T","Tucumán","2006","Porcentaje del PBG","3.71627"
"AR-B","Buenos Aires","2007","Porcentaje del PBG","3.60964"
"AR-C","CABA","2007","Porcentaje del PBG","3.55328"
"AR-K","Catamarca","2007","Porcentaje del PBG","1.40453"
"AR-H","Chaco","2007","Porcentaje del PBG","2.50758"
"AR-U","Chubut","2007","Porcentaje del PBG","2.58444"
"AR-W","Corrientes","2007","Porcentaje del PBG","2.17100"
"AR-X","Córdoba","2007","Porcentaje del PBG","2.71915"
"AR-E","Entre Ríos","2007","Porcentaje del PBG","2.19191"
"AR-P","Formosa","2007","Porcentaje del PBG","2.15423"
"AR-Y","Jujuy","2007","Porcentaje del PBG","1.97136"
"AR-L","La Pampa","2007","Porcentaje del PBG","2.54557"
"AR-F","La Rioja","2007","Porcentaje del PBG","1.81604"
"AR-M","Mendoza","2007","Porcentaje del PBG","2.82366"
"AR-N","Misiones","2007","Porcentaje del PBG","4.30821"
"AR-Q","Neuquén","2007","Porcentaje del PBG","3.04921"
"AR-R","Río Negro","2007","Porcentaje del PBG","3.01727"
"AR-A","Salta","2007","Porcentaje del PBG","3.67131"
"AR-J","San Juan","2007","Porcentaje del PBG","2.23683"
"AR-D","San Luis","2007","Porcentaje del PBG","3.34515"
"AR-Z","Santa Cruz","2007","Porcentaje del PBG","2.95484"
"AR-S","Santa Fe","2007","Porcentaje del PBG","2.70771"
"AR-G","Santiago del Estero","2007","Porcentaje del PBG","1.61042"
"AR-V","Tierra del Fuego","2007","Porcentaje del PBG","3.31092"
"ARG","Total","2007","Porcentaje del PBG","3.18974"
"AR-T","Tucumán","2007","Porcentaje del PBG","4.03986"
"AR-B","Buenos Aires","2008","Porcentaje del PBG","4.07718"
"AR-C","CABA","2008","Porcentaje del PBG","3.66855"
"AR-K","Catamarca","2008","Porcentaje del PBG","1.82030"
"AR-H","Chaco","2008","Porcentaje del PBG","2.55644"
"AR-U","Chubut","2008","Porcentaje del PBG","2.74605"
"AR-W","Corrientes","2008","Porcentaje del PBG","2.34659"
"AR-X","Córdoba","2008","Porcentaje del PBG","2.73701"
"AR-E","Entre Ríos","2008","Porcentaje del PBG","2.16999"
"AR-P","Formosa","2008","Porcentaje del PBG","2.33113"
"AR-Y","Jujuy","2008","Porcentaje del PBG","2.01530"
"AR-L","La Pampa","2008","Porcentaje del PBG","2.60746"
"AR-F","La Rioja","2008","Porcentaje del PBG","1.83926"
"AR-M","Mendoza","2008","Porcentaje del PBG","2.95587"
"AR-N","Misiones","2008","Porcentaje del PBG","5.24868"
"AR-Q","Neuquén","2008","Porcentaje del PBG","3.26180"
"AR-R","Río Negro","2008","Porcentaje del PBG","3.11807"
"AR-A","Salta","2008","Porcentaje del PBG","3.36411"
"AR-J","San Juan","2008","Porcentaje del PBG","2.03208"
"AR-D","San Luis","2008","Porcentaje del PBG","3.59515"
"AR-Z","Santa Cruz","2008","Porcentaje del PBG","3.00539"
"AR-S","Santa Fe","2008","Porcentaje del PBG","2.87771"
"AR-G","Santiago del Estero","2008","Porcentaje del PBG","1.53864"
"AR-V","Tierra del Fuego","2008","Porcentaje del PBG","3.73293"
"ARG","Total","2008","Porcentaje del PBG","3.41154"
"AR-T","Tucumán","2008","Porcentaje del PBG","3.95734"
"AR-B","Buenos Aires","2009","Porcentaje del PBG","4.79390"
"AR-C","CABA","2009","Porcentaje del PBG","3.86421"
"AR-K","Catamarca","2009","Porcentaje del PBG","1.96358"
"AR-H","Chaco","2009","Porcentaje del PBG","2.36877"
"AR-U","Chubut","2009","Porcentaje del PBG","2.56380"
"AR-W","Corrientes","2009","Porcentaje del PBG","2.39095"
"AR-X","Córdoba","2009","Porcentaje del PBG","3.66576"
"AR-E","Entre Ríos","2009","Porcentaje del PBG","2.24261"
"AR-P","Formosa","2009","Porcentaje del PBG","2.18183"
"AR-Y","Jujuy","2009","Porcentaje del PBG","2.33819"
"AR-L","La Pampa","2009","Porcentaje del PBG","2.54573"
"AR-F","La Rioja","2009","Porcentaje del PBG","1.72176"
"AR-M","Mendoza","2009","Porcentaje del PBG","2.84406"
"AR-N","Misiones","2009","Porcentaje del PBG","4.68780"
"AR-Q","Neuquén","2009","Porcentaje del PBG","2.95745"
"AR-R","Río Negro","2009","Porcentaje del PBG","3.27599"
"AR-A","Salta","2009","Porcentaje del PBG","3.28781"
"AR-J","San Juan","2009","Porcentaje del PBG","1.94100"
"AR-D","San Luis","2009","Porcentaje del PBG","3.50011"
"AR-Z","Santa Cruz","2009","Porcentaje del PBG","2.51461"
"AR-S","Santa Fe","2009","Porcentaje del PBG","3.30349"
"AR-G","Santiago del Estero","2009","Porcentaje del PBG","1.83314"
"AR-V","Tierra del Fuego","2009","Porcentaje del PBG","3.33646"
"ARG","Total","2009","Porcentaje del PBG","3.77310"
"AR-T","Tucumán","2009","Porcentaje del PBG","4.61017"
"AR-B","Buenos Aires","2010","Porcentaje del PBG","4.51266"
"AR-C","CABA","2010","Porcentaje del PBG","3.99064"
"AR-K","Catamarca","2010","Porcentaje del PBG","2.17370"
"AR-H","Chaco","2010","Porcentaje del PBG","2.40924"
"AR-U","Chubut","2010","Porcentaje del PBG","2.52194"
"AR-W","Corrientes","2010","Porcentaje del PBG","2.51101"
"AR-X","Córdoba","2010","Porcentaje del PBG","3.57285"
"AR-E","Entre Ríos","2010","Porcentaje del PBG","2.09688"
"AR-P","Formosa","2010","Porcentaje del PBG","2.23524"
"AR-Y","Jujuy","2010","Porcentaje del PBG","2.14515"
"AR-L","La Pampa","2010","Porcentaje del PBG","2.58853"
"AR-F","La Rioja","2010","Porcentaje del PBG","1.58012"
"AR-M","Mendoza","2010","Porcentaje del PBG","2.78627"
"AR-N","Misiones","2010","Porcentaje del PBG","4.66003"
"AR-Q","Neuquén","2010","Porcentaje del PBG","3.51909"
"AR-R","Río Negro","2010","Porcentaje del PBG","3.22523"
