"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"LAC","América Latina y el Caribe","1990","Porcentaje del PBI","14.52501"
"ARG","Argentina","1990","Porcentaje del PBI","13.25856"
"BOL","Bolivia","1990","Porcentaje del PBI","6.51046"
"BRA","Brasil","1990","Porcentaje del PBI","27.83736"
"CHL","Chile","1990","Porcentaje del PBI","16.77444"
"COL","Colombia","1990","Porcentaje del PBI","11.34740"
"CRI","Costa Rica","1990","Porcentaje del PBI","22.40795"
"ECU","Ecuador","1990","Porcentaje del PBI","7.20834"
"MEX","México","1990","Porcentaje del PBI","11.51929"
"PRY","Paraguay","1990","Porcentaje del PBI","8.50648"
"OECD","Países miembros de OCDE","1990","Porcentaje del PBI","30.80055"
"PER","Perú","1990","Porcentaje del PBI","11.28939"
"URY","Uruguay","1990","Porcentaje del PBI","18.30573"
"LAC","América Latina y el Caribe","1991","Porcentaje del PBI","14.20676"
"ARG","Argentina","1991","Porcentaje del PBI","15.11034"
"BOL","Bolivia","1991","Porcentaje del PBI","6.86034"
"BRA","Brasil","1991","Porcentaje del PBI","22.85240"
"CHL","Chile","1991","Porcentaje del PBI","17.66548"
"COL","Colombia","1991","Porcentaje del PBI","13.31814"
"CRI","Costa Rica","1991","Porcentaje del PBI","17.59368"
"ECU","Ecuador","1991","Porcentaje del PBI","7.40068"
"MEX","México","1991","Porcentaje del PBI","11.67745"
"PRY","Paraguay","1991","Porcentaje del PBI","8.27571"
"OECD","Países miembros de OCDE","1991","Porcentaje del PBI","31.23174"
"PER","Perú","1991","Porcentaje del PBI","13.45679"
"URY","Uruguay","1991","Porcentaje del PBI","19.06183"
"LAC","América Latina y el Caribe","1992","Porcentaje del PBI","15.01224"
"ARG","Argentina","1992","Porcentaje del PBI","17.64441"
"BOL","Bolivia","1992","Porcentaje del PBI","8.68233"
"BRA","Brasil","1992","Porcentaje del PBI","23.79109"
"CHL","Chile","1992","Porcentaje del PBI","18.33287"
"COL","Colombia","1992","Porcentaje del PBI","13.90925"
"CRI","Costa Rica","1992","Porcentaje del PBI","18.60871"
"ECU","Ecuador","1992","Porcentaje del PBI","7.26159"
