"anio","indicador","valor"
"1864","Recaudación","29.62975"
"1865","Recaudación","25.85309"
"1866","Recaudación","47.62618"
"1867","Recaudación","4.83964"
"1868","Recaudación","0.55368"
"1869","Recaudación","17.05500"
"1870","Recaudación","-15.54718"
"1871","Recaudación","44.90761"
"1872","Recaudación","10.94078"
"1873","Recaudación","-21.56759"
"1875","Recaudación","-5.35346"
"1876","Recaudación","3.85723"
"1877","Recaudación","7.98554"
"1878","Recaudación","3.12264"
"1879","Recaudación","-2.96614"
"1880","Recaudación","16.85483"
"1881","Recaudación","8.61739"
"1882","Recaudación","16.22970"
"1883","Recaudación","20.23480"
"1884","Recaudación","-4.23153"
"1885","Recaudación","14.16173"
"1886","Recaudación","40.02186"
"1887","Recaudación","-19.60603"
"1888","Recaudación","13.13711"
"1889","Recaudación","10.60791"
"1890","Recaudación","6.03236"
"1891","Recaudación","38.08536"
"1892","Recaudación","10.81439"
"1893","Recaudación","-5.29610"
"1894","Recaudación","4.16155"
"1895","Recaudación","-8.49336"
"1896","Recaudación","16.61243"
"1897","Recaudación","-0.12738"
"1898","Recaudación","31.36638"
"1900","Recaudación","-5.30927"
"1901","Recaudación","3.42264"
"1902","Recaudación","-6.62544"
"1903","Recaudación","18.30977"
"1904","Recaudación","17.34175"
"1905","Recaudación","-1.21136"
"1906","Recaudación","7.30621"
"1907","Recaudación","6.09044"
"1908","Recaudación","4.15198"
"1909","Recaudación","10.53972"
"1910","Recaudación","0.70517"
"1911","Recaudación","4.73106"
"1912","Recaudación","8.58422"
"1913","Recaudación","2.62666"
"1914","Recaudación","-35.75758"
"1915","Recaudación","-11.77044"
"1916","Recaudación","-8.00323"
"1917","Recaudación","-16.73778"
"1918","Recaudación","8.27027"
"1919","Recaudación","28.54349"
"1920","Recaudación","14.28152"
"1921","Recaudación","9.61131"
"1922","Recaudación","9.74692"
"1923","Recaudación","18.58873"
"1924","Recaudación","5.22734"
"1925","Recaudación","12.13037"
"1926","Recaudación","2.81178"
"1927","Recaudación","7.89454"
"1928","Recaudación","7.04023"
"1929","Recaudación","2.75946"
"1930","Recaudación","-11.99511"
"1931","Recaudación","16.79169"
"1932","Recaudación","11.52154"
"1933","Recaudación","0.94650"
"1934","Recaudación","-0.44104"
"1935","Recaudación","17.41614"
"1936","Recaudación","-2.22789"
"1937","Recaudación","9.67392"
"1938","Recaudación","3.64465"
"1939","Recaudación","-3.82059"
"1940","Recaudación","-2.86600"
"1941","Recaudación","-4.71604"
"1942","Recaudación","-2.20771"
"1943","Recaudación","-0.80321"
"1944","Recaudación","26.21403"
"1945","Recaudación","8.16785"
"1946","Recaudación","7.67295"
"1947","Recaudación","43.77133"
"1948","Recaudación","13.10042"
"1949","Recaudación","6.88841"
"1950","Recaudación","17.72210"
"1951","Recaudación","6.03696"
"1952","Recaudación","-3.94564"
"1953","Recaudación","5.36633"
"1954","Recaudación","6.39366"
"1955","Recaudación","2.06089"
"1956","Recaudación","-2.81319"
"1957","Recaudación","-9.84465"
"1958","Recaudación","-4.04082"
"1959","Recaudación","-21.92037"
"1960","Recaudación","35.81692"
"1961","Recaudación","10.68599"
"1962","Recaudación","-8.26365"
"1963","Recaudación","4.29426"
"1964","Recaudación","-0.66308"
"1965","Recaudación","19.80999"
"1966","Recaudación","13.21292"
"1967","Recaudación","18.84208"
"1968","Recaudación","-0.06129"
"1969","Recaudación","2.78636"
"1970","Recaudación","7.44342"
"1971","Recaudación","-8.12904"
"1972","Recaudación","-10.12062"
"1973","Recaudación","10.32780"
"1974","Recaudación","25.91192"
"1975","Recaudación","-33.10478"
"1976","Recaudación","20.76563"
"1977","Recaudación","25.17251"
"1978","Recaudación","0.49888"
"1979","Recaudación","7.01324"
"1980","Recaudación","11.26063"
"1981","Recaudación","-13.09308"
"1982","Recaudación","-17.33390"
"1983","Recaudación","-2.57209"
"1984","Recaudación","1.96345"
"1985","Recaudación","26.17258"
"1986","Recaudación","2.39765"
"1987","Recaudación","-0.18579"
"1988","Recaudación","-15.44424"
"1989","Recaudación","6.83285"
"1990","Recaudación","-9.78605"
"1992","Recaudación","123.81633"
"1993","Recaudación","6.52378"
"1994","Recaudación","5.03761"
"1995","Recaudación","-8.27199"
"1996","Recaudación","2.81549"
"1997","Recaudación","12.93699"
"1998","Recaudación","5.91105"
"1999","Recaudación","-2.77038"
