"geocodigoFundar","geonombreFundar","tasa","porcentaje_total","porcentaje_pbi"
"ARG","Argentina","1%","0.21000","0.04000"
"ARG","Argentina","2%","0.44000","0.09000"
"ARG","Argentina","3%","0.66000","0.14000"
"BRA","Brasil","1%","0.58000","0.14000"
"BRA","Brasil","2%","1.27000","0.31000"
"BRA","Brasil","3%","1.96000","0.48000"
"CHL","Chile","1%","2.27000","0.46000"
"CHL","Chile","2%","5.07000","1.03000"
"CHL","Chile","3%","7.87000","1.59000"
"COL","Colombia","1%","3.01000","0.54000"
"COL","Colombia","2%","6.41000","1.16000"
"COL","Colombia","3%","9.81000","1.78000"
"MEX","México","1%","2.76000","0.38000"
"MEX","México","2%","5.58000","0.76000"
"MEX","México","3%","8.40000","1.15000"
"PER","Perú","1%","0.73000","0.12000"
"PER","Perú","2%","1.60000","0.27000"
"PER","Perú","3%","2.47000","0.42000"
"URY","Uruguay","1%","1.02000","0.18000"
"URY","Uruguay","2%","2.39000","0.41000"
"URY","Uruguay","3%","3.76000","0.65000"
